Southeast.Winds,Northeast.Winds,Abundance,Error,Species
-2,-2,1.553079941,2.272150649,Bream
-1.95,-2,1.552089834,2.081382472,Bream
-1.9,-2,1.551455049,2.028751962,Bream
-1.85,-2,1.551175588,1.976425501,Bream
-1.8,-2,1.551251448,1.993894777,Bream
-1.75,-2,1.551682632,1.808006207,Bream
-1.7,-2,1.552469138,1.98182647,Bream
-1.65,-2,1.553610967,1.714102534,Bream
-1.6,-2,1.555108118,1.706080551,Bream
-1.55,-2,1.556960592,1.70544703,Bream
-1.5,-2,1.559168388,1.664025994,Bream
-1.45,-2,1.561731507,1.530829666,Bream
-1.4,-2,1.564649949,1.43744594,Bream
-1.35,-2,1.567923714,1.435798409,Bream
-1.3,-2,1.571552801,1.428790373,Bream
-1.25,-2,1.57553721,1.354009556,Bream
-1.2,-2,1.579876943,1.238892746,Bream
-1.15,-2,1.584571998,1.25938318,Bream
-1.1,-2,1.589622375,1.160153227,Bream
-1.05,-2,1.595028075,1.200541094,Bream
-1,-2,1.600789098,1.092279461,Bream
-0.95,-2,1.606905444,1.176307959,Bream
-0.9,-2,1.613377112,1.063629477,Bream
-0.85,-2,1.620204102,0.930533016,Bream
-0.8,-2,1.627386416,0.930582489,Bream
-0.75,-2,1.634924051,0.898978069,Bream
-0.7,-2,1.64281701,0.91285209,Bream
-0.65,-2,1.651065291,0.853108626,Bream
-0.6,-2,1.659668895,0.817386772,Bream
-0.55,-2,1.668627821,0.749602502,Bream
-0.5,-2,1.67794207,0.816255723,Bream
-0.45,-2,1.687611642,0.74847308,Bream
-0.4,-2,1.697636536,0.765433846,Bream
-0.35,-2,1.708016753,0.699566434,Bream
-0.3,-2,1.718752293,0.645660069,Bream
-0.25,-2,1.729843155,0.678003521,Bream
-0.2,-2,1.74128934,0.666066856,Bream
-0.15,-2,1.753090847,0.612844829,Bream
-0.1,-2,1.765247677,0.584251589,Bream
-0.05,-2,1.77775983,0.616388124,Bream
0,-2,1.790627305,0.583244884,Bream
0.05,-2,1.803850103,0.604546014,Bream
0.1,-2,1.817428224,0.548982214,Bream
0.15,-2,1.831361667,0.538737395,Bream
0.2,-2,1.845650433,0.530365394,Bream
0.25,-2,1.860294521,0.580308519,Bream
0.3,-2,1.875293932,0.558156481,Bream
0.35,-2,1.890648666,0.52821013,Bream
0.4,-2,1.906358722,0.509935346,Bream
0.45,-2,1.922424101,0.526572078,Bream
0.5,-2,1.938844803,0.531136826,Bream
0.55,-2,1.955620827,0.554242164,Bream
0.6,-2,1.972752174,0.502763749,Bream
0.65,-2,1.990238843,0.53660864,Bream
0.7,-2,2.008080835,0.565462616,Bream
0.75,-2,2.02627815,0.514700562,Bream
0.8,-2,2.044830787,0.504672012,Bream
0.85,-2,2.063738747,0.526761871,Bream
0.9,-2,2.08300203,0.559849576,Bream
0.95,-2,2.102620635,0.538570707,Bream
1,-2,2.122594563,0.526145022,Bream
1.05,-2,2.142923813,0.548400739,Bream
1.1,-2,2.163608386,0.547148147,Bream
1.15,-2,2.184648282,0.570566575,Bream
1.2,-2,2.2060435,0.53370258,Bream
1.25,-2,2.227794041,0.556553174,Bream
1.3,-2,2.249899905,0.545549524,Bream
1.35,-2,2.272361091,0.581037958,Bream
1.4,-2,2.2951776,0.543643429,Bream
1.45,-2,2.318349431,0.563725837,Bream
1.5,-2,2.341876585,0.559948438,Bream
1.55,-2,2.365759062,0.602085175,Bream
1.6,-2,2.389996861,0.593861004,Bream
1.65,-2,2.414589983,0.5739094,Bream
1.7,-2,2.439538428,0.53439563,Bream
1.75,-2,2.464842195,0.56352654,Bream
1.8,-2,2.490501285,0.617353062,Bream
1.85,-2,2.516515697,0.553281524,Bream
1.9,-2,2.542885432,0.628706141,Bream
1.95,-2,2.56961049,0.588715532,Bream
2,-2,2.59669087,0.568476881,Bream
-2,-1.95,1.449061271,2.091764396,Bream
-1.95,-1.95,1.447851296,1.992619401,Bream
