Latitude,Longitude,Year,Month,Day,displacement,count
-35.36007,150.8489,2010,9,19,-9.148193981601196,24
-35.36007,150.8489,2010,9,20,139.16391783837153,24
-35.36007,150.8489,2010,9,21,-130.2257345707832,24
-35.36007,150.8489,2010,9,22,-26.757274153489952,24
-35.36007,150.8489,2010,9,23,252.4519701260024,24
-35.36007,150.8489,2010,9,24,283.0689866445987,24
-35.36007,150.8489,2010,9,25,-120.81343620640922,24
-35.36007,150.8489,2010,9,26,438.690107708306,24
-35.36007,150.8489,2010,9,27,22.59206165891036,24
-35.36007,150.8489,2010,9,28,-451.0648299324614,24
-35.36007,150.8489,2010,9,29,-529.9652187908187,24
-35.36007,150.8489,2010,9,30,89.23864355269534,24
-35.36007,150.8489,2010,10,1,574.2552055838286,24
-35.36007,150.8489,2010,10,2,517.7623235144914,24
-35.36007,150.8489,2010,10,3,593.6875605910064,24
-34.13333,151.2333,1990,4,19,88.43042050179896,24
-34.13333,151.2333,1990,4,20,115.89727631020905,24
-34.13333,151.2333,1990,4,21,2.0651053544550866,24
-34.13333,151.2333,1990,4,22,-400.26132902455123,24
-34.13333,151.2333,1990,4,23,-118.19148426176955,24
-34.13333,151.2333,1990,4,24,-357.9346242095053,24
-34.13333,151.2333,1990,4,25,-458.36747521516526,24
-34.13333,151.2333,1990,4,26,-635.5592421923585,24
-34.13333,151.2333,1990,4,27,-478.69714872766883,24
-34.13333,151.2333,1990,4,28,-74.89427538954482,24
-34.13333,151.2333,1990,4,29,-159.1690293383107,24
-34.13333,151.2333,1990,4,30,-307.5734185932278,24
-34.13333,151.2333,1990,5,1,-163.0319536839324,24
-34.13333,151.2333,1990,5,2,-227.92526431376604,24
-34.13333,151.2333,1990,5,3,2.5933141200022902,24
-34.13333,151.2333,1990,8,23,-458.4088409618644,24
-34.13333,151.2333,1990,8,24,-349.5214677269482,24
-34.13333,151.2333,1990,8,25,-653.8938139217444,24
-34.13333,151.2333,1990,8,26,-755.7490102177611,24
-34.13333,151.2333,1990,8,27,-262.3670214118001,24
-34.13333,151.2333,1990,8,28,93.31157861233004,24
-34.13333,151.2333,1990,8,29,166.94578971780052,24
-34.13333,151.2333,1990,8,30,77.98079648942424,24
-34.13333,151.2333,1990,8,31,-480.03994450514216,24
-34.13333,151.2333,1990,9,1,-247.44353279485784,24
-34.13333,151.2333,1990,9,2,-263.499806475261,24
-34.13333,151.2333,1990,9,3,-580.6605323612066,24
-34.13333,151.2333,1990,9,4,-237.23892128216465,24
-34.13333,151.2333,1990,9,5,-48.63657217696391,24
-34.13333,151.2333,1990,9,6,-51.38898532273244,24
