estuary,Year,Month,displacement,count
Camden_Haven_River,1990,1,7120.30825323356,741
Camden_Haven_River,1990,2,11730.9884740189,672
Camden_Haven_River,1990,3,20524.7480099772,744
Camden_Haven_River,1990,4,1299.08809311456,720
Camden_Haven_River,1990,5,-1005.5122068083,744
Camden_Haven_River,1990,6,-5131.62134283466,720
Camden_Haven_River,1990,7,-14429.969802974,744
Camden_Haven_River,1990,8,-19497.7097049827,744
Camden_Haven_River,1990,9,5526.74695530745,720
Camden_Haven_River,1990,10,-523.508980325196,744
Camden_Haven_River,1990,11,8820.22088592389,720
Camden_Haven_River,1990,12,-492.503762183726,744
Camden_Haven_River,1991,1,-5178.71147248117,744
Camden_Haven_River,1991,2,7770.32959686814,672
Camden_Haven_River,1991,3,3566.85060461132,744
Camden_Haven_River,1991,4,2959.13687390869,720
Camden_Haven_River,1991,5,198.565130098726,744
Camden_Haven_River,1991,6,-4381.41534267461,720
Camden_Haven_River,1991,7,-12331.1990946664,744
Camden_Haven_River,1991,8,-16912.2773507175,744
Camden_Haven_River,1991,9,-12005.1765530452,720
Camden_Haven_River,1991,10,3160.34622981566,744
Camden_Haven_River,1991,11,6642.47660320606,720
Camden_Haven_River,1991,12,11420.0294281574,744
Camden_Haven_River,1992,1,9659.52870447447,744
Camden_Haven_River,1992,2,17069.212629734,696
Camden_Haven_River,1992,3,16179.0535805678,744
Camden_Haven_River,1992,4,6517.00474752522,720
Camden_Haven_River,1992,5,-4923.51981713145,744
Camden_Haven_River,1992,6,-7533.00794409259,720
Camden_Haven_River,1992,7,-11577.0506206478,744
Camden_Haven_River,1992,8,-14868.3958062995,744
Camden_Haven_River,1992,9,-4354.69625228731,720
Camden_Haven_River,1992,10,3922.20782460339,744
Camden_Haven_River,1992,11,6002.2875793639,720
Camden_Haven_River,1992,12,8216.73600732616,744
Camden_Haven_River,1993,1,-2246.70416444625,744
Camden_Haven_River,1993,2,2639.72012383739,672
Camden_Haven_River,1993,3,15578.0792845967,744
Camden_Haven_River,1993,4,14127.745293627,720
Camden_Haven_River,1993,5,-594.607152959941,744
Camden_Haven_River,1993,6,-6869.64137417668,720
Camden_Haven_River,1993,7,-5089.61920003218,744
Camden_Haven_River,1993,8,-4875.03598001922,744
Camden_Haven_River,1993,9,-3355.61801008102,720
Camden_Haven_River,1993,10,3879.59474154197,744
Camden_Haven_River,1993,11,6972.03114319927,720
Camden_Haven_River,1993,12,2381.31148618665,744
Camden_Haven_River,1994,1,8058.96068545357,744
Camden_Haven_River,1994,2,4594.41393639094,672
Camden_Haven_River,1994,3,22768.2161002394,744
Camden_Haven_River,1994,4,3853.79206154308,720
Camden_Haven_River,1994,5,-3964.72544824936,744
Camden_Haven_River,1994,6,-10503.6572235058,720
Camden_Haven_River,1994,7,-7215.10899872708,744
Camden_Haven_River,1994,8,-3488.28750568759,744
Camden_Haven_River,1994,9,-7845.22705423821,720
Camden_Haven_River,1994,10,2008.50428504846,744
Camden_Haven_River,1994,11,-6529.86313078769,720
Camden_Haven_River,1994,12,8065.09872586766,744
Camden_Haven_River,1995,1,12785.8818364448,744
Camden_Haven_River,1995,2,16980.731297544,672
Camden_Haven_River,1995,3,19293.8179395013,744
Camden_Haven_River,1995,4,649.849516686744,720
Camden_Haven_River,1995,5,364.139486214412,744
Camden_Haven_River,1995,6,-11980.7293967458,720
Camden_Haven_River,1995,7,-18152.7915465057,744
Camden_Haven_River,1995,8,-7084.39642113745,744
Camden_Haven_River,1995,9,-3410.57399556144,720
Camden_Haven_River,1995,10,1881.7055434927,744
Camden_Haven_River,1995,11,6658.58060659421,720
Camden_Haven_River,1995,12,1136.46343293659,744
Camden_Haven_River,1996,1,5567.68949859831,744
Camden_Haven_River,1996,2,18905.7181400063,696
Camden_Haven_River,1996,3,14845.361449349,744
Camden_Haven_River,1996,4,806.002028496512,720
Camden_Haven_River,1996,5,14079.3760078134,744
Camden_Haven_River,1996,6,-9808.29265752762,720
Camden_Haven_River,1996,7,-15459.6714256599,744
Camden_Haven_River,1996,8,-12013.9779111506,744
Camden_Haven_River,1996,9,-12585.130685732,720
Camden_Haven_River,1996,10,552.834112754577,744
Camden_Haven_River,1996,11,6292.86604002471,720
Camden_Haven_River,1996,12,2434.57784001344,744
Camden_Haven_River,1997,1,9883.56240661796,744
Camden_Haven_River,1997,2,10264.1400041746,672
Camden_Haven_River,1997,3,5247.61407856033,744
Camden_Haven_River,1997,4,4513.1970657174,720
Camden_Haven_River,1997,5,-1712.7901078359,744
Camden_Haven_River,1997,6,-4321.32364064243,720
Camden_Haven_River,1997,7,-5293.9500788247,744
Camden_Haven_River,1997,8,-10788.2503788172,744
Camden_Haven_River,1997,9,1025.02411132836,720
Camden_Haven_River,1997,10,-5175.16038222604,744
Camden_Haven_River,1997,11,1940.68991630555,720
Camden_Haven_River,1997,12,1791.83050383693,744
Camden_Haven_River,1998,1,160.715471868766,744
Camden_Haven_River,1998,2,3498.38711184327,672
Camden_Haven_River,1998,3,7332.52407974312,744
Camden_Haven_River,1998,4,-1477.56856220045,720
Camden_Haven_River,1998,5,-4622.10671281593,744
Camden_Haven_River,1998,6,-14119.2875894173,720
Camden_Haven_River,1998,7,-14594.2650029225,744
Camden_Haven_River,1998,8,3055.06404050464,744
Camden_Haven_River,1998,9,-1315.40210721669,720
Camden_Haven_River,1998,10,-3428.23398742159,744
Camden_Haven_River,1998,11,12652.0000062619,720
Camden_Haven_River,1998,12,6643.51711083459,744
Camden_Haven_River,1999,1,7034.63342785806,744
Camden_Haven_River,1999,2,24059.228326806,672
Camden_Haven_River,1999,3,6433.60185623765,744
Camden_Haven_River,1999,4,9540.59581875262,720
Camden_Haven_River,1999,5,4132.88675452403,744
Camden_Haven_River,1999,6,-104.098492559335,720
Camden_Haven_River,1999,7,4338.59224889917,744
Camden_Haven_River,1999,8,-3393.04764688297,744
Camden_Haven_River,1999,9,-5441.13895152275,720
Camden_Haven_River,1999,10,-4393.72960726898,744
Camden_Haven_River,1999,11,12379.0051699288,720
Camden_Haven_River,1999,12,798.833026395462,744
Camden_Haven_River,2000,1,18413.5198479521,744
Camden_Haven_River,2000,2,-810.889550568067,696
Camden_Haven_River,2000,3,-543.574549454928,744
Camden_Haven_River,2000,4,9735.17074528512,720
Camden_Haven_River,2000,5,-9812.35922862622,744
Camden_Haven_River,2000,6,-10653.9198893817,720
Camden_Haven_River,2000,7,-6817.97873852962,744
Camden_Haven_River,2000,8,-10896.9500152017,744
Camden_Haven_River,2000,9,-6370.58909609238,720
Camden_Haven_River,2000,10,959.42440102413,744
Camden_Haven_River,2000,11,158.634456611742,720
Camden_Haven_River,2000,12,2304.89622411079,744
Camden_Haven_River,2001,1,5856.59741948857,744
Camden_Haven_River,2001,2,7341.98410781523,672
Camden_Haven_River,2001,3,22143.4055882279,744
Camden_Haven_River,2001,4,-2962.57341286527,720
Camden_Haven_River,2001,5,-4982.08416851628,744
Camden_Haven_River,2001,6,-12508.9827100194,720
Camden_Haven_River,2001,7,-10278.640289383,744
Camden_Haven_River,2001,8,-17863.683160843,744
Camden_Haven_River,2001,9,-10086.747772425,720
Camden_Haven_River,2001,10,-5565.08345655626,744
Camden_Haven_River,2001,11,1822.53025184893,720
Camden_Haven_River,2001,12,44.598638902984,744
Camden_Haven_River,2002,1,13828.8714097627,744
Camden_Haven_River,2002,2,10388.3995252792,672
Camden_Haven_River,2002,3,18655.7290227992,744
Camden_Haven_River,2002,4,5930.93166630741,720
Camden_Haven_River,2002,5,-6628.80681491218,744
Camden_Haven_River,2002,6,-11825.2546467858,720
Camden_Haven_River,2002,7,-13652.4337721677,744
Camden_Haven_River,2002,8,-4450.45159193542,744
Camden_Haven_River,2002,9,-8303.05995672681,720
Camden_Haven_River,2002,10,-3253.04686816905,744
Camden_Haven_River,2002,11,2593.64186399475,720
Camden_Haven_River,2002,12,6172.58717654487,744
Camden_Haven_River,2003,1,12864.2062868298,744
Camden_Haven_River,2003,2,12154.3605275264,672
Camden_Haven_River,2003,3,13232.5746251492,744
Camden_Haven_River,2003,4,7233.97177922202,720
Camden_Haven_River,2003,5,8067.48521125416,744
Camden_Haven_River,2003,6,-13720.6013407478,720
Camden_Haven_River,2003,7,-10845.4210227363,744
Camden_Haven_River,2003,8,-8064.95553674447,744
Camden_Haven_River,2003,9,-4875.48463927189,720
Camden_Haven_River,2003,10,-1146.1143798396,744
Camden_Haven_River,2003,11,545.21645140084,720
Camden_Haven_River,2003,12,5056.77161517232,744
Camden_Haven_River,2004,1,-2616.19892386798,744
Camden_Haven_River,2004,2,7440.4504948624,696
Camden_Haven_River,2004,3,11267.3707309534,744
Camden_Haven_River,2004,4,1916.83460838203,720
Camden_Haven_River,2004,5,-9355.46182840914,744
Camden_Haven_River,2004,6,-16269.9786737937,720
Camden_Haven_River,2004,7,-9146.82572997937,744
Camden_Haven_River,2004,8,-11784.5316601505,744
Camden_Haven_River,2004,9,-1405.33442252173,720
Camden_Haven_River,2004,10,9287.79064878942,744
Camden_Haven_River,2004,11,3477.8346996947,720
Camden_Haven_River,2004,12,6273.535508394,744
Camden_Haven_River,2005,1,14081.6479419013,744
Camden_Haven_River,2005,2,-3320.95669632743,672
Camden_Haven_River,2005,3,761.078827580942,744
Camden_Haven_River,2005,4,2664.75912851259,720
Camden_Haven_River,2005,5,7179.76992312371,744
Camden_Haven_River,2005,6,-5637.83307707846,720
Camden_Haven_River,2005,7,-7310.62568983654,744
Camden_Haven_River,2005,8,-8708.07516464127,744
Camden_Haven_River,2005,9,-6959.32549500151,720
Camden_Haven_River,2005,10,3355.24571836073,744
