estuary,Year,Month,displacement,count
Clarence_River,1990,1,7185.00109909094,741
Clarence_River,1990,2,5170.41286729715,672
Clarence_River,1990,3,259.751433428183,744
Clarence_River,1990,4,725.567925029768,720
Clarence_River,1990,5,-3895.39009282012,744
Clarence_River,1990,6,-9104.50538912535,720
Clarence_River,1990,7,-5774.27958355673,744
Clarence_River,1990,8,-8357.23635698097,744
Clarence_River,1990,9,-1724.53479791802,720
Clarence_River,1990,10,827.410393403719,744
Clarence_River,1990,11,3935.23803481371,720
Clarence_River,1990,12,12332.0104996978,744
Clarence_River,1991,1,9057.26570639462,744
Clarence_River,1991,2,2687.86348903446,672
Clarence_River,1991,3,3146.62871181404,744
Clarence_River,1991,4,-3126.62360031411,720
Clarence_River,1991,5,-4535.41047169498,744
Clarence_River,1991,6,-4136.43148081811,720
Clarence_River,1991,7,-8715.2600766449,744
Clarence_River,1991,8,-2393.62893276154,744
Clarence_River,1991,9,1886.92717351836,720
Clarence_River,1991,10,4915.64123337547,744
Clarence_River,1991,11,5010.83654445288,720
Clarence_River,1991,12,6270.98674200122,744
Clarence_River,1992,1,4004.29973991864,744
Clarence_River,1992,2,1314.15477085468,696
Clarence_River,1992,3,-653.196960188893,744
Clarence_River,1992,4,-3101.4604983988,720
Clarence_River,1992,5,-7331.40402260171,744
Clarence_River,1992,6,-11045.7680619236,720
Clarence_River,1992,7,-5591.46843898945,744
Clarence_River,1992,8,-3719.27701723763,744
Clarence_River,1992,9,-2549.21505203957,720
Clarence_River,1992,10,1751.48617288294,744
Clarence_River,1992,11,957.12701109205,720
Clarence_River,1992,12,4889.31034461104,744
Clarence_River,1993,1,10084.9913191805,744
Clarence_River,1993,2,6147.06769281184,672
Clarence_River,1993,3,-2973.84080587008,744
Clarence_River,1993,4,-739.193165596457,720
Clarence_River,1993,5,-4992.12013506166,744
Clarence_River,1993,6,-9155.68436373407,720
Clarence_River,1993,7,-5784.21054474511,744
Clarence_River,1993,8,-5927.97560640866,744
Clarence_River,1993,9,-1600.06208411896,720
Clarence_River,1993,10,4250.04727709882,744
Clarence_River,1993,11,5587.55460295558,720
Clarence_River,1993,12,8003.84878292788,744
Clarence_River,1994,1,7697.87908251438,744
Clarence_River,1994,2,4862.72489740537,672
Clarence_River,1994,3,-522.850310358524,744
Clarence_River,1994,4,-873.848217044588,720
Clarence_River,1994,5,-4841.88928899093,744
Clarence_River,1994,6,-9237.90992223095,720
Clarence_River,1994,7,-8491.64957790994,744
Clarence_River,1994,8,-4802.77638449638,744
Clarence_River,1994,9,742.683798221776,720
Clarence_River,1994,10,2670.7985275307,744
Clarence_River,1994,11,10196.8983919245,720
Clarence_River,1994,12,4491.98598360214,744
Clarence_River,1995,1,389.919892349697,744
Clarence_River,1995,2,2088.65837422985,672
Clarence_River,1995,3,-2728.02008313805,744
Clarence_River,1995,4,-4030.59562689741,720
Clarence_River,1995,5,-3904.6369281977,744
Clarence_River,1995,6,-9335.46944483126,720
Clarence_River,1995,7,-8402.32183890281,744
Clarence_River,1995,8,540.783952542969,744
Clarence_River,1995,9,-881.144498366261,720
Clarence_River,1995,10,3572.52089388966,744
Clarence_River,1995,11,5374.67692449886,720
Clarence_River,1995,12,3178.83990057082,744
Clarence_River,1996,1,350.437878115361,744
Clarence_River,1996,2,-2304.38392524781,696
Clarence_River,1996,3,1470.8991310403,744
Clarence_River,1996,4,-509.377804856575,720
Clarence_River,1996,5,-2102.01314645275,744
Clarence_River,1996,6,-7089.00711090418,720
Clarence_River,1996,7,-7658.86800139632,744
Clarence_River,1996,8,-2528.09306537875,744
Clarence_River,1996,9,2026.51747674579,720
Clarence_River,1996,10,3759.1217772507,744
Clarence_River,1996,11,2890.84839006899,720
Clarence_River,1996,12,4179.95461030693,744
