estuary,Year,Month,displacement,count
Hunter_River,1990,1,20094.8560783939,741
Hunter_River,1990,2,17447.6232985598,672
Hunter_River,1990,3,21773.0707859501,744
Hunter_River,1990,4,-4708.92705117696,720
Hunter_River,1990,5,-5221.99277145081,744
Hunter_River,1990,6,-10540.7145685874,720
Hunter_River,1990,7,-25618.2905919848,744
Hunter_River,1990,8,-24517.5958020212,744
Hunter_River,1990,9,8787.48785236259,720
Hunter_River,1990,10,8140.54030190583,744
Hunter_River,1990,11,14972.8284068129,720
Hunter_River,1990,12,13334.9071185225,744
Hunter_River,1991,1,9599.53246185774,744
Hunter_River,1991,2,17362.0725704243,672
Hunter_River,1991,3,12771.5438322426,744
Hunter_River,1991,4,3874.78358700277,720
Hunter_River,1991,5,7557.02553302237,744
Hunter_River,1991,6,-16433.7488469571,720
Hunter_River,1991,7,-27771.005415969,744
Hunter_River,1991,8,-29481.227665529,744
Hunter_River,1991,9,-12269.408215039,720
Hunter_River,1991,10,13117.5555754612,744
Hunter_River,1991,11,15749.9730540159,720
Hunter_River,1991,12,17296.7878761911,744
Hunter_River,1992,1,18619.8362825862,744
Hunter_River,1992,2,22865.1933204054,696
Hunter_River,1992,3,19328.708355852,744
Hunter_River,1992,4,9922.46211841801,720
Hunter_River,1992,5,-8791.39214245492,744
Hunter_River,1992,6,-18971.8524230372,720
Hunter_River,1992,7,-20320.9326120282,744
Hunter_River,1992,8,-19640.3547095048,744
Hunter_River,1992,9,-10419.3092840052,720
Hunter_River,1992,10,9195.73913446117,744
Hunter_River,1992,11,8822.03461481764,720
Hunter_River,1992,12,18837.2832850629,744
Hunter_River,1993,1,17100.2369397586,744
Hunter_River,1993,2,11664.3959857939,672
Hunter_River,1993,3,17926.7245588129,744
Hunter_River,1993,4,12723.384557143,720
Hunter_River,1993,5,-3230.98619725621,744
Hunter_River,1993,6,-18014.4231237962,720
Hunter_River,1993,7,-7968.07377599392,744
Hunter_River,1993,8,-7005.04100906541,744
Hunter_River,1993,9,-3031.3041919966,720
Hunter_River,1993,10,5337.365020976,744
Hunter_River,1993,11,12156.1456185955,720
Hunter_River,1993,12,9967.54760033985,744
Hunter_River,1994,1,17360.0297389335,744
Hunter_River,1994,2,16795.7882260314,672
Hunter_River,1994,3,21244.0537973528,744
Hunter_River,1994,4,7780.15237071901,720
Hunter_River,1994,5,-11934.8897854419,744
Hunter_River,1994,6,-16309.4797799111,720
Hunter_River,1994,7,-17343.8780058376,744
Hunter_River,1994,8,-7754.97972286216,744
Hunter_River,1994,9,-9775.71235903106,720
Hunter_River,1994,10,8742.75557027796,744
Hunter_River,1994,11,2637.83957335282,720
Hunter_River,1994,12,23519.7489862743,744
Hunter_River,1995,1,21628.7266038327,744
Hunter_River,1995,2,18910.9588619151,672
Hunter_River,1995,3,23299.6577579893,744
Hunter_River,1995,4,158.739461968739,720
Hunter_River,1995,5,-3192.31558805329,744
Hunter_River,1995,6,-16892.4313382433,720
