estuary,Year,Month,displacement,count
Lake Illawarra,1990,1,1217.00572374085,741
Lake Illawarra,1990,2,-1584.16172748381,672
Lake Illawarra,1990,3,673.421628344383,744
Lake Illawarra,1990,4,-3246.43153067766,720
Lake Illawarra,1990,5,-5441.3139604511,744
Lake Illawarra,1990,6,-6854.98835390354,720
Lake Illawarra,1990,7,-5446.61832197017,744
Lake Illawarra,1990,8,-11112.9333066414,744
Lake Illawarra,1990,9,-993.487502440835,720
Lake Illawarra,1990,10,-2240.21610617548,744
Lake Illawarra,1990,11,2280.69089833059,720
Lake Illawarra,1990,12,3805.74733774198,744
Lake Illawarra,1991,1,2237.21868053002,744
Lake Illawarra,1991,2,4453.71312196364,672
Lake Illawarra,1991,3,1501.88525729868,744
Lake Illawarra,1991,4,-3028.45313745485,720
Lake Illawarra,1991,5,-6782.13372802433,744
Lake Illawarra,1991,6,-402.743273826514,720
Lake Illawarra,1991,7,-11323.3481321793,744
Lake Illawarra,1991,8,-6245.7981842418,744
Lake Illawarra,1991,9,-4357.60458247833,720
Lake Illawarra,1991,10,2605.10335781099,744
Lake Illawarra,1991,11,3099.81541447237,720
Lake Illawarra,1991,12,3770.0741541845,744
Lake Illawarra,1992,1,1596.96919905805,744
Lake Illawarra,1992,2,-2284.39154166993,696
Lake Illawarra,1992,3,847.759158799313,744
Lake Illawarra,1992,4,-1240.2691832885,720
Lake Illawarra,1992,5,-6846.88384953097,744
Lake Illawarra,1992,6,-8578.81357016663,720
Lake Illawarra,1992,7,-7242.40084560715,744
Lake Illawarra,1992,8,-5958.15032763562,744
Lake Illawarra,1992,9,-4500.33550047439,720
Lake Illawarra,1992,10,1376.00610811185,744
Lake Illawarra,1992,11,-2066.97317701782,720
Lake Illawarra,1992,12,1636.52439884424,744
Lake Illawarra,1993,1,4682.30978416614,744
Lake Illawarra,1993,2,3154.21773534313,672
Lake Illawarra,1993,3,-2587.11243997727,744
Lake Illawarra,1993,4,-90.2314214734859,720
Lake Illawarra,1993,5,-3698.65141953719,744
Lake Illawarra,1993,6,-9300.65221403242,720
Lake Illawarra,1993,7,-2768.72079590975,744
Lake Illawarra,1993,8,-3039.53915757029,744
Lake Illawarra,1993,9,-1972.70064028985,720
Lake Illawarra,1993,10,-587.218594203323,744
Lake Illawarra,1993,11,1236.66399936462,720
Lake Illawarra,1993,12,2361.91095098463,744
Lake Illawarra,1994,1,4933.47623416395,744
Lake Illawarra,1994,2,4901.80598209478,672
Lake Illawarra,1994,3,-3027.45081359252,744
Lake Illawarra,1994,4,-611.758027937621,720
Lake Illawarra,1994,5,-4680.31150040251,744
Lake Illawarra,1994,6,-9426.2099831872,720
Lake Illawarra,1994,7,-7842.24553849534,744
Lake Illawarra,1994,8,-6329.91383916479,744
Lake Illawarra,1994,9,-6096.42010894919,720
Lake Illawarra,1994,10,946.518288053909,744
Lake Illawarra,1994,11,575.165252011216,720
Lake Illawarra,1994,12,3052.81119829977,744
Lake Illawarra,1995,1,6654.03355643778,744
Lake Illawarra,1995,2,1334.14715443256,672
Lake Illawarra,1995,3,-3291.35791357375,744
Lake Illawarra,1995,4,-2539.0772621177,720
Lake Illawarra,1995,5,-5628.33168325966,744
Lake Illawarra,1995,6,-8896.79524702553,720
Lake Illawarra,1995,7,-7305.51542912891,744
Lake Illawarra,1995,8,-3076.40558382102,744
