estuary,Year,Month,displacement,count
Port_Stephens,1990,1,6366.61480242872,741
Port_Stephens,1990,2,4356.43043166817,672
Port_Stephens,1990,3,4140.01757285889,744
Port_Stephens,1990,4,498.034044319385,720
Port_Stephens,1990,5,-2323.47899032036,744
Port_Stephens,1990,6,-6888.4405150613,720
Port_Stephens,1990,7,-5351.01253540628,744
Port_Stephens,1990,8,-9845.98321673181,744
Port_Stephens,1990,9,61.0112944011182,720
Port_Stephens,1990,10,-1399.06592090652,744
Port_Stephens,1990,11,3243.58365811643,720
Port_Stephens,1990,12,6259.24205191911,744
Port_Stephens,1991,1,7915.70155869195,744
Port_Stephens,1991,2,5835.6949894833,672
Port_Stephens,1991,3,5071.93375232792,744
Port_Stephens,1991,4,-2161.14070838877,720
Port_Stephens,1991,5,-3974.45276268476,744
Port_Stephens,1991,6,-2600.93814531641,720
Port_Stephens,1991,7,-8636.45196522149,744
Port_Stephens,1991,8,-6618.57674755536,744
Port_Stephens,1991,9,-3749.67765908118,720
Port_Stephens,1991,10,4398.13665028272,744
Port_Stephens,1991,11,6261.31988519562,720
Port_Stephens,1991,12,6523.48644183496,744
Port_Stephens,1992,1,5901.98837153988,744
Port_Stephens,1992,2,1252.56753798029,696
Port_Stephens,1992,3,3924.17110658136,744
Port_Stephens,1992,4,-301.203093601521,720
Port_Stephens,1992,5,-4806.49611971882,744
Port_Stephens,1992,6,-7170.82219391459,720
Port_Stephens,1992,7,-6404.48673452229,744
Port_Stephens,1992,8,-6268.23751083597,744
Port_Stephens,1992,9,-4619.60567613087,720
Port_Stephens,1992,10,2160.87342202548,744
Port_Stephens,1992,11,-274.21353487041,720
Port_Stephens,1992,12,3775.93218031324,744
Port_Stephens,1993,1,6576.90234874596,744
Port_Stephens,1993,2,6862.95603311394,672
Port_Stephens,1993,3,-577.63446889112,744
Port_Stephens,1993,4,2415.58778029789,720
Port_Stephens,1993,5,-3659.69761406841,744
Port_Stephens,1993,6,-7654.31140529836,720
Port_Stephens,1993,7,-2784.12476358451,744
Port_Stephens,1993,8,-2681.31179115338,744
Port_Stephens,1993,9,-1007.16683667628,720
Port_Stephens,1993,10,1588.20602471881,744
Port_Stephens,1993,11,3739.45077370487,720
Port_Stephens,1993,12,5731.45648978129,744
Port_Stephens,1994,1,7130.59877822018,744
Port_Stephens,1994,2,9475.92206477835,672
Port_Stephens,1994,3,-89.2290976111541,744
Port_Stephens,1994,4,2663.78544247489,720
Port_Stephens,1994,5,-3030.454603199,744
Port_Stephens,1994,6,-8206.77004435211,720
Port_Stephens,1994,7,-6898.21874118494,744
Port_Stephens,1994,8,-4891.05725191396,744
Port_Stephens,1994,9,-4409.73815124165,720
Port_Stephens,1994,10,3787.82324149907,744
Port_Stephens,1994,11,4186.71631890202,720
Port_Stephens,1994,12,4667.62494408785,744
Port_Stephens,1995,1,5191.17210817923,744
Port_Stephens,1995,2,4061.83312961649,672
Port_Stephens,1995,3,-2645.34904736901,744
Port_Stephens,1995,4,-942.2639801049,720
Port_Stephens,1995,5,-2694.86702814872,744
Port_Stephens,1995,6,-7376.98271150343,720
Port_Stephens,1995,7,-8436.11765395623,744
Port_Stephens,1995,8,-1785.81337868242,744
Port_Stephens,1995,9,-4155.32289913769,720
Port_Stephens,1995,10,551.796787106563,744
Port_Stephens,1995,11,4507.95952578915,720
Port_Stephens,1995,12,2783.00152446259,744
Port_Stephens,1996,1,2311.07244829105,744
Port_Stephens,1996,2,-932.107098299936,696
Port_Stephens,1996,3,2494.48180519522,744
Port_Stephens,1996,4,-2863.9861105585,720
Port_Stephens,1996,5,-805.155621679441,744
Port_Stephens,1996,6,-5400.49869638084,720
Port_Stephens,1996,7,-6569.0492208341,744
Port_Stephens,1996,8,-4542.42037477027,744
Port_Stephens,1996,9,-2319.60970201371,720
Port_Stephens,1996,10,3379.40013245267,744
Port_Stephens,1996,11,78.1239856126087,720
Port_Stephens,1996,12,5076.55080605567,744
Port_Stephens,1997,1,5269.66838551214,744
Port_Stephens,1997,2,1927.31923418008,672
Port_Stephens,1997,3,1619.82218311922,744
Port_Stephens,1997,4,672.021556917632,720
Port_Stephens,1997,5,-6669.53298352801,744
Port_Stephens,1997,6,-8423.60610656992,720
Port_Stephens,1997,7,-7370.79375940109,744
Port_Stephens,1997,8,-3092.23593688483,744
Port_Stephens,1997,9,-4522.73346132187,720
Port_Stephens,1997,10,1368.08297662866,744
Port_Stephens,1997,11,4187.37498886869,720
Port_Stephens,1997,12,7362.12922645783,744
Port_Stephens,1998,1,7988.9793879797,744
Port_Stephens,1998,2,5833.52169679132,672
Port_Stephens,1998,3,1162.01473647476,744
Port_Stephens,1998,4,-424.263008051757,720
Port_Stephens,1998,5,-8021.74424134616,744
Port_Stephens,1998,6,-9693.5345302419,720
Port_Stephens,1998,7,-6447.88894875152,744
Port_Stephens,1998,8,-2568.71104665706,744
Port_Stephens,1998,9,2950.55507245883,720
Port_Stephens,1998,10,-628.943904700969,744
Port_Stephens,1998,11,-91.4087542641602,720
Port_Stephens,1998,12,5748.11097579858,744
Port_Stephens,1999,1,6256.20007854644,744
Port_Stephens,1999,2,2470.65831707687,672
Port_Stephens,1999,3,3112.54333653373,744
Port_Stephens,1999,4,-8303.22860169412,720
Port_Stephens,1999,5,-1839.72885653433,744
Port_Stephens,1999,6,-5585.03765636795,720
Port_Stephens,1999,7,-8625.4804964046,744
Port_Stephens,1999,8,-684.214906252414,744
Port_Stephens,1999,9,3552.31213563673,720
Port_Stephens,1999,10,2899.76111749246,744
Port_Stephens,1999,11,-470.347631855419,720
Port_Stephens,1999,12,5306.30252718525,744
Port_Stephens,2000,1,143.500957280777,744
Port_Stephens,2000,2,12525.8503887312,696
Port_Stephens,2000,3,4171.42690252582,744
Port_Stephens,2000,4,-888.275316701138,720
Port_Stephens,2000,5,-5166.13628548454,744
Port_Stephens,2000,6,-9093.84257241845,720
Port_Stephens,2000,7,-9114.38543862548,744
Port_Stephens,2000,8,-4611.25615925861,744
Port_Stephens,2000,9,-578.700432363758,720
Port_Stephens,2000,10,3824.71512359391,744
Port_Stephens,2000,11,7976.35965325586,720
Port_Stephens,2000,12,3970.11890522286,744
Port_Stephens,2001,1,9959.94903086921,744
Port_Stephens,2001,2,5827.80685978577,672
Port_Stephens,2001,3,1427.49055285004,744
Port_Stephens,2001,4,-1182.26167849386,720
Port_Stephens,2001,5,-10533.5932961941,744
Port_Stephens,2001,6,-5165.35351827777,720
Port_Stephens,2001,7,-8744.37519836026,744
Port_Stephens,2001,8,-6704.35976026839,744
Port_Stephens,2001,9,2580.34118544062,720
Port_Stephens,2001,10,798.594377856807,744
Port_Stephens,2001,11,158.656730475339,720
Port_Stephens,2001,12,2796.26083727002,744
Port_Stephens,2002,1,4432.11383822552,744
Port_Stephens,2002,2,4502.10468164092,672
Port_Stephens,2002,3,1890.78691588347,744
Port_Stephens,2002,4,-240.713644004914,720
Port_Stephens,2002,5,-7760.53227886142,744
Port_Stephens,2002,6,-8297.93060413607,720
Port_Stephens,2002,7,-8764.84487901544,744
Port_Stephens,2002,8,-3354.14475310242,744
Port_Stephens,2002,9,277.560978372548,720
Port_Stephens,2002,10,5801.9023564104,744
Port_Stephens,2002,11,6684.45010818392,720
Port_Stephens,2002,12,4712.67224224352,744
Port_Stephens,2003,1,4818.95675541688,744
Port_Stephens,2003,2,10162.2466241124,672
Port_Stephens,2003,3,1349.35065733485,744
Port_Stephens,2003,4,-4631.28036264165,720
Port_Stephens,2003,5,-3902.3968139149,744
Port_Stephens,2003,6,-4885.76880029746,720
Port_Stephens,2003,7,-5008.34505370937,744
Port_Stephens,2003,8,-2269.83079883174,744
Port_Stephens,2003,9,-4863.29447191762,720
Port_Stephens,2003,10,-1448.72709080942,744
Port_Stephens,2003,11,814.361091310314,720
Port_Stephens,2003,12,5460.87359467889,744
Port_Stephens,2004,1,5655.40715546468,744
Port_Stephens,2004,2,2689.08855153287,696
Port_Stephens,2004,3,2787.09673338583,744
Port_Stephens,2004,4,-276.568200451759,720
Port_Stephens,2004,5,-7633.04622951434,744
Port_Stephens,2004,6,-4606.59773978416,720
Port_Stephens,2004,7,-6707.11217341417,744
Port_Stephens,2004,8,-4664.28704652726,744
Port_Stephens,2004,9,-133.652727585806,720
Port_Stephens,2004,10,527.534185677093,744
Port_Stephens,2004,11,2698.89541548114,720
Port_Stephens,2004,12,4725.22197339601,744
Port_Stephens,2005,1,5286.43742282798,744
Port_Stephens,2005,2,4448.36739469787,672
Port_Stephens,2005,3,-2715.47035198555,744
Port_Stephens,2005,4,3395.25912334112,720
Port_Stephens,2005,5,-7974.61910991397,744
