estuary,Year,Month,displacement,count
St_Georges_Basin,1990,1,9139.31307398265,741
St_Georges_Basin,1990,2,9792.54185397669,672
St_Georges_Basin,1990,3,7434.50337327923,744
St_Georges_Basin,1990,4,-2249.99751427963,720
St_Georges_Basin,1990,5,-3708.7128419267,744
St_Georges_Basin,1990,6,-12341.804635724,720
St_Georges_Basin,1990,7,-16079.7471506646,744
St_Georges_Basin,1990,8,-8037.43458726729,744
St_Georges_Basin,1990,9,-75.0597383763427,720
St_Georges_Basin,1990,10,2285.05975757815,744
St_Georges_Basin,1990,11,3481.92036267639,720
St_Georges_Basin,1990,12,6091.31303022207,744
St_Georges_Basin,1991,1,6359.91673344393,744
St_Georges_Basin,1991,2,6568.90603171091,672
St_Georges_Basin,1991,3,740.850977444938,744
St_Georges_Basin,1991,4,2596.20017632908,720
St_Georges_Basin,1991,5,800.13127444571,744
St_Georges_Basin,1991,6,-4863.99132565048,720
St_Georges_Basin,1991,7,-11903.9800267159,744
St_Georges_Basin,1991,8,-26684.9922841031,744
St_Georges_Basin,1991,9,-10101.9640032493,720
St_Georges_Basin,1991,10,3026.07301602938,744
St_Georges_Basin,1991,11,4645.4369939544,720
St_Georges_Basin,1991,12,6475.03124254738,744
St_Georges_Basin,1992,1,8852.810730362,744
St_Georges_Basin,1992,2,11384.5089796646,696
St_Georges_Basin,1992,3,4064.43280769753,744
St_Georges_Basin,1992,4,905.232090867377,720
St_Georges_Basin,1992,5,-7295.56219407693,744
St_Georges_Basin,1992,6,-9284.02000187875,720
St_Georges_Basin,1992,7,-15478.1428225514,744
St_Georges_Basin,1992,8,-13465.0946693271,744
St_Georges_Basin,1992,9,-8600.80741948865,720
St_Georges_Basin,1992,10,177.964988242426,744
St_Georges_Basin,1992,11,1183.09535738888,720
St_Georges_Basin,1992,12,6458.51676367276,744
St_Georges_Basin,1993,1,4549.43345982608,744
St_Georges_Basin,1993,2,1054.58789229638,672
St_Georges_Basin,1993,3,6858.12896867218,744
St_Georges_Basin,1993,4,-857.626480377387,720
St_Georges_Basin,1993,5,-6453.99198737994,744
St_Georges_Basin,1993,6,-15394.148082888,720
St_Georges_Basin,1993,7,-9241.3210053434,744
St_Georges_Basin,1993,8,-10570.7556466327,744
St_Georges_Basin,1993,9,-2073.44532538602,720
St_Georges_Basin,1993,10,-1654.22575645107,744
St_Georges_Basin,1993,11,3076.18920914598,720
St_Georges_Basin,1993,12,3299.15376583633,744
St_Georges_Basin,1994,1,2395.62085256414,744
St_Georges_Basin,1994,2,2988.36654692261,672
St_Georges_Basin,1994,3,6668.32701291269,744
St_Georges_Basin,1994,4,-1724.94209142397,720
St_Georges_Basin,1994,5,-13773.7817811007,744
St_Georges_Basin,1994,6,-8243.67465436902,720
St_Georges_Basin,1994,7,-13616.3310212406,744
St_Georges_Basin,1994,8,-9189.43881304079,744
St_Georges_Basin,1994,9,-5109.83750422664,720
St_Georges_Basin,1994,10,331.215533822198,744
St_Georges_Basin,1994,11,-3602.29468557169,720
St_Georges_Basin,1994,12,8429.98279552267,744
St_Georges_Basin,1995,1,6636.20491961035,744
St_Georges_Basin,1995,2,7339.00577405286,672
St_Georges_Basin,1995,3,13165.6193911454,744
St_Georges_Basin,1995,4,-6405.14540448897,720
St_Georges_Basin,1995,5,-1762.22853910273,744
St_Georges_Basin,1995,6,-10145.1498428035,720
St_Georges_Basin,1995,7,-17218.463425806,744
St_Georges_Basin,1995,8,-8508.16405678455,744
St_Georges_Basin,1995,9,4479.20396787203,720
St_Georges_Basin,1995,10,4358.3428019579,744
St_Georges_Basin,1995,11,471.015847763641,720
St_Georges_Basin,1995,12,5342.2620889891,744
St_Georges_Basin,1996,1,6989.13747044973,744
St_Georges_Basin,1996,2,8477.28293588318,696
St_Georges_Basin,1996,3,3476.83237583237,744
St_Georges_Basin,1996,4,-2952.56926612504,720
St_Georges_Basin,1996,5,-27.2727549969721,744
St_Georges_Basin,1996,6,-10256.1691429837,720
St_Georges_Basin,1996,7,-13164.9893590033,744
St_Georges_Basin,1996,8,-8818.1685084915,744
St_Georges_Basin,1996,9,-13529.2338505748,720
St_Georges_Basin,1996,10,-1529.18346813978,744
St_Georges_Basin,1996,11,4032.11979556425,720
St_Georges_Basin,1996,12,8601.59018669543,744
St_Georges_Basin,1997,1,6667.41060252428,744
St_Georges_Basin,1997,2,8488.35622807657,672
St_Georges_Basin,1997,3,8022.4188212154,744
St_Georges_Basin,1997,4,550.791281263719,720
St_Georges_Basin,1997,5,-1068.50587507047,744
St_Georges_Basin,1997,6,-459.026145181844,720
St_Georges_Basin,1997,7,-4315.35742717617,744
St_Georges_Basin,1997,8,-14281.0244770314,744
St_Georges_Basin,1997,9,2043.0319556204,720
St_Georges_Basin,1997,10,579.505473434141,744
St_Georges_Basin,1997,11,4347.03086122585,720
St_Georges_Basin,1997,12,4803.53687783955,744
St_Georges_Basin,1998,1,3179.05627524588,744
St_Georges_Basin,1998,2,3739.41258993871,672
St_Georges_Basin,1998,3,7979.30934919359,744
St_Georges_Basin,1998,4,-2877.79590599508,720
St_Georges_Basin,1998,5,-4024.11075060715,744
St_Georges_Basin,1998,6,-6881.28742286282,720
St_Georges_Basin,1998,7,-13404.306113562,744
St_Georges_Basin,1998,8,6671.97356258328,744
St_Georges_Basin,1998,9,-8607.44184886314,720
St_Georges_Basin,1998,10,-6382.65516620655,744
St_Georges_Basin,1998,11,9992.5770590735,720
St_Georges_Basin,1998,12,5601.90215309926,744
St_Georges_Basin,1999,1,7067.395099244,744
St_Georges_Basin,1999,2,12080.3699346032,672
St_Georges_Basin,1999,3,2863.43880990987,744
St_Georges_Basin,1999,4,5221.34364742568,720
St_Georges_Basin,1999,5,-11930.049993078,744
St_Georges_Basin,1999,6,-8346.5799042351,720
St_Georges_Basin,1999,7,-2056.99766810223,744
