estuary,Year,Month,displacement,count
Sydney,1990,1,2460.56507488221,741
Sydney,1990,2,1307.22123531175,672
Sydney,1990,3,2898.08739574139,744
Sydney,1990,4,-1065.42253595111,720
Sydney,1990,5,-4013.33338260169,744
Sydney,1990,6,-6766.15382187629,720
Sydney,1990,7,-5015.26586133023,744
Sydney,1990,8,-11051.7756411366,744
Sydney,1990,9,364.282675337607,720
Sydney,1990,10,-1992.2507285761,744
Sydney,1990,11,2639.44647351305,720
Sydney,1990,12,5164.21436925327,744
Sydney,1991,1,5822.04111109198,744
Sydney,1991,2,5528.07065920183,672
Sydney,1991,3,3330.32126498407,744
Sydney,1991,4,-3246.24379382726,720
Sydney,1991,5,-5468.5708055455,744
Sydney,1991,6,-1306.32709878695,720
Sydney,1991,7,-11485.2154809946,744
Sydney,1991,8,-7073.619053132,744
Sydney,1991,9,-4203.15124826375,720
Sydney,1991,10,2849.68947210307,744
Sydney,1991,11,4303.93411712609,720
Sydney,1991,12,5272.21715190493,744
Sydney,1992,1,3681.78374082538,744
Sydney,1992,2,30.4674634343733,696
Sydney,1992,3,3630.60476621666,744
Sydney,1992,4,-517.75595955346,720
Sydney,1992,5,-7420.73812556986,744
Sydney,1992,6,-9516.47640644635,720
Sydney,1992,7,-7961.35661512604,744
Sydney,1992,8,-5841.59756333925,744
Sydney,1992,9,-4665.70939181762,720
Sydney,1992,10,1959.870894852,744
Sydney,1992,11,-1313.63610803068,720
Sydney,1992,12,3042.20247526163,744
Sydney,1993,1,5758.22330987633,744
Sydney,1993,2,4687.59187182161,672
Sydney,1993,3,-1887.35355890742,744
Sydney,1993,4,2106.49019303781,720
Sydney,1993,5,-4704.09044079364,744
Sydney,1993,6,-9260.20605970194,720
Sydney,1993,7,-2922.22908191127,744
Sydney,1993,8,-3627.6868900841,744
Sydney,1993,9,-1603.64181219872,720
Sydney,1993,10,576.47304600302,744
Sydney,1993,11,2443.40147198247,720
Sydney,1993,12,4708.57066935924,744
Sydney,1994,1,6263.76682821192,744
Sydney,1994,2,7093.76417177461,672
Sydney,1994,3,-1281.40582739081,744
Sydney,1994,4,1335.68723300198,720
Sydney,1994,5,-4362.28845779691,744
Sydney,1994,6,-9727.93492159323,720
Sydney,1994,7,-9498.98824153404,744
Sydney,1994,8,-7310.27248999934,744
Sydney,1994,9,-7330.84399403101,720
Sydney,1994,10,2879.12279186997,744
Sydney,1994,11,1853.58638167864,720
Sydney,1994,12,3299.78061599785,744
Sydney,1995,1,7162.0303817507,744
Sydney,1995,2,3349.92226495856,672
Sydney,1995,3,-1840.80754792904,744
Sydney,1995,4,-2146.5004160377,720
Sydney,1995,5,-3600.87870424236,744
Sydney,1995,6,-9415.43897914277,720
Sydney,1995,7,-8525.25765611295,744
Sydney,1995,8,-3356.49623670325,744
Sydney,1995,9,-4939.61745655856,720
Sydney,1995,10,-282.321221223497,744
Sydney,1995,11,4608.02008507452,720
Sydney,1995,12,1129.85127742571,744
Sydney,1996,1,218.707066760822,744
Sydney,1996,2,-756.22312531455,696
Sydney,1996,3,2899.07062772063,744
Sydney,1996,4,-4274.49125141766,720
Sydney,1996,5,-4118.78103489952,744
Sydney,1996,6,-7035.84894441492,720
Sydney,1996,7,-8426.99491581875,744
Sydney,1996,8,-6114.61149155538,744
Sydney,1996,9,-1289.03939864711,720
Sydney,1996,10,2087.25512082259,744
Sydney,1996,11,-1117.14562922796,720
Sydney,1996,12,3146.17050661983,744
Sydney,1997,1,3474.27406349803,744
Sydney,1997,2,406.552104503374,672
Sydney,1997,3,-89.9641351101958,744
Sydney,1997,4,-609.91566121924,720
Sydney,1997,5,-8231.52903474197,744
Sydney,1997,6,-9887.4062390805,720
Sydney,1997,7,-11233.259899829,744
Sydney,1997,8,-5811.64876272888,744
Sydney,1997,9,-4489.32584789132,720
Sydney,1997,10,661.521021217011,744
Sydney,1997,11,2802.46251729441,720
Sydney,1997,12,6242.76893879119,744
Sydney,1998,1,4766.1676986674,744
Sydney,1998,2,5033.38087640406,672
Sydney,1998,3,1196.63468448165,744
Sydney,1998,4,-211.560338523377,720
Sydney,1998,5,-10075.2035471153,744
Sydney,1998,6,-9577.98408980786,720
Sydney,1998,7,-7695.34304404366,744
Sydney,1998,8,-3773.72706781612,744
Sydney,1998,9,1682.73630186852,720
Sydney,1998,10,-1293.4973533491,744
Sydney,1998,11,-2296.2507830506,720
Sydney,1998,12,3898.81390385462,744
Sydney,1999,1,5322.03423885308,744
Sydney,1999,2,956.980639988341,672
Sydney,1999,3,2372.86332791843,744
Sydney,1999,4,-9344.64945861802,720
Sydney,1999,5,-3185.68434065932,744
Sydney,1999,6,-7760.86956879605,720
Sydney,1999,7,-10422.9971994224,744
Sydney,1999,8,-1498.25143555016,744
Sydney,1999,9,2492.63625649632,720
Sydney,1999,10,935.925474918342,744
Sydney,1999,11,-772.915795098019,720
Sydney,1999,12,4331.07641092194,744
Sydney,2000,1,-523.470796559015,744
Sydney,2000,2,10788.5558489467,696
Sydney,2000,3,153.412826586064,744
Sydney,2000,4,-1913.74172332113,720
Sydney,2000,5,-5202.85952261207,744
Sydney,2000,6,-10646.5886062743,720
Sydney,2000,7,-9201.6385263366,744
Sydney,2000,8,-6210.67548331348,744
Sydney,2000,9,-444.439946499527,720
Sydney,2000,10,3436.8667005597,744
Sydney,2000,11,6848.43029206142,720
Sydney,2000,12,2909.88936147278,744
Sydney,2001,1,8069.70941563438,744
Sydney,2001,2,4048.40835382228,672
Sydney,2001,3,1858.90665310028,744
Sydney,2001,4,-2191.76727084891,720
Sydney,2001,5,-13945.0614282804,744
Sydney,2001,6,-6792.12514684249,720
Sydney,2001,7,-13100.1374141202,744
Sydney,2001,8,-8775.50133176131,744
Sydney,2001,9,1939.57304114465,720
Sydney,2001,10,-604.694031193565,744
Sydney,2001,11,-452.315348274992,720
Sydney,2001,12,2207.88400215911,744
Sydney,2002,1,2906.16008030881,744
Sydney,2002,2,1941.91816078446,672
Sydney,2002,3,1644.53026182083,744
Sydney,2002,4,-1913.09896325703,720
Sydney,2002,5,-8941.47343544142,744
Sydney,2002,6,-7237.74560811321,720
Sydney,2002,7,-7885.40274022488,744
Sydney,2002,8,-5292.61682898877,744
Sydney,2002,9,-698.530636590925,720
Sydney,2002,10,3671.98324083813,744
Sydney,2002,11,4764.72944347446,720
Sydney,2002,12,4430.2428336825,744
Sydney,2003,1,5125.27010972603,744
Sydney,2003,2,9343.96533280722,672
Sydney,2003,3,-683.174398623901,744
Sydney,2003,4,-5520.42754200398,720
Sydney,2003,5,-4331.20687212308,744
Sydney,2003,6,-5215.35197811529,720
Sydney,2003,7,-5972.644248883,744
Sydney,2003,8,-3800.86299765092,744
Sydney,2003,9,-4052.25536826532,720
Sydney,2003,10,-2360.68588848623,744
Sydney,2003,11,-174.057516169582,720
Sydney,2003,12,3430.95776274271,744
Sydney,2004,1,2821.65622376294,744
Sydney,2004,2,1629.47313002225,696
Sydney,2004,3,2491.32209854349,744
Sydney,2004,4,-1358.74704579665,720
Sydney,2004,5,-10086.4582121981,744
Sydney,2004,6,-4848.09096901533,720
Sydney,2004,7,-9063.4642044385,744
Sydney,2004,8,-5942.78136174653,744
Sydney,2004,9,-808.665346187854,720
Sydney,2004,10,63.0700357945382,744
Sydney,2004,11,2645.14540061603,720
Sydney,2004,12,4157.46755400502,744
Sydney,2005,1,4378.98430956089,744
Sydney,2005,2,1907.56231716034,672
Sydney,2005,3,-5360.86712906229,744
Sydney,2005,4,2854.81882469381,720
Sydney,2005,5,-9607.78970129505,744
Sydney,2005,6,1086.17859485267,720
Sydney,2005,7,-8137.151492657,744
Sydney,2005,8,-2817.70420396289,744
Sydney,2005,9,-2261.59583325804,720
Sydney,2005,10,6114.70695097084,744
Sydney,2005,11,4166.33255172076,720
Sydney,2005,12,3054.50719391445,744
Sydney,2006,1,7621.89020582756,744
Sydney,2006,2,2359.44491608524,672
Sydney,2006,3,2554.95216290873,744
Sydney,2006,4,-6421.04576112412,720
Sydney,2006,5,-10746.1559585798,744
Sydney,2006,6,-12437.9768148196,720
Sydney,2006,7,-8618.15875923881,744
Sydney,2006,8,-7663.72052168222,744
Sydney,2006,9,-981.135054080287,720
Sydney,2006,10,3465.07177584767,744
Sydney,2006,11,-1737.89593410193,720
Sydney,2006,12,5379.27170436301,744
Sydney,2007,1,9143.4305567695,744
Sydney,2007,2,7333.28457308627,672
Sydney,2007,3,34.0440095336185,744
Sydney,2007,4,-3645.59189444391,720
Sydney,2007,5,-425.908091978186,744
Sydney,2007,6,-13967.5548485433,720
Sydney,2007,7,-12445.1871826674,744
Sydney,2007,8,-2729.70335083066,744
Sydney,2007,9,-575.900289510255,720
Sydney,2007,10,1558.21904034225,744
Sydney,2007,11,1064.91341906866,720
Sydney,2007,12,2819.97613805084,744
Sydney,2008,1,4005.45798082622,744
Sydney,2008,2,-1421.1329557804,696
Sydney,2008,3,3620.05650080831,744
Sydney,2008,4,-5263.06577594281,720
Sydney,2008,5,-6359.47762013282,744
Sydney,2008,6,-9693.93864176735,720
Sydney,2008,7,-7028.25992088584,744
Sydney,2008,8,-12624.8322566219,744
Sydney,2008,9,98.6063941898554,720
Sydney,2008,10,-296.153290523678,744
Sydney,2008,11,2397.39957967221,720
Sydney,2008,12,4233.71417111358,744
Sydney,2009,1,8549.66662864612,744
Sydney,2009,2,2361.27773686207,672
Sydney,2009,3,6329.06106838668,744
Sydney,2009,4,-4970.31402259004,720
Sydney,2009,5,-4019.31550597053,744
Sydney,2009,6,-2313.27119682715,720
Sydney,2009,7,-7916.63069700242,744
Sydney,2009,8,-1639.88775224895,744
Sydney,2009,9,179.84553872699,720
Sydney,2009,10,-2830.8171456666,744
Sydney,2009,11,3761.39689331917,720
Sydney,2009,12,3132.3066175145,744
Sydney,2010,1,2578.46699891709,744
Sydney,2010,2,3458.59962747947,672
Sydney,2010,3,3527.34949849389,744
Sydney,2010,4,-4370.32295859814,720
Sydney,2010,5,-8641.20902609193,744
Sydney,2010,6,-9438.81062602794,720
Sydney,2010,7,-8156.11927850893,744
Sydney,2010,8,-7139.82652171466,744
Sydney,2010,9,-2652.21894330163,720
Sydney,2010,10,5806.24575981383,744
Sydney,2010,11,5726.83625407302,720
Sydney,2010,12,4728.47395748269,744
Sydney,2011,1,7470.57112242059,744
Sydney,2011,2,1423.22669895949,672
Sydney,2011,3,973.953324057162,744
Sydney,2011,4,-5932.7963068894,720
Sydney,2011,5,-11923.7305797746,744
Sydney,2011,6,-9885.71978940738,720
Sydney,2011,7,-10485.8126767758,744
Sydney,2011,8,-1062.56193546782,744
Sydney,2011,9,234.282861383411,720
Sydney,2011,10,163.292876086189,744
Sydney,2011,11,5537.18703337828,720
Sydney,2011,12,-2663.35269312481,744
Sydney,2012,1,6743.29447385409,744
Sydney,2012,2,2906.61192154198,696
Sydney,2012,3,631.371755834172,744
Sydney,2012,4,-2329.16837148179,720
Sydney,2012,5,-8612.14799804533,744
Sydney,2012,6,-8367.92462953199,720
Sydney,2012,7,-10189.5066511873,744
Sydney,2012,8,-8066.46697748925,744
Sydney,2012,9,-967.430264000719,720
