estuary,Year,Month,displacement,count
Tuggerah_Lakes,1990,1,3255.58927060081,741
Tuggerah_Lakes,1990,2,2630.89649186834,672
Tuggerah_Lakes,1990,3,2255.21278034427,744
Tuggerah_Lakes,1990,4,68.8262385467909,720
Tuggerah_Lakes,1990,5,-3076.77787554131,744
Tuggerah_Lakes,1990,6,-5489.32368246654,720
Tuggerah_Lakes,1990,7,-3857.81090293396,744
Tuggerah_Lakes,1990,8,-8533.8140017187,744
Tuggerah_Lakes,1990,9,249.247715747052,720
Tuggerah_Lakes,1990,10,-2446.93983431554,744
Tuggerah_Lakes,1990,11,1991.00975617512,720
Tuggerah_Lakes,1990,12,4097.40130781696,744
Tuggerah_Lakes,1991,1,5867.07249934507,744
Tuggerah_Lakes,1991,2,4880.47398471994,672
Tuggerah_Lakes,1991,3,3837.66260231083,744
Tuggerah_Lakes,1991,4,-2909.87345157021,720
Tuggerah_Lakes,1991,5,-4758.31457075554,744
Tuggerah_Lakes,1991,6,-509.326893168322,720
Tuggerah_Lakes,1991,7,-7331.28628932264,744
Tuggerah_Lakes,1991,8,-5716.65709840445,744
Tuggerah_Lakes,1991,9,-3313.05902068836,720
Tuggerah_Lakes,1991,10,2568.03964876832,744
Tuggerah_Lakes,1991,11,4651.74686131631,720
Tuggerah_Lakes,1991,12,4639.29577155978,744
Tuggerah_Lakes,1992,1,3703.3830245635,744
Tuggerah_Lakes,1992,2,276.590474315366,696
Tuggerah_Lakes,1992,3,3385.17542708801,744
Tuggerah_Lakes,1992,4,-933.34170673989,720
Tuggerah_Lakes,1992,5,-6325.59270962497,744
Tuggerah_Lakes,1992,6,-6948.06764793825,720
Tuggerah_Lakes,1992,7,-5622.16182304042,744
Tuggerah_Lakes,1992,8,-5115.49188360239,744
Tuggerah_Lakes,1992,9,-4146.02515207186,720
Tuggerah_Lakes,1992,10,1986.67271673271,744
Tuggerah_Lakes,1992,11,-686.983229300761,720
Tuggerah_Lakes,1992,12,2543.34429798877,744
Tuggerah_Lakes,1993,1,4438.52552896392,744
Tuggerah_Lakes,1993,2,4393.69778746382,672
Tuggerah_Lakes,1993,3,-1913.98991780133,744
Tuggerah_Lakes,1993,4,2163.70856666465,720
Tuggerah_Lakes,1993,5,-3840.26546237238,744
Tuggerah_Lakes,1993,6,-6379.21226328895,720
Tuggerah_Lakes,1993,7,-2421.8753737962,744
Tuggerah_Lakes,1993,8,-2251.18439301185,744
Tuggerah_Lakes,1993,9,-938.579246668138,720
Tuggerah_Lakes,1993,10,1165.35899799638,744
Tuggerah_Lakes,1993,11,2624.23342466922,720
Tuggerah_Lakes,1993,12,4685.90860412899,744
Tuggerah_Lakes,1994,1,5186.93689211331,744
Tuggerah_Lakes,1994,2,7098.2634922233,672
Tuggerah_Lakes,1994,3,-518.131433254275,744
Tuggerah_Lakes,1994,4,1576.16859242928,720
Tuggerah_Lakes,1994,5,-3704.76718608768,744
Tuggerah_Lakes,1994,6,-8091.09232469746,720
Tuggerah_Lakes,1994,7,-6975.67451088933,744
Tuggerah_Lakes,1994,8,-5527.28152803403,744
Tuggerah_Lakes,1994,9,-5434.20223399932,720
Tuggerah_Lakes,1994,10,2607.06982176947,744
Tuggerah_Lakes,1994,11,1591.83030052578,720
Tuggerah_Lakes,1994,12,2457.70447439893,744
Tuggerah_Lakes,1995,1,5870.46767255493,744
Tuggerah_Lakes,1995,2,3048.56007233128,672
Tuggerah_Lakes,1995,3,-2504.77869414286,744
Tuggerah_Lakes,1995,4,-1333.68576725783,720
Tuggerah_Lakes,1995,5,-2870.21324642702,744
Tuggerah_Lakes,1995,6,-7486.43329528956,720
Tuggerah_Lakes,1995,7,-5974.43570391313,744
Tuggerah_Lakes,1995,8,-2283.32557819729,744
Tuggerah_Lakes,1995,9,-4685.11629098067,720
Tuggerah_Lakes,1995,10,-419.82414523286,744
Tuggerah_Lakes,1995,11,3660.32446422993,720
Tuggerah_Lakes,1995,12,1541.96230188938,744
Tuggerah_Lakes,1996,1,276.800485029379,744
Tuggerah_Lakes,1996,2,-1271.4462283778,696
Tuggerah_Lakes,1996,3,2075.96863593468,744
Tuggerah_Lakes,1996,4,-3213.96578347965,720
Tuggerah_Lakes,1996,5,-2339.08660474811,744
Tuggerah_Lakes,1996,6,-5426.14227735396,720
Tuggerah_Lakes,1996,7,-5585.47995165958,744
Tuggerah_Lakes,1996,8,-4560.11855039659,744
Tuggerah_Lakes,1996,9,-1346.48369289053,720
Tuggerah_Lakes,1996,10,1618.50166120536,744
Tuggerah_Lakes,1996,11,-897.862623993857,720
Tuggerah_Lakes,1996,12,2243.08307061979,744
Tuggerah_Lakes,1997,1,3599.23043833541,744
Tuggerah_Lakes,1997,2,-266.907707607193,672
Tuggerah_Lakes,1997,3,24.7812642534602,744
Tuggerah_Lakes,1997,4,-454.60955622655,720
Tuggerah_Lakes,1997,5,-7214.13213070887,744
Tuggerah_Lakes,1997,6,-8320.84722780755,720
Tuggerah_Lakes,1997,7,-9760.85251002442,744
Tuggerah_Lakes,1997,8,-3454.67306352354,744
Tuggerah_Lakes,1997,9,-3804.91365884696,720
Tuggerah_Lakes,1997,10,169.252725591423,744
Tuggerah_Lakes,1997,11,2407.84602170407,720
Tuggerah_Lakes,1997,12,5283.71682948736,744
Tuggerah_Lakes,1998,1,4587.89087633447,744
Tuggerah_Lakes,1998,2,4497.50990177677,672
Tuggerah_Lakes,1998,3,134.07593099434,744
Tuggerah_Lakes,1998,4,-384.644168655269,720
Tuggerah_Lakes,1998,5,-7493.92367742267,744
Tuggerah_Lakes,1998,6,-8213.49675116153,720
Tuggerah_Lakes,1998,7,-5720.07136349741,744
Tuggerah_Lakes,1998,8,-3207.72273770857,744
Tuggerah_Lakes,1998,9,1919.20836584648,720
Tuggerah_Lakes,1998,10,-360.585213978785,744
Tuggerah_Lakes,1998,11,-2649.61290125957,720
Tuggerah_Lakes,1998,12,3729.11570099105,744
Tuggerah_Lakes,1999,1,4838.17591772953,744
Tuggerah_Lakes,1999,2,385.360114271212,672
Tuggerah_Lakes,1999,3,2552.311119081,744
Tuggerah_Lakes,1999,4,-8035.54449084118,720
Tuggerah_Lakes,1999,5,-2860.30774108277,744
Tuggerah_Lakes,1999,6,-5397.87356245569,720
Tuggerah_Lakes,1999,7,-8497.15758618199,744
Tuggerah_Lakes,1999,8,-1505.29634041113,744
Tuggerah_Lakes,1999,9,2510.80854721942,720
Tuggerah_Lakes,1999,10,570.385917277174,744
Tuggerah_Lakes,1999,11,-772.918977078533,720
Tuggerah_Lakes,1999,12,4716.43334321265,744
Tuggerah_Lakes,2000,1,-625.930569152943,744
Tuggerah_Lakes,2000,2,9587.30411073729,696
Tuggerah_Lakes,2000,3,-126.031884251566,744
Tuggerah_Lakes,2000,4,-1641.30373357828,720
Tuggerah_Lakes,2000,5,-4084.53656059344,744
Tuggerah_Lakes,2000,6,-8541.46030089706,720
Tuggerah_Lakes,2000,7,-7979.1470681873,744
Tuggerah_Lakes,2000,8,-4826.50123121875,744
Tuggerah_Lakes,2000,9,-832.947039500415,720
Tuggerah_Lakes,2000,10,2887.14456474914,744
Tuggerah_Lakes,2000,11,6019.33026700405,720
Tuggerah_Lakes,2000,12,2175.10005690956,744
Tuggerah_Lakes,2001,1,7513.79832772148,744
Tuggerah_Lakes,2001,2,3432.69512410409,672
Tuggerah_Lakes,2001,3,1679.74524018409,744
Tuggerah_Lakes,2001,4,-2371.1768782453,720
Tuggerah_Lakes,2001,5,-11248.7943287049,744
Tuggerah_Lakes,2001,6,-4333.87018981441,720
Tuggerah_Lakes,2001,7,-9789.4744247599,744
Tuggerah_Lakes,2001,8,-6495.52637904667,744
Tuggerah_Lakes,2001,9,1600.21800116422,720
Tuggerah_Lakes,2001,10,250.498234089585,744
Tuggerah_Lakes,2001,11,-513.613020922491,720
Tuggerah_Lakes,2001,12,1872.92645925087,744
Tuggerah_Lakes,2002,1,3247.46249236463,744
Tuggerah_Lakes,2002,2,2481.62023995222,672
Tuggerah_Lakes,2002,3,1317.43857474651,744
Tuggerah_Lakes,2002,4,-1400.80010028738,720
Tuggerah_Lakes,2002,5,-7660.47171957605,744
Tuggerah_Lakes,2002,6,-6265.49464363175,720
Tuggerah_Lakes,2002,7,-6364.06285405542,744
Tuggerah_Lakes,2002,8,-3985.58651250793,744
Tuggerah_Lakes,2002,9,-773.574465064691,720
Tuggerah_Lakes,2002,10,3231.91215358617,744
Tuggerah_Lakes,2002,11,4044.55815739871,720
Tuggerah_Lakes,2002,12,3912.75097851181,744
Tuggerah_Lakes,2003,1,4362.58120000432,744
Tuggerah_Lakes,2003,2,8354.51576364035,672
Tuggerah_Lakes,2003,3,-281.974385347322,744
Tuggerah_Lakes,2003,4,-5197.56470703455,720
Tuggerah_Lakes,2003,5,-3913.23782153066,744
Tuggerah_Lakes,2003,6,-3468.54013460939,720
Tuggerah_Lakes,2003,7,-4472.05087567354,744
Tuggerah_Lakes,2003,8,-2644.51218649348,744
Tuggerah_Lakes,2003,9,-3539.16419214735,720
Tuggerah_Lakes,2003,10,-2034.15422998261,744
Tuggerah_Lakes,2003,11,-538.047449299784,720
Tuggerah_Lakes,2003,12,2703.21972700148,744
Tuggerah_Lakes,2004,1,3190.28866646501,744
Tuggerah_Lakes,2004,2,647.918054513936,696
Tuggerah_Lakes,2004,3,1921.97350691431,744
Tuggerah_Lakes,2004,4,-1313.62019812811,720
Tuggerah_Lakes,2004,5,-6843.47594839904,744
Tuggerah_Lakes,2004,6,-2978.23512096176,720
Tuggerah_Lakes,2004,7,-7059.71698026048,744
Tuggerah_Lakes,2004,8,-4473.14865895134,744
Tuggerah_Lakes,2004,9,-450.934368731332,720
Tuggerah_Lakes,2004,10,-133.375895280974,744
Tuggerah_Lakes,2004,11,1775.96196700693,720
Tuggerah_Lakes,2004,12,3663.77054912804,744
Tuggerah_Lakes,2005,1,3971.286692072,744
Tuggerah_Lakes,2005,2,1611.79722825954,672
Tuggerah_Lakes,2005,3,-5019.44061976637,744
Tuggerah_Lakes,2005,4,2337.73108104856,720
Tuggerah_Lakes,2005,5,-8356.78451574779,744
Tuggerah_Lakes,2005,6,682.77028709845,720
Tuggerah_Lakes,2005,7,-6037.21299750026,744
Tuggerah_Lakes,2005,8,-2434.05281322841,744
Tuggerah_Lakes,2005,9,-1575.94903577372,720
Tuggerah_Lakes,2005,10,5100.82295342668,744
Tuggerah_Lakes,2005,11,3478.86884336218,720
Tuggerah_Lakes,2005,12,2181.38446842736,744
Tuggerah_Lakes,2006,1,6934.96425217608,744
Tuggerah_Lakes,2006,2,2434.53647426674,672
Tuggerah_Lakes,2006,3,2230.08149823411,744
Tuggerah_Lakes,2006,4,-5106.71279936058,720
Tuggerah_Lakes,2006,5,-7342.14002486047,744
Tuggerah_Lakes,2006,6,-9760.88432982957,720
Tuggerah_Lakes,2006,7,-5910.76745578171,744
Tuggerah_Lakes,2006,8,-6014.27091798467,744
Tuggerah_Lakes,2006,9,-803.472353986827,720
Tuggerah_Lakes,2006,10,2740.31525584931,744
Tuggerah_Lakes,2006,11,-1551.5909749288,720
Tuggerah_Lakes,2006,12,5821.26788982675,744
Tuggerah_Lakes,2007,1,8188.30501142159,744
Tuggerah_Lakes,2007,2,6156.94456033146,672
Tuggerah_Lakes,2007,3,201.813932204889,744
Tuggerah_Lakes,2007,4,-2873.79297450678,720
Tuggerah_Lakes,2007,5,-286.728264237237,744
Tuggerah_Lakes,2007,6,-10951.2282388324,720
Tuggerah_Lakes,2007,7,-9488.3795184959,744
Tuggerah_Lakes,2007,8,-1664.84720741128,744
Tuggerah_Lakes,2007,9,-221.309926822377,720
Tuggerah_Lakes,2007,10,484.431077616312,744
Tuggerah_Lakes,2007,11,1500.2306274307,720
Tuggerah_Lakes,2007,12,2198.25851110021,744
Tuggerah_Lakes,2008,1,3881.97168098693,744
Tuggerah_Lakes,2008,2,-1269.10429071851,696
Tuggerah_Lakes,2008,3,2691.28411808845,744
Tuggerah_Lakes,2008,4,-4554.76645916979,720
Tuggerah_Lakes,2008,5,-5358.70020033134,744
Tuggerah_Lakes,2008,6,-7979.90437954995,720
Tuggerah_Lakes,2008,7,-5576.4590368986,744
Tuggerah_Lakes,2008,8,-8196.20268706067,744
Tuggerah_Lakes,2008,9,-500.067329868683,720
Tuggerah_Lakes,2008,10,-171.524659679377,744
Tuggerah_Lakes,2008,11,2183.94914472273,720
Tuggerah_Lakes,2008,12,3089.57898315452,744
Tuggerah_Lakes,2009,1,7786.5004218471,744
Tuggerah_Lakes,2009,2,2798.73641811094,672
Tuggerah_Lakes,2009,3,5929.31522020562,744
Tuggerah_Lakes,2009,4,-4709.91028315621,720
Tuggerah_Lakes,2009,5,-2407.55327949666,744
Tuggerah_Lakes,2009,6,-1085.54856271063,720
Tuggerah_Lakes,2009,7,-5325.97034875056,744
Tuggerah_Lakes,2009,8,-908.538168622814,744
Tuggerah_Lakes,2009,9,-214.805958649022,720
Tuggerah_Lakes,2009,10,-1975.6757920717,744
Tuggerah_Lakes,2009,11,2745.68007499818,720
Tuggerah_Lakes,2009,12,3073.81863366204,744
Tuggerah_Lakes,2010,1,1591.88439419454,744
Tuggerah_Lakes,2010,2,3859.91101007408,672
Tuggerah_Lakes,2010,3,3148.64608746076,744
Tuggerah_Lakes,2010,4,-3451.19834080079,720
Tuggerah_Lakes,2010,5,-6963.8439073333,744
Tuggerah_Lakes,2010,6,-7030.17865513658,720
Tuggerah_Lakes,2010,7,-6663.12447477011,744
