estuary,Year,Month,displacement,count
Wallis_Lake,1990,1,11271.5804911752,741
Wallis_Lake,1990,2,12222.8431121775,672
Wallis_Lake,1990,3,24508.9471789805,744
Wallis_Lake,1990,4,1915.17361455304,720
Wallis_Lake,1990,5,-4023.19434021873,744
Wallis_Lake,1990,6,-8866.13686476025,720
Wallis_Lake,1990,7,-20684.8716334702,744
Wallis_Lake,1990,8,-24074.5686548705,744
Wallis_Lake,1990,9,5631.51366377499,720
Wallis_Lake,1990,10,1872.77054220563,744
Wallis_Lake,1990,11,11049.0264099714,720
Wallis_Lake,1990,12,4645.40835612976,744
Wallis_Lake,1991,1,-222.210427308219,744
Wallis_Lake,1991,2,10872.1973887729,672
Wallis_Lake,1991,3,5044.05642103302,744
Wallis_Lake,1991,4,1587.6237222845,720
Wallis_Lake,1991,5,-132.927236028312,744
Wallis_Lake,1991,6,-9090.93424222742,720
Wallis_Lake,1991,7,-20444.6957441723,744
Wallis_Lake,1991,8,-22864.8687583928,744
Wallis_Lake,1991,9,-10898.2387173104,720
Wallis_Lake,1991,10,7096.96842615356,744
Wallis_Lake,1991,11,11021.0663471831,720
Wallis_Lake,1991,12,14652.5716138856,744
Wallis_Lake,1992,1,13379.4484817762,744
Wallis_Lake,1992,2,20589.7176881394,696
Wallis_Lake,1992,3,17792.1363289556,744
Wallis_Lake,1992,4,7090.94493703801,720
Wallis_Lake,1992,5,-9873.91145971494,744
Wallis_Lake,1992,6,-13934.3445179047,720
Wallis_Lake,1992,7,-16610.3201277338,744
Wallis_Lake,1992,8,-17876.4556306315,744
Wallis_Lake,1992,9,-7230.51614838236,720
Wallis_Lake,1992,10,5047.80797606061,744
Wallis_Lake,1992,11,6109.29758409477,720
Wallis_Lake,1992,12,11224.4712696456,744
Wallis_Lake,1993,1,5156.84172039924,744
Wallis_Lake,1993,2,5323.2179356048,672
Wallis_Lake,1993,3,14790.29091257,744
Wallis_Lake,1993,4,14963.7406704611,720
Wallis_Lake,1993,5,-1496.04950503355,744
Wallis_Lake,1993,6,-11760.9436385903,720
Wallis_Lake,1993,7,-7437.34806385993,744
Wallis_Lake,1993,8,-7630.30018032961,744
Wallis_Lake,1993,9,-3723.5663269723,720
Wallis_Lake,1993,10,6145.36215125563,744
Wallis_Lake,1993,11,9242.26605355646,720
Wallis_Lake,1993,12,4531.95484085532,744
Wallis_Lake,1994,1,13470.6504073068,744
Wallis_Lake,1994,2,8579.71088867195,672
Wallis_Lake,1994,3,23180.0089266515,744
Wallis_Lake,1994,4,5193.27857928039,720
Wallis_Lake,1994,5,-6816.88095525183,744
Wallis_Lake,1994,6,-14818.2414294167,720
Wallis_Lake,1994,7,-13342.9829850704,744
Wallis_Lake,1994,8,-7260.44267512913,744
Wallis_Lake,1994,9,-9152.54374896544,720
Wallis_Lake,1994,10,4675.20123969488,744
Wallis_Lake,1994,11,-2582.99813917092,720
Wallis_Lake,1994,12,14038.4525564056,744
Wallis_Lake,1995,1,14889.6546181225,744
Wallis_Lake,1995,2,17354.0157957595,672
Wallis_Lake,1995,3,23117.2061772203,744
Wallis_Lake,1995,4,-184.122120539608,720
Wallis_Lake,1995,5,-1862.93822241322,744
Wallis_Lake,1995,6,-14191.6744641607,720
Wallis_Lake,1995,7,-24566.3469254967,744
Wallis_Lake,1995,8,-8395.04464946424,744
Wallis_Lake,1995,9,-2688.54761484526,720
Wallis_Lake,1995,10,5547.93894553961,744
Wallis_Lake,1995,11,8626.50509413057,720
Wallis_Lake,1995,12,3187.43761192327,744
Wallis_Lake,1996,1,10330.283833147,744
Wallis_Lake,1996,2,20040.9024167758,696
Wallis_Lake,1996,3,17277.2473338464,744
Wallis_Lake,1996,4,-2530.49546066783,720
Wallis_Lake,1996,5,10711.5201006703,744
Wallis_Lake,1996,6,-13001.4196506123,720
Wallis_Lake,1996,7,-21024.6403309176,744
Wallis_Lake,1996,8,-15293.0756537988,744
Wallis_Lake,1996,9,-15364.899317991,720
Wallis_Lake,1996,10,3653.08864053804,744
Wallis_Lake,1996,11,9003.04475841323,720
Wallis_Lake,1996,12,6668.27928320497,744
Wallis_Lake,1997,1,12137.3496596914,744
Wallis_Lake,1997,2,12755.7166611594,672
Wallis_Lake,1997,3,6586.46101821404,744
Wallis_Lake,1997,4,2297.48857347107,720
Wallis_Lake,1997,5,-4834.56118786411,744
Wallis_Lake,1997,6,-8028.84323987588,720
Wallis_Lake,1997,7,-11278.8926823995,744
Wallis_Lake,1997,8,-14466.8839589324,744
Wallis_Lake,1997,9,-520.721565393763,720
Wallis_Lake,1997,10,-1880.90368440282,744
Wallis_Lake,1997,11,8610.20062596994,720
Wallis_Lake,1997,12,7930.7682364321,744
Wallis_Lake,1998,1,4850.70337501843,744
Wallis_Lake,1998,2,8110.26057532187,672
Wallis_Lake,1998,3,11185.2183580084,744
Wallis_Lake,1998,4,-2209.33180329358,720
