"effect","component","group","term","estimate","std.error","statistic","p.value"
"fixed","cond",NA,"(Intercept)",6.8721261797914,0.355010381875019,19.3575358092224,1.76110622101121e-83
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)1",0.319133682032377,0.458116660449285,0.696620991079859,0.486040015700096
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)2",0.224903866453504,0.475753571512827,0.472731850941953,0.636404499780666
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)1",-0.621219036016163,0.474378950193937,-1.30954174033691,0.19035090840239
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)2",0.549429502239497,0.495178430870933,1.10955863177066,0.267189265851141
"fixed","cond",NA,"Estuary_TypeBarrier River",-1.12722090232739,0.499037126324737,-2.25879166672236,0.0238963471426357
"fixed","cond",NA,"Estuary_TypeDrowned River Valley",0.0673428534294775,0.55925430491047,0.120415440414461,0.904154060716641
"fixed","cond",NA,"Drought_Months",0.0999777054313531,0.0272129509751195,3.67390164788676,0.000238874710399506
"fixed","cond",NA,"X135_degree_winds.standardised:X45_degree_winds.standardised",-0.141517821907443,0.0598619099096996,-2.36407127872999,0.0180753345264961
"fixed","cond",NA,"Estuary_TypeBarrier River:Drought_Months",-0.0516171277301342,0.0341242546585318,-1.51262286155835,0.130375483680578
"fixed","cond",NA,"Estuary_TypeDrowned River Valley:Drought_Months",-0.071573694908916,0.0389865733017423,-1.83585498409826,0.0663791069212866
"ran_pars","cond","Estuary","sd__(Intercept)",0.580339554612985,NA,NA,NA
