Category,Family-NIMO,Common-NIMO,Species-NIMO,NIMO_NAME
Tropical,Acanthuridae,Surgeonfish,,Acanthuridae_37437000
coast/slope,Acropomatidae,Threespine cardinalfish,Apogonops anomalus,Acropomatidae_Apogonops.anomalus_37311053
coast/slope,Acropomatidae,Lanternbelly,Synagrops spp,Acropomatidae_Synagrops.spp_37311949
Tropical,Ammodytidae,Sand lance,,Acropomatidae_other_37311956
Tropical,Anguilliformes,Order of eels,,Ammodytidae_37425000
coast/slope,Antennariidae,Anglerfish,,Anguilliformes_37990019
coast,Anthiinae,Sea perch,,Anthiinae_37311907
Tropical,Aploactinidae,Velvetfish,Matsubarichthys inusitatus,Aploactinidae_Matsubarichthys.inusitatus_37290013
coast,Aplodactylidae,Sea carp,Aplodactylus spp,Aplodactylidae_Aplodactylus.spp_37376901
coast,Apogonidae,Cardinal fish,,Apogonidae_37327926
Ocean,Argentinidae,Herring smelt,,Argentinidae_37097000
coast/pelagic,Arripidae,Australian salmon,Arripis trutta,Arripidae_Arripis.trutta_37344002
Ocean,Astronesthidae,Dragonfish,,Astronesthidae_37108000
Estuary,Atherinidae,Hardyhead,,Atherinidae_37246000
coast,Aulopidae,Sergeant Baker,Hime spp,Aulopidae_Hime.spp_37117902
Tropical,Balistidae,Triggerfish,,Balistidae_37465900
Ocean,Bathylagidae,Deepsea smelt,,Bathylagidae_37098000
coast,Berycidae,Redfish,Centroberyx affinis,Berycidae_Centroberyx.affinis_37258003
coast,Berycidae,Redfish,Beryx spp,Berycidae_Beryx.spp_37258901
estuary/coast,Blenniidae,Blenny,Petroscirtes lupus,Blenniidae_Petroscirtes.lupus_37408073
estuary/coast,Blenniidae,Blenny,Omobranchus anolius,Blenniidae_Omobranchus.anolius_37408058
estuary/coast,Blenniidae,Blenny,Parablennius spp,Blenniidae_Parablennius.spp_37408918
Tropical,Blenniidae,Blenny,Plagiotremus spp,Blenniidae_Plagiotremus.spp_37408921
coast,Bothidae,Flatfish,Lophonectes gallus,Bothidae_Lophonectes.gallus_37460001
Coast,Bothidae,Flatfish,Arnoglossus spp,Bothidae_Arnoglossus.spp_37460902
Tropical,Bothidae,Flatfish,Crossorhombus spp,Bothidae_Crossorhombus.spp_37460907
Tropical,Bothidae,Flatfish,Engyprosopon spp,Bothidae_Engyprosopon.spp_37460908
Tropical,Bothidae,Flatfish,Grammatobothus spp,Bothidae_Grammatobothus.spp_37460909
Tropical,Bothidae,Flatfish,Asterorhombus spp,Bothidae_Asterorhombus.spp_37460903
coast,Bovichtidae,Thornfishes,Bovichtus augustifrons,Bovichtidae_Bovichtus.augustifrons_37403001
coast,Bovichtidae,Thornfishes,Pseudaphritis urvilli,Bovichtidae_Pseudaphritis.urvilli_37403003
coast/pelagic,Bramidae,Pomfret,Brama spp,Bramidae_Brama.spp_37342900
coast/slope,Bregmacerotidae,Codlets,Bregmaceros spp,Bregmacerotidae_Bregmaceros.spp_37225901
coast,Callanthiidae,Splendid perch,Callanthias australis,Callanthiidae_Callanthias.australis_37311055
coast,Callionymidae,Dragonets,,Callionymidae_37427917
Tropical,Caproidae,Boarfishes,Antigonia spp,Caproidae_Antigonia.spp_37267901
coast/pelagic,Carangidae,Scad,Pseudocaranx georgianus,Carangidae_Pseudocaranx.georgianus_37337062
coast/pelagic,Carangidae,Jack mackerel,Trachurus declivus,Carangidae_Trachurus.declivus_37337002
coast/pelagic,Carangidae,Scad,Decapterus spp,Carangidae_Decapterus.spp_37337901
coast/pelagic,Carangidae,Yellowtail scad,Trachurus novaezelandiae,Carangidae_Trachurus.novaezelandiae_37337003
coast/pelagic,Carangidae,Kingfish,Seriola spp,Carangidae_Seriola.spp_37337927
Tropical,Carapidae,Pearlfish,,Carapidae_37229000
coast/slope,Centrolophidae,Trevallas,Seriolella spp,Centrolophidae_Seriolella.spp_37445909
coast,Cepolidae,Bandfish,Acanthocepola spp,Cepolidae_Acanthocepola.spp_37380901
coast,Cepolidae,Bandfish,Owstonia spp,Cepolidae_Owstonia.spp_37380903
coast,Cepolidae,Bandfish,Cepola australis,Cepolidae_Cepola.australis_37380001
Ocean,Cetomimidae,Whalefish,,Cetomimidae_37132000
Tropical,Chaetodontidae,Butterfly fish,,Chaetodontidae_37365900
Tropical,Champsodontidae,Gapers,,Champsodontidae_37401000
Estuary,Chandidae,Estuary perchlet,Ambassis marianus,Chandidae_Ambassis.marianus_37310018
estuary/coast,Chandidae,Port Jackson perchlet,Ambassis jacksoniensis,Chandidae_Ambassis.jacksoniensis_37310012
Ocean,Chauliodontidae,Viperfish,,Chauliodontidae_37111000
coast,Cheilodactylidae,Jackass morwong,Nemadactylus macropterus,Cheilodactylidae_Nemadactylus.macropterus_37377003
coast,Cheilodactylidae,Morwong,Cheilodactylus spp,Cheilodactylidae_Cheilodactylus.spp_37377902
Ocean,Chiasmodontidae,Swallowers,,Chiasmodontidae_37402000
coast,Chironemidae,Marblefish,Chironemus spp,Chironemidae_Chironemus.spp_37375901
coast/slope,Chlorophthalmidae,Greeneyes,Chlorophthalmus spp,Chlorophthalmidae_Chlorophthalmus.spp_37120903
Tropical,Cirrhitidae,Hawkfish,,Cirrhitidae_37374000
estuary/coast,Clinidae,Weedfish,,Clinidae_37416000
coast/pelagic,Clupeidae,Pilchard,Sardinops sagax,Clupeidae_Sardinops.sagax_37085002
coast/pelagic,Clupeidae,Maray,Etrumeus teres,Clupeidae_Etrumeus.teres_37085001
coast/pelagic,Clupeidae,Blue sprat,Spartelloides robustus,Clupeidae_Spartelloides.robustus_37085003
coast/pelagic,Clupeidae,Sandy sprat,Hyperlophus vittatus,Clupeidae_Hyperlophus.vittatus_37085005
Tropical,Coryphaenidae,Dolphin fish,Coryphena spp,Coryphaenidae_Coryphena.spp_37338901
coast,Creediidae,Sand burrower,Creedia spp,Creediidae_Creedia.spp_37395901
coast,Creediidae,Sand burrower,Limnichthys spp,Creediidae_Limnichthys.spp_37395902
coast,Cynoglossidae,Tongue sole,,Cynoglossidae_37463000
Tropical,Dactylopteridae,Flying gurnard,Dactyloptena spp,Dactylopteridae_Dactyloptena.spp_37308902
coast,Dinolestidae,Longfin pike,Dinolestis lewini,Dinolestidae_Dinolestis.lewini_37327002
Ocean,Diretmidae,Discfish,Diretmus spp,Diretmidae_Diretmus.spp_37254902
coast/pelagic,Emmelichthys,Redbait,Emmelichthys nitidus,Emmelichthys_Emmelichthys.nitidus_37345001
coast/pelagic,Engraulidae,Anchovy,Engraulis australis,Engraulidae_Engraulis.australis_37086001
coast,Enoplosidae,Old wife,Enoplosus armatus,Enoplosidae_Enoplosus.armatus_37366001
Tropical,Epinephelinae,Grouper,,Epinephelinae_37311908
Ocean,Evermannellidae,Sabretooth,,Evermannellidae_37130000
Tropical,Exocoetidae,Flying fish,,Exocoetidae_37233000
Tropical,Fistulariidae,Flutemouth,,Fistulariidae_37278000
coast,Gempylidae,Barracouda,Thyrsites atun,Gempylidae_Thyrsites.atun_37439001
slope,Gempylidae,Gemfish,Rexea solandri,Gempylidae_Rexea.solandri_37439002
slope,Gempylidae,Snake mackeral,Gempylus serpens,Gempylidae_Gempylus.serpens_37439010
estuary/coast,Gerreidae,Silver belly,Gerres subfasciatus,Gerreidae_Gerres.subfasciatus_37349005
estuary/coast,Gerreidae,Silver belly,Parequula melbournensis,Gerreidae_Parequula.melbournensis_37349001
estuary/coast,Girellidae,Luderick,Girella tricuspidata,Girellidae_Girella.tricuspidata_37361007
estuary/coast,Girellidae,Luderick,Girella spp,Girellidae_Girella.spp_37361902
estuary/coast,Gobiesocidae,Clingfish,Alabes spp,Gobiesocidae_Alabes.spp_37206901
estuary/coast,Gobiesocidae,Clingfish,other,Gobiesocidae_other_37206000
estuary/coast,Gobiidae,Goby,,Gobiidae_37428000
coast/pelagic,Gonorhynchidae,Beak salmon,Gonorhynchus greyi,Gonorhynchidae_Gonorhynchus.greyi_37141001
Ocean,Gonostomatidae,Bristlemouth,,Gonostomatidae_37106912
Tropical,Grammistidae,Soapfish,,Grammistidae_37312000
Tropical,Haemulidae,Sweetlips,,Haemulidae_37350000
coast/pelagic,Hemiramphidae,Garfish,Hemiramphus spp,Hemiramphidae_Hemiramphus.spp_37234903
Tropical,Holocentridae,Squirelfish,,Holocentridae_37261000
coast/slope,Hoplichthyidae,Ghost flathead,Hoplichthys spp,Hoplichthyidae_Hoplichthys.spp_37297901
coast/slope,Howellidae,Pelagic bass,Howella spp,Howellidae_Howella.spp_37327912
Ocean,Idiacanthidae,Black dragonfish,Idiacanthus spp,Idiacanthidae_Idiacanthus.spp_37113901
Ocean,Ipnopidae,Tripodfish,,Ipnopidae_37123000
Tropical,Istiophoridae,Marlin,,Istiophoridae_37444000
coast,Kyphosidae,Drummer,Kyphosus spp,Kyphosidae_Kyphosus.spp_37361903
estuary/coast,Labridae,Wrasse,,Labridae_37384000
coast/slope,Lampridiformes,Ribbonfish,,Lampridiformes_37990051
coast,Latridae,Trumpeter,Latris lineata,Latridae_Latris.lineata_37378001
Tropical,Leiognathidae,Ponyfish,,Leiognathidae_37341000
Tropical,Leptobramidae,Beach salmon,,Leptobramidae_37357905
coast,Leptoscopidae,Sandfish,,Leptoscopidae_37398000
Tropical,Lethrinidae,Emperor,Lethrinus spp,Lethrinidae_Lethrinus.spp_37351902
coast/slope,Lophiiformes,Anglerfish,,Lophiiformes_37990052
Tropical,Lutjanidae,Snapper,,Lutjanidae_37346000
coast/slope,Macroramphosidae,Bellowsfish,Macroramphosus spp,Macroramphosidae_Macroramphosus.spp_37279902
Ocean,Macrouridae,Rattail,,Macrouridae_37232000
coast,Malacanthidae,Tilefish,Branchiostegus spp,Malacanthidae_Branchiostegus.spp_37331901
coast,Malacanthidae,Blanquillo,Malacanthus spp,Malacanthidae_Malacanthus.spp_37331903
Ocean,Melamphaidae,Bigscale,,Melamphaidae_37251000
Ocean,Melanostomiidae,Black dragonfish,,Melanostomiidae_37109000
coast,Microcanthidae,Mado,Atypichthys strigatus,Microcanthidae_Atypichthys.strigatus_37361010
coast,Microcanthidae,Stripey,Microcanthus strigatus,Microcanthidae_Microcanthus.strigatus_37361005
Tropical,Microdesmidae,Wormfish,,Microdesmidae_37435000
Ocean,Molidae,Sunfish,,Molidae_37470000
estuary/coast,Monacanthidae,Leatherjacket,,Monacanthidae_37465903
coast,Monodactylidae,Pomfred,Schuetta spp,Monodactylidae_Schuetta.spp_37356902
estuary/coast,Monodactylidae,Diamondfish,Monodactylus argenteus,Monodactylidae_Monodactylus.argenteus_37356002
coast,Moridae,Beardies,,Moridae_37224000
estuary/coast,Mugilidae,Mullet,Liza argentea,Mugilidae_Liza.argentea_37381004
estuary/coast,Mugilidae,Mullet,other,Mugilidae_other_37381000
Tropical,Mullidae,Goatfish,,Mullidae_37355000
Ocean,Myctophidae,Lanternfish,,Myctophidae_37122000
Tropical,Nemipteridae,Threadfin bream,,Nemipteridae_37347000
coast/slope,Nomeidae,Driftfish,,Nomeidae_37446000
Ocean,Notosudidae,Paperbones,,Notosudidae_37125000
coast,Odacidae,Rock cale,,Odacidae_37385000
coast/slope,Ophidiidae,Ling,Genyptrus spp,Ophidiidae_Genyptrus.spp_37228901
Tropical,Ophidiidae,Ling,Brotula spp,Ophidiidae_Brotula.spp_37228912
Tropical,Ostraciidae,Cowfish,,Ostraciidae_37466000
Ocean,Paralepididae,Barracudinas,,Paralepididae_37126000
estuary/coast,Paralichthyidae,Large tooth flounder,Pseudorhombus spp,Paralichthyidae_Pseudorhombus.spp_37460919
Tropical,Pegasidae,Sea moth,Pegasus spp,Pegasidae_Pegasus.spp_37309902
coast,Pempheridae,Bullseye,Pempheris spp,Pempheridae_Pempheris.spp_37357903
coast,Percophidae,Duckbills,,Percophidae_37393000
Ocean,Phosichthyidae,Lightfishes,,Phosichthyidae_37106913
Tropical,Pinguipedidae,Grub fish,,Pinguipedidae_37390000
coast,Platycephalidae,Flathead,other,Platycephalidae_other_37296000
estuary/coast,Platycephalidae,Flathead,Platycephalus fuscus,Platycephalidae_Platycephalus.fuscus_37296004
coast,Plesiopidae,Prettyfins,,Plesiopidae_37316000
estuary/coast,Pleuronectidae,Flounder,Rhombosolea spp,Pleuronectidae_Rhombosolea.spp_37461912
coast,Pomacentridae,Damselfish,,Pomacentridae_37372000
