term,estimate,std.error,Lag
b_Intercept,40.9232596409375,20.360524024179675,1
b_polyX135_degree_winds.standardiseddegreeEQ21,-41.12447297094624,70.88830187012488,1
b_polyX135_degree_winds.standardiseddegreeEQ22,84.46620054165129,81.50902673030562,1
b_polyX45_degree_winds.standardiseddegreeEQ21,-246.63938810641923,70.90625804395057,1
b_polyX45_degree_winds.standardiseddegreeEQ22,-68.345800154384,67.6064276044663,1
b_Estuary_TypeBarrierRiver,-1.0174499914696402,24.82075927786789,1
b_Estuary_TypeDrownedRiverValley,-0.3475992790104385,25.414680097704068,1
b_Drought_Months,7.5323476254723545,1.7952734058386277,1
b_SpeciesFlathead,-7.109069728282558,14.797252376390237,1
b_SpeciesMullet,202.592083541428,48.80477379314663,1
b_SpeciesWhiting,-41.2997089893766,16.698147972843664,1
b_X135_degree_winds.standardised:X45_degree_winds.standardised,1.2324610760065968,6.456167848999219,1
b_Estuary_TypeBarrierRiver:Drought_Months,-9.267023129141954,2.334175375475103,1
b_Estuary_TypeDrownedRiverValley:Drought_Months,-6.402262528103996,2.743579869731231,1
sd_Estuary__Intercept,30.746779359088514,12.466711141527997,1
sd_Estuary__SpeciesFlathead,25.896741038010898,14.839046551318019,1
sd_Estuary__SpeciesMullet,126.91119131395104,35.80586000990708,1
sd_Estuary__SpeciesWhiting,31.190846009208805,14.94446953122687,1
cor_Estuary__Intercept__SpeciesFlathead,-0.48246593755934974,0.36498884273388615,1
cor_Estuary__Intercept__SpeciesMullet,0.440327118225379,0.27733360007500185,1
cor_Estuary__SpeciesFlathead__SpeciesMullet,0.11232087630677022,0.35002830056671846,1
cor_Estuary__Intercept__SpeciesWhiting,-0.632914206468371,0.33700563692086993,1
cor_Estuary__SpeciesFlathead__SpeciesWhiting,0.4543871502058109,0.3811460784942586,1
cor_Estuary__SpeciesMullet__SpeciesWhiting,-0.27064031957565726,0.31826849676858143,1
sigma,62.15581402498228,2.745294462204179,1
"r_Estuary[Camden.River,Intercept]",6.844200949257877,22.884632575846318,1
"r_Estuary[Clarence.River,Intercept]",-22.902310539750488,21.31703949648232,1
"r_Estuary[Hawkesbury.River,Intercept]",-30.69063915757689,22.389865624364326,1
"r_Estuary[Hunter.River,Intercept]",2.2942472679985757,20.926941164989927,1
"r_Estuary[Lake.Illawarra,Intercept]",46.11666850269531,27.404221118877413,1
"r_Estuary[Port.Stephens,Intercept]",38.99187015810962,24.595082544850428,1
"r_Estuary[Tuggerah,Intercept]",4.776064716556492,21.0919776062769,1
"r_Estuary[Wallis.Lake,Intercept]",-12.549967649413947,21.580831744010457,1
"r_Estuary[Camden.River,SpeciesFlathead]",16.08032257503293,23.934931637935204,1
"r_Estuary[Clarence.River,SpeciesFlathead]",1.4524246499708369,20.327249354845094,1
"r_Estuary[Hawkesbury.River,SpeciesFlathead]",0.32705803927318755,20.997407425482912,1
"r_Estuary[Hunter.River,SpeciesFlathead]",2.2324511186728593,19.471065858078077,1
"r_Estuary[Lake.Illawarra,SpeciesFlathead]",-30.16409885000912,29.149362382723886,1
"r_Estuary[Port.Stephens,SpeciesFlathead]",-18.822607655210042,24.463076982854798,1
"r_Estuary[Tuggerah,SpeciesFlathead]",5.342812178981509,20.211837600593192,1
"r_Estuary[Wallis.Lake,SpeciesFlathead]",17.417416208386946,23.32315550822325,1
"r_Estuary[Camden.River,SpeciesMullet]",185.990605551129,53.91639076877379,1
"r_Estuary[Clarence.River,SpeciesMullet]",-158.05531460935194,52.66417084818531,1
"r_Estuary[Hawkesbury.River,SpeciesMullet]",-190.7248049590476,52.597645093570065,1
"r_Estuary[Hunter.River,SpeciesMullet]",31.406190513008678,52.92925302093767,1
"r_Estuary[Lake.Illawarra,SpeciesMullet]",76.82841777539048,54.5257590202077,1
"r_Estuary[Port.Stephens,SpeciesMullet]",132.42474620015997,53.80121224084489,1
"r_Estuary[Tuggerah,SpeciesMullet]",60.02787448549097,52.65666791244294,1
"r_Estuary[Wallis.Lake,SpeciesMullet]",18.65958753407177,53.090683255404606,1
"r_Estuary[Camden.River,SpeciesWhiting]",6.570894707342299,24.99891916252911,1
"r_Estuary[Clarence.River,SpeciesWhiting]",23.327809882429342,23.57204360823346,1
"r_Estuary[Hawkesbury.River,SpeciesWhiting]",23.383239111157298,23.907801251170234,1
"r_Estuary[Hunter.River,SpeciesWhiting]",9.358245139420779,22.27696224367687,1
"r_Estuary[Lake.Illawarra,SpeciesWhiting]",-47.2534933501994,31.352375076759195,1
"r_Estuary[Port.Stephens,SpeciesWhiting]",-29.468507809289903,25.976942786146378,1
"r_Estuary[Tuggerah,SpeciesWhiting]",-9.217010377244637,21.930866413081613,1
"r_Estuary[Wallis.Lake,SpeciesWhiting]",6.768667146457917,22.65361976510496,1
