"effect","component","group","term","estimate","std.error","statistic","p.value"
"fixed","cond",NA,"(Intercept)",7.54471341729434,0.508655862640064,14.832648105411,9.01070135156699e-50
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)1",0.129278339154172,0.501754426241598,0.257652613296377,0.796675020623047
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)2",0.071217875228305,0.339204924362424,0.209955310531436,0.833702552603012
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)1",-1.03888313926808,0.363252745082751,-2.85994573566517,0.00423713503518203
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)2",-0.542591181361554,0.275238773824024,-1.97134718275,0.0486841779554713
"fixed","cond",NA,"Estuary_TypeBarrier River",-1.13923787142879,0.718587877508708,-1.58538420572644,0.11287906749309
"fixed","cond",NA,"Estuary_TypeDrowned River Valley",-1.93117657740737,0.803421497423758,-2.40369044592391,0.0162305104591474
"fixed","cond",NA,"Drought_Months",-0.00222199353234633,0.014107291380571,-0.157506744023628,0.874845493272775
"fixed","cond",NA,"X135_degree_winds.standardised:X45_degree_winds.standardised",-0.0645121667232991,0.0403709532345132,-1.59798472799368,0.110046375953416
"fixed","cond",NA,"Estuary_TypeBarrier River:Drought_Months",-0.0480093512273437,0.0172979473821565,-2.77543630852221,0.00551276959538629
"fixed","cond",NA,"Estuary_TypeDrowned River Valley:Drought_Months",0.0193497181523937,0.0206044653800907,0.939103140773096,0.347677791880411
"ran_pars","cond","Estuary","sd__(Intercept)",0.873764089239435,NA,NA,NA
