Parameter,Estimate,se,z value,Pr(>|z|),Model
Intercept,-5.8643,0.41004,-14.302,1.00E-09,14 Day
Down,23.0431,6.59097,3.496,0.000472,14 Day
Down (quadratic),-1.14734,6.4995,-0.177,8.60E-01,14 Day
Up,-7.57493,6.12746,-1.236,2.16E-01,14 Day
Down * Up,0.308,0.238,1.291,1.97E-01,14 Day
Up (quadratic),-28.86505,6.25145,-4.617,1.00E-06,14 Day
Dist,-0.02584,0.01892,-1.366,0.172061,14 Day
Down * Dist,-0.27543,0.59632,-0.462,0.644164,14 Day
Down (quadratic) * Dist,-0.93506,0.66459,-1.407,0.159437,14 Day
Up * Dist,0.22597,0.52678,0.429,0.667944,14 Day
Down * Up * Dist,0.0095,0.239,0.413,0.679973,14 Day
Up (quadratic) * Dist,1.22635,0.54998,2.23,0.02576,14 Day
