Parameter,.value,.lower,.upper,.width,.point,.interval
Dist,5.83E-04,-0.013700632,0.015143318,0.95,median,qi
Down * Dist,-0.442881968,-1.289882288,0.408664104,0.95,median,qi
Down (quadratic) * Dist,0.615148991,-0.163379126,1.381655785,0.95,median,qi
Down * Up * Dist,-0.013763818,-0.028946631,0.001203976,0.95,median,qi
Intercept,-2.958539581,-3.348035138,-2.481666075,0.95,median,qi
Up,-15.95097413,-24.17088403,-7.698174999,0.95,median,qi
Up * Dist,1.550292529,0.863291588,2.247719323,0.95,median,qi
Up (quadratic),-1.941922417,-12.4948313,8.407307804,0.95,median,qi
Up (quadratic) * Dist,-0.203367772,-1.034786065,0.67409546,0.95,median,qi
Down,12.97067477,3.127417428,22.52893229,0.95,median,qi
Down (quadratic),-11.05500151,-20.47012567,-1.319506284,0.95,median,qi
Down * Up,0.227874891,0.012838881,0.438730769,0.95,median,qi
