"effect","component","group","term","estimate","std.error","statistic","p.value"
"fixed","cond",NA,"(Intercept)",7.54063793973841,0.547625573809744,13.7696964867426,3.87839096719835e-43
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)1",0.00462501573972078,0.436209554392704,0.0106027382783025,0.991540397327825
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)2",0.394591845961782,0.418761310942449,0.942283433667087,0.346047547441464
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)1",-0.295926393584865,0.374651295382439,-0.789871534496599,0.429602796959312
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)2",0.12413127222415,0.431701912666503,0.287539314934755,0.773699403317064
"fixed","cond",NA,"Estuary_TypeBarrier River",-1.04253000911207,0.770834759156505,-1.35246886148838,0.176225373505906
"fixed","cond",NA,"Estuary_TypeDrowned River Valley",-0.620204635928673,0.862182370417216,-0.719342748366046,0.471929762781938
"fixed","cond",NA,"Drought_Months",0.030398751292682,0.0180777806055227,1.68155328112541,0.0926554963952047
"fixed","cond",NA,"X135_degree_winds.standardised:X45_degree_winds.standardised",-0.00599362134707906,0.086511361414263,-0.0692813203849419,0.944765694179777
"fixed","cond",NA,"Estuary_TypeBarrier River:Drought_Months",-0.0677293446274547,0.0226285782321295,-2.99308882478919,0.00276169359450711
"fixed","cond",NA,"Estuary_TypeDrowned River Valley:Drought_Months",-0.0446450685251448,0.0272963130079414,-1.63557138695457,0.101929322834012
"ran_pars","cond","Estuary","sd__(Intercept)",0.934581458373747,NA,NA,NA
