"effect","component","group","term","estimate","std.error","statistic","p.value"
"fixed","cond",NA,"(Intercept)",8.77121557541546,0.331873436549314,26.4293993114213,6.29550232653243e-154
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)1",-0.146601166132455,0.596582984448859,-0.245734742615714,0.805887575938375
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)2",0.437353745703177,0.397488643873835,1.10029242959202,0.271204729538492
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)1",-0.907603038722693,0.428536316213036,-2.11791394191082,0.0341823566406594
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)2",0.465680010975996,0.353725628099148,1.31650062642752,0.188006068303815
"fixed","cond",NA,"Estuary_TypeBarrier River",0.0683728322999081,0.468844397373239,0.145832674300846,0.884053481274646
"fixed","cond",NA,"Estuary_TypeDrowned River Valley",-0.370662232389209,0.523895884184872,-0.707511250953844,0.479248823400711
"fixed","cond",NA,"Drought_Months",0.0380103929091546,0.0158940532065534,2.39148519356172,0.0167803607833295
"fixed","cond",NA,"X135_degree_winds.standardised:X45_degree_winds.standardised",0.0716264202101716,0.0495293210573692,1.44614177382338,0.148137441030012
"fixed","cond",NA,"Estuary_TypeBarrier River:Drought_Months",-0.0630814534575436,0.020033925640435,-3.14873153618104,0.00163980763631574
"fixed","cond",NA,"Estuary_TypeDrowned River Valley:Drought_Months",-0.0703387865788875,0.0232966316614667,-3.01926851920099,0.00253385842884533
"ran_pars","cond","Estuary","sd__(Intercept)",0.559559240859848,NA,NA,NA
