"effect","component","group","term","estimate","std.error","statistic","p.value"
"fixed","cond",NA,"(Intercept)",5.22236479031467,0.294541769208918,17.7304726740147,2.43974541399179e-70
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)1",-0.116781213424693,0.815575393648448,-0.143188740531119,0.886141121944643
"fixed","cond",NA,"poly(X135_degree_winds.standardised, degree = 2)2",0.152734044454079,0.666279121571806,0.229234324638249,0.818686795580152
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)1",0.354618816341603,0.759769282304834,0.466745398373875,0.640682045037174
"fixed","cond",NA,"poly(X45_degree_winds.standardised, degree = 2)2",1.07700763910758,0.561348380108847,1.91860826052218,0.0550339293941736
"fixed","cond",NA,"Estuary_TypeBarrier River",0.0928733711937466,0.413434517275688,0.224638648475053,0.822260396059278
"fixed","cond",NA,"Estuary_TypeDrowned River Valley",-0.710430224980465,0.464087212334244,-1.530811895047,0.12581588892589
"fixed","cond",NA,"Drought_Months",0.0582820326241109,0.0260591566127236,2.23652796942992,0.0253172072931833
"fixed","cond",NA,"X135_degree_winds.standardised:X45_degree_winds.standardised",0.0598254195726258,0.098441725690515,0.607724205899309,0.543370405996553
"fixed","cond",NA,"Estuary_TypeBarrier River:Drought_Months",-0.0281397826935821,0.0337464314547234,-0.833859506932944,0.404360157800403
"fixed","cond",NA,"Estuary_TypeDrowned River Valley:Drought_Months",0.00174766753301657,0.0396324473650909,0.0440968864959864,0.964827174588635
"ran_pars","cond","Estuary","sd__(Intercept)",0.467732528129802,NA,NA,NA
