Financial_Year,Annual_Rain,count
1929,162.1,79
1930,1697.4,365
1931,978.5,365
1932,1393.9,366
1933,1461.5,365
1934,1759.6,364
1935,1196.9,364
1936,1038.1,366
1937,1212.2,365
1938,740.9,365
1939,1165.6,365
1940,658.4,366
1941,826,365
1942,698.1,365
1943,1347.2,361
1944,902.1,366
1945,1313.7,365
1946,865.9,365
1947,932.1,364
1948,1551.5,365
1949,1328.2,360
1950,2269.6,361
1951,2055.6,358
1952,1412.6,363
1953,1637.9,363
1954,901.9,362
1955,1586.9,363
1956,1954.1,361
1957,718.7,363
1958,1461.9,363
1959,1234.3,364
1960,1334.6,362
1961,1289.8,361
1962,2065,355
1963,1854.7,347
1964,1611.9,355
1965,626.5,360
1966,1011.7,356
1967,1501.8,360
1968,861.2,366
1969,938,363
1970,1195.7,364
1971,1197.1,363
1972,1440.6,349
1973,1291.7,361
1974,1948.5,350
1975,1916.7,334
1976,1727.3,328
1977,1859.7,316
1978,1493.9,314
1979,1125.4,316
1980,794.8,307
1981,913.6,330
1982,925.1,330
1983,1280.6,298
1984,1720.8,298
1985,1447.8,285
1986,1136.1,305
1987,1138.7,299
1988,2008.6,308
1989,1910.2,283
1990,1863.5,287
1991,1268.1,304
1992,1443.5,317
1993,889.9,365
1994,924,365
1995,1021.1,365
1996,1006.6,366
1997,1001.2,364
1998,847.8,365
1999,1728,365
2000,908.4,365
2001,895.6,361
2002,1092.2,363
2003,1055.8,364
2004,836.8,365
2005,845.6,362
2006,867.2,364
2007,1118.8,361
2008,1271.9,355
2009,814.6,347
2010,896.2,356
2011,1092.2,336
2012,1556.2,300
2013,1004.8,342
2014,667.4,341
2015,786.2,341
2016,881,342
2017,979.2,355
2018,634,361
2019,753,304
