year,month,Monthly_Rain,count,,,,,,,
1929,4,6.9,18,,,,,,,
1929,5,142.6,31,,,,,,,
1929,6,12.6,30,,,,,,,
1929,7,99,31,,,,,,,
1929,8,99.8,31,,,,,,,
1929,9,116.8,30,,,,,,,
1929,10,190.6,31,,,,,,,
1929,11,161.7,30,,,,,,,
1929,12,118.2,31,,,,,,,
1930,1,99.2,31,,,,,,,
1930,2,26.6,28,,,,,,,
1930,3,101.3,31,,,,,,,
1930,4,103.4,30,,,,,,,
1930,5,124.5,31,,,,,,,
1930,6,456.3,30,,,,,,,
1930,7,49,31,,,,,,,
1930,8,22,31,,,,,,,
1930,9,8.4,30,,,,,,,
1930,10,78.2,31,,,,,,,
1930,11,50,30,,,,,,,
1930,12,148.3,31,,,,,,,
1931,1,45.2,31,,,,,,,
1931,2,72.9,28,,,,,,,
1931,3,166.5,31,,,,,,,
1931,4,204,30,,,,,,,
1931,5,116.8,31,,,,,,,
1931,6,17.2,30,,,,,,,
1931,7,245.6,31,,,,,,,
1931,8,12.7,31,,,,,,,
1931,9,186.5,30,,,,,,,
1931,10,63,31,,,,,,,
1931,11,63.8,30,,,,,,,
1931,12,154.7,31,,,,,,,
1932,1,138.4,31,,,,,,,
1932,2,134,29,,,,,,,
1932,3,247.9,31,,,,,,,
1932,4,91.6,30,,,,,,,
1932,5,38,31,,,,,,,
1932,6,17.7,30,,,,,,,
1932,7,72.4,31,,,,,,,
1932,8,105.3,31,,,,,,,
1932,9,285.8,30,,,,,,,
1932,10,37.2,31,,,,,,,
1932,11,103.6,30,,,,,,,
1932,12,71.8,31,,,,,,,
1933,1,316.3,31,,,,,,,
1933,2,14,28,,,,,,,
1933,3,68.5,31,,,,,,,
1933,4,215.2,30,,,,,,,
1933,5,96.6,31,,,,,,,
1933,6,74.8,30,,,,,,,
1933,7,102.8,31,,,,,,,
1933,8,5.6,31,,,,,,,
1933,9,64.1,30,,,,,,,
1933,10,44.5,31,,,,,,,
1933,11,152.4,30,,,,,,,
1933,12,123.7,31,,,,,,,
1934,1,233,31,,,,,,,
1934,2,352.5,28,,,,,,,
1934,3,110.5,31,,,,,,,
1934,4,215.4,29,,,,,,,
1934,5,200.1,31,,,,,,,
1934,6,155,30,,,,,,,
1934,7,195.2,31,,,,,,,
1934,8,199.8,31,,,,,,,
1934,9,152.4,30,,,,,,,
1934,10,75.4,31,,,,,,,
1934,11,79.3,30,,,,,,,
1934,12,36.5,31,,,,,,,
1935,1,88.9,31,,,,,,,
1935,2,191.8,28,,,,,,,
1935,3,54.6,31,,,,,,,
1935,4,56.4,29,,,,,,,
1935,5,20.3,31,,,,,,,
1935,6,46.3,30,,,,,,,
1935,7,44.3,31,,,,,,,
1935,8,5.3,31,,,,,,,
1935,9,92.7,30,,,,,,,
1935,10,116.2,31,,,,,,,
1935,11,50.8,30,,,,,,,
1935,12,126.3,31,,,,,,,
1936,1,139.7,31,,,,,,,
1936,2,128.3,29,,,,,,,
1936,3,111.6,31,,,,,,,
1936,4,83.8,30,,,,,,,
1936,5,70.6,31,,,,,,,
1936,6,68.5,30,,,,,,,
1936,7,3.8,31,,,,,,,
1936,8,28.4,31,,,,,,,
1936,9,39.6,30,,,,,,,
1936,10,11.9,31,,,,,,,
1936,11,15,30,,,,,,,
1936,12,231.2,31,,,,,,,
1937,1,97.6,31,,,,,,,
1937,2,89.6,28,,,,,,,
1937,3,396.3,31,,,,,,,
1937,4,53.3,30,,,,,,,
1937,5,17,31,,,,,,,
1937,6,228.5,30,,,,,,,
1937,7,99.6,31,,,,,,,
1937,8,55.8,31,,,,,,,
1937,9,14,30,,,,,,,
1937,10,94,31,,,,,,,
1937,11,74.1,30,,,,,,,
1937,12,81.5,31,,,,,,,
1938,1,96.2,31,,,,,,,
1938,2,73.5,28,,,,,,,
1938,3,17.8,31,,,,,,,
1938,4,46.3,30,,,,,,,
1938,5,74.3,31,,,,,,,
1938,6,13.8,30,,,,,,,
1938,7,65.6,31,,,,,,,
1938,8,415.5,31,,,,,,,
1938,9,21.1,30,,,,,,,
1938,10,110.8,31,,,,,,,
1938,11,39.2,30,,,,,,,
1938,12,25.1,31,,,,,,,
1939,1,97.2,31,,,,,,,
1939,2,3,28,,,,,,,
1939,3,225.4,31,,,,,,,
1939,4,101.1,30,,,,,,,
1939,5,50.9,31,,,,,,,
1939,6,10.7,30,,,,,,,
1939,7,22.9,31,,,,,,,
1939,8,67.4,31,,,,,,,
1939,9,68.2,30,,,,,,,
1939,10,83.8,31,,,,,,,
1939,11,60.8,30,,,,,,,
1939,12,25.8,31,,,,,,,
1940,1,41.7,31,,,,,,,
1940,2,13.2,29,,,,,,,
1940,3,8.2,31,,,,,,,
1940,4,207.6,30,,,,,,,
1940,5,30.5,31,,,,,,,
1940,6,28.3,30,,,,,,,
1940,7,40.1,31,,,,,,,
1940,8,17.4,31,,,,,,,
