Year,CPUE,Species,Estuary,Estuary_Type,45_degree_winds,135_degree_winds,Drought_declared_1m,Drought_declared_6m,Drought_Months,Modal_Age,Spawning_Period
1997,5.597157168,Bream,Camden River,Barrier River,17700.39552,41768.88382,Drought,No Drought,2,7,Oct-Feb
1998,6.25404711,Bream,Camden River,Barrier River,22445.88293,16428.92833,No Drought,No Drought,0,7,Oct-Feb
1999,4.68974359,Bream,Camden River,Barrier River,8240.724829,3650.78328,No Drought,No Drought,0,7,Oct-Feb
2000,3.711016394,Bream,Camden River,Barrier River,6696.626554,20795.61993,No Drought,No Drought,0,7,Oct-Feb
2001,8.869224316,Bream,Camden River,Barrier River,17927.12009,30313.96668,No Drought,No Drought,0,7,Oct-Feb
2002,12.2446134,Bream,Camden River,Barrier River,545.202704,30750.48289,Drought,Drought,8,7,Oct-Feb
2003,9.574212755,Bream,Camden River,Barrier River,25783.98052,33891.39688,Drought,No Drought,3,7,Oct-Feb
2004,18.23563683,Bream,Camden River,Barrier River,12070.53225,18848.35656,Drought,No Drought,4,7,Oct-Feb
2005,23.4765118,Bream,Camden River,Barrier River,5774.783705,18968.61932,Drought,No Drought,4,7,Oct-Feb
2006,26.56351562,Bream,Camden River,Barrier River,21026.06678,33234.82248,Drought,No Drought,9,7,Oct-Feb
1997,47.25135191,Flathead,Camden River,Barrier River,20368.97781,26821.58953,Drought,No Drought,2,3,Dec-Mar
1998,85.69940314,Flathead,Camden River,Barrier River,7804.005566,39197.32995,No Drought,No Drought,0,3,Dec-Mar
1999,62.95076694,Flathead,Camden River,Barrier River,22664.3498,29504.2949,No Drought,No Drought,0,3,Dec-Mar
2000,58.71175306,Flathead,Camden River,Barrier River,24587.01906,32065.36837,No Drought,No Drought,0,3,Dec-Mar
2001,59.16029123,Flathead,Camden River,Barrier River,10010.84253,40338.30222,No Drought,No Drought,0,3,Dec-Mar
2002,67.89609187,Flathead,Camden River,Barrier River,22477.27267,31031.44795,Drought,Drought,8,3,Dec-Mar
2003,55.49858463,Flathead,Camden River,Barrier River,16183.54968,13162.87809,Drought,No Drought,3,3,Dec-Mar
2004,52.73840227,Flathead,Camden River,Barrier River,13509.9744,22088.38683,Drought,No Drought,4,3,Dec-Mar
2005,52.84915453,Flathead,Camden River,Barrier River,23294.29797,6494.524472,Drought,No Drought,4,3,Dec-Mar
2006,47.77321092,Flathead,Camden River,Barrier River,18787.31113,35813.15639,Drought,No Drought,9,3,Dec-Mar
1997,88.85401596,Luderick,Camden River,Barrier River,7429.220326,12722.5202,Drought,No Drought,2,4,Dec-Feb
1998,151.5477548,Luderick,Camden River,Barrier River,20926.2246,28321.48944,No Drought,No Drought,0,4,Dec-Feb
1999,106.7530811,Luderick,Camden River,Barrier River,4758.738851,29916.69512,No Drought,No Drought,0,4,Dec-Feb
2000,103.4438131,Luderick,Camden River,Barrier River,17606.80541,24218.70829,No Drought,No Drought,0,4,Dec-Feb
2001,158.2850122,Luderick,Camden River,Barrier River,13586.63233,20078.06955,No Drought,No Drought,0,4,Dec-Feb
2002,124.6567836,Luderick,Camden River,Barrier River,10673.36426,28751.88519,Drought,Drought,8,4,Dec-Feb
2003,102.2868599,Luderick,Camden River,Barrier River,16925.58942,25148.6353,Drought,No Drought,3,4,Dec-Feb
2004,71.71628485,Luderick,Camden River,Barrier River,10859.69125,10393.87862,Drought,No Drought,4,4,Dec-Feb
2005,60.7684407,Luderick,Camden River,Barrier River,11167.63396,17950.98091,Drought,No Drought,4,4,Dec-Feb
2006,61.68609928,Luderick,Camden River,Barrier River,18315.5751,2152.396182,Drought,No Drought,9,4,Dec-Feb
1997,10.6851209,Whiting,Camden River,Barrier River,11896.34298,15950.44495,Drought,No Drought,2,5,Dec-Feb
1998,14.63876216,Whiting,Camden River,Barrier River,7429.220326,12722.5202,No Drought,No Drought,0,5,Dec-Feb
1999,12.03970416,Whiting,Camden River,Barrier River,20926.2246,28321.48944,No Drought,No Drought,0,5,Dec-Feb
2000,11.95319777,Whiting,Camden River,Barrier River,4758.738851,29916.69512,No Drought,No Drought,0,5,Dec-Feb
2001,17.46809588,Whiting,Camden River,Barrier River,17606.80541,24218.70829,No Drought,No Drought,0,5,Dec-Feb
2002,20.61490831,Whiting,Camden River,Barrier River,13586.63233,20078.06955,Drought,Drought,8,5,Dec-Feb
2003,19.78833347,Whiting,Camden River,Barrier River,10673.36426,28751.88519,Drought,No Drought,3,5,Dec-Feb
2004,19.07381474,Whiting,Camden River,Barrier River,16925.58942,25148.6353,Drought,No Drought,4,5,Dec-Feb
2005,14.04145523,Whiting,Camden River,Barrier River,10859.69125,10393.87862,Drought,No Drought,4,5,Dec-Feb
2006,23.8425051,Whiting,Camden River,Barrier River,11167.63396,17950.98091,Drought,No Drought,9,5,Dec-Feb
1997,388.7941404,Mullet,Camden River,Barrier River,-7942.121742,-3844.6693,Drought,No Drought,2,2,Apr-Jul
1998,481.9822236,Mullet,Camden River,Barrier River,-6074.513718,-13624.18137,No Drought,No Drought,0,2,Apr-Jul
1999,540.634036,Mullet,Camden River,Barrier River,-15550.01634,-4272.42404,No Drought,No Drought,0,2,Apr-Jul
2000,437.3503749,Mullet,Camden River,Barrier River,-1474.264014,7853.872082,No Drought,No Drought,0,2,Apr-Jul
2001,477.4740783,Mullet,Camden River,Barrier River,-10949.70302,3089.509923,No Drought,No Drought,0,2,Apr-Jul
2002,479.0233986,Mullet,Camden River,Barrier River,-299.8450326,20015.37214,Drought,Drought,8,2,Apr-Jul
2003,476.1757521,Mullet,Camden River,Barrier River,-5181.867163,924.9147319,Drought,No Drought,3,2,Apr-Jul
2004,386.8828894,Mullet,Camden River,Barrier River,-23994.60435,-20252.38162,Drought,No Drought,4,2,Apr-Jul
2005,375.2289928,Mullet,Camden River,Barrier River,3526.694581,3658.950101,Drought,No Drought,4,2,Apr-Jul
2006,321.3406301,Mullet,Camden River,Barrier River,1269.336778,9478.900951,Drought,No Drought,9,2,Apr-Jul
1997,541.1817863,Total,Camden River,Barrier River,-1408.551893,12112.85937,Drought,No Drought,2,4,Fin_Year
1998,740.1221908,Total,Camden River,Barrier River,-13889.15154,-7454.569976,No Drought,No Drought,0,4,Fin_Year
1999,727.0673319,Total,Camden River,Barrier River,-7942.121742,-3844.6693,No Drought,No Drought,0,4,Fin_Year
2000,615.1701552,Total,Camden River,Barrier River,-6074.513718,-13624.18137,No Drought,No Drought,0,4,Fin_Year
2001,721.2567019,Total,Camden River,Barrier River,-15550.01634,-4272.42404,No Drought,No Drought,0,4,Fin_Year
2002,704.4357958,Total,Camden River,Barrier River,-1474.264014,7853.872082,Drought,Drought,8,4,Fin_Year
2003,663.3237428,Total,Camden River,Barrier River,-10949.70302,3089.509923,Drought,No Drought,3,4,Fin_Year
2004,548.6470281,Total,Camden River,Barrier River,-299.8450326,20015.37214,Drought,No Drought,4,4,Fin_Year
2005,526.3645551,Total,Camden River,Barrier River,-5181.867163,924.9147319,Drought,No Drought,4,4,Fin_Year
2006,481.205961,Total,Camden River,Barrier River,-23994.60435,-20252.38162,Drought,No Drought,9,4,Fin_Year
1997,2.501276723,Bream,Clarence River,Barrier River,25234.05249,51417.92148,No Drought,No Drought,0,7,Oct-Feb
1998,3.14383288,Bream,Clarence River,Barrier River,23263.01551,19891.43228,No Drought,No Drought,0,7,Oct-Feb
1999,2.743074855,Bream,Clarence River,Barrier River,17646.91371,18558.48932,No Drought,No Drought,0,7,Oct-Feb
2000,2.602287779,Bream,Clarence River,Barrier River,10977.02666,27570.18379,Drought,No Drought,1,7,Oct-Feb
2001,3.575420394,Bream,Clarence River,Barrier River,23376.70716,37092.34882,No Drought,No Drought,0,7,Oct-Feb
2002,5.170993232,Bream,Clarence River,Barrier River,7212.088285,39004.28578,Drought,Drought,11,7,Oct-Feb
2003,4.729132577,Bream,Clarence River,Barrier River,28644.70822,35857.09715,Drought,Drought,8,7,Oct-Feb
2004,3.925346181,Bream,Clarence River,Barrier River,18338.77928,27493.16116,Drought,Drought,12,7,Oct-Feb
2005,6.470302425,Bream,Clarence River,Barrier River,17300.93528,40764.67681,Drought,No Drought,5,7,Oct-Feb
2006,5.164218562,Bream,Clarence River,Barrier River,25825.00252,35997.79986,No Drought,No Drought,0,7,Oct-Feb
1997,1.963136824,Flathead,Clarence River,Barrier River,23943.74193,31152.39219,No Drought,No Drought,0,3,Dec-Mar
1998,2.827054048,Flathead,Clarence River,Barrier River,14143.27443,42130.60688,No Drought,No Drought,0,3,Dec-Mar
1999,2.454066644,Flathead,Clarence River,Barrier River,23818.26316,27403.42408,No Drought,No Drought,0,3,Dec-Mar
2000,2.094022113,Flathead,Clarence River,Barrier River,27786.05499,36367.15147,Drought,No Drought,1,3,Dec-Mar
2001,1.493305405,Flathead,Clarence River,Barrier River,20006.58873,56834.45293,No Drought,No Drought,0,3,Dec-Mar
2002,1.482035351,Flathead,Clarence River,Barrier River,27092.16264,30610.66292,Drought,Drought,11,3,Dec-Mar
2003,1.844136545,Flathead,Clarence River,Barrier River,21751.50644,18365.79805,Drought,Drought,8,3,Dec-Mar
2004,1.173401859,Flathead,Clarence River,Barrier River,21268.15208,33614.53846,Drought,Drought,12,3,Dec-Mar
2005,1.864036054,Flathead,Clarence River,Barrier River,27714.45086,13430.22389,Drought,No Drought,5,3,Dec-Mar
2006,2.19369445,Flathead,Clarence River,Barrier River,21683.16802,41951.57856,No Drought,No Drought,0,3,Dec-Mar
1997,3.215763259,Luderick,Clarence River,Barrier River,10574.79893,18779.22927,No Drought,No Drought,0,4,Dec-Feb
1998,2.824734243,Luderick,Clarence River,Barrier River,23426.49754,30678.19142,No Drought,No Drought,0,4,Dec-Feb
1999,4.837611782,Luderick,Clarence River,Barrier River,9040.666418,32923.28487,No Drought,No Drought,0,4,Dec-Feb
2000,3.66421527,Luderick,Clarence River,Barrier River,18669.07774,23089.23249,Drought,No Drought,1,4,Dec-Feb
