Parameter,Estimate,se,z value,Pr(>|z|),Model
Intercept,-4.987681517,0.426711557,-11.68864878,1.46E-31,3 Day
SE winds,7.44147889,4.741524862,1.569427369,0.116548391,3 Day
SE winds (quadratic),-4.929109999,3.885943954,-1.268445983,0.204638729,3 Day
NE winds,-4.204380456,4.6641702,-0.901420891,0.367364578,3 Day
SE winds * NE winds,186.0182859,193.2577827,0.962539688,0.335778577,3 Day
NE winds (quadratic),-12.01793223,4.443120895,-2.70484025,0.006833724,3 Day
Distance to coast,-0.019711642,0.010445173,-1.887153236,0.059139718,3 Day
SE winds * Distance to coast,0.258907442,0.392763243,0.659194685,0.509770759,3 Day
SE winds (quadratic) * Distance to coast,0.010171932,0.259778206,0.039156219,0.968765839,3 Day
NE winds * Distance to coast,0.645899611,0.387332618,1.667558014,0.095403499,3 Day
SE winds * NE winds * Distance to coast,-29.76352044,15.00683376,-1.983331122,0.047330455,3 Day
NE winds (quadratic) * Distance to coast,0.094003216,0.355378324,0.264515897,0.791382417,3 Day
