"","Year","CPUE","Species","Estuary","Estuary_Type","Onshore_Winds","Current_Wind","X45_degree_winds","X135_degree_winds","Drought_declared_1m","Drought_declared_6m","Drought_Months","Modal_Age","Spawning_Period","CPUE.standardised","X45_degree_winds.standardised","X135_degree_winds.standardised"
"1",1997,5.597157168,"Bream","Camden River","Barrier River",14429.80671,-10.70185798,11131.9454,11183.26173,"Drought","No Drought",2,7,"Oct-Feb",-0.778131808326765,-0.850985875602909,0.863158672494492
"2",1998,6.25404711,"Bream","Camden River","Barrier River",8045.645658,-10.3889481,17593.1732,1864.666613,"No Drought","No Drought",0,7,"Oct-Feb",-0.697310530228675,0.998267081082724,-1.8389772499878
"3",1999,4.68974359,"Bream","Camden River","Barrier River",14840.88225,-10.25821725,17091.28464,9336.007234,"No Drought","No Drought",0,7,"Oct-Feb",-0.889776576268,0.854622725515089,0.327505747462646
"4",2000,3.711016394,"Bream","Camden River","Barrier River",12888.21172,-10.28690602,14063.84752,8406.538199,"No Drought","No Drought",0,7,"Oct-Feb",-1.0101955046645,-0.0118529999406588,0.0579853276166755
"5",2001,8.869224316,"Bream","Camden River","Barrier River",11729.72733,-10.77002405,16693.86906,6156.062773,"No Drought","No Drought",0,7,"Oct-Feb",-0.375548921886202,0.740879338175002,-0.59459056122782
"6",2002,12.2446134,"Bream","Camden River","Barrier River",13802.01021,-10.9302665,14467.52611,9230.391188,"Drought","Drought",8,7,"Oct-Feb",0.0397463085699565,0.10368290890134,0.296880003098401
"7",2003,9.574212755,"Bream","Camden River","Barrier River",10450.49563,-10.42968426,10093.34693,7319.523199,"Drought","No Drought",3,7,"Oct-Feb",-0.288809784869004,-1.14824072420253,-0.257219082801223
"8",2004,18.23563683,"Bream","Camden River","Barrier River",12073.35659,-10.51503684,10881.07737,8755.461203,"Drought","No Drought",4,7,"Oct-Feb",0.77685939216198,-0.922786230051857,0.159163388413502
"9",2005,23.4765118,"Bream","Camden River","Barrier River",11771.18344,-10.4264472,19328.77788,5189.021544,"Drought","No Drought",4,7,"Oct-Feb",1.42167701889875,1.49501045331415,-0.875005882485342
"10",2006,26.56351562,"Bream","Camden River","Barrier River",17132.34625,-10.7818758,9707.766932,14624.76433,"Drought","No Drought",9,7,"Oct-Feb",1.80149040661246,-1.25859667719034,1.86109963741647
