Estuary,Year,Month,displacement,count
Camden_Haven_River,1851,1,-3963.39846563494,248
Camden_Haven_River,1851,2,-3772.78516722614,224
Camden_Haven_River,1851,3,-3003.68781683267,248
Camden_Haven_River,1851,4,-1607.07846265764,240
Camden_Haven_River,1851,5,-995.756239090724,248
Camden_Haven_River,1851,6,-2279.18895971001,240
Camden_Haven_River,1851,7,-4738.681793719,248
Camden_Haven_River,1851,8,-2654.9174412286,248
Camden_Haven_River,1851,9,-1441.81902672065,240
Camden_Haven_River,1851,10,-1597.30325260436,248
Camden_Haven_River,1851,11,-3011.32457860423,240
Camden_Haven_River,1851,12,-3529.93634953954,248
Camden_Haven_River,1852,1,-3814.63453734333,248
Camden_Haven_River,1852,2,-3767.51578133775,232
Camden_Haven_River,1852,3,-3186.74080576474,248
Camden_Haven_River,1852,4,-1231.65564763177,240
Camden_Haven_River,1852,5,-1394.77664446187,248
Camden_Haven_River,1852,6,-2619.32998918332,240
Camden_Haven_River,1852,7,-3997.3821651129,248
Camden_Haven_River,1852,8,-4285.74592202808,248
Camden_Haven_River,1852,9,-1635.18148794113,240
Camden_Haven_River,1852,10,-2315.08167191318,248
Camden_Haven_River,1852,11,-3470.06427602653,240
Camden_Haven_River,1852,12,-3778.43636733998,248
Camden_Haven_River,1853,1,-4175.54749531349,248
Camden_Haven_River,1853,2,-3687.10086869103,224
Camden_Haven_River,1853,3,-2696.76657564481,248
Camden_Haven_River,1853,4,-1607.00196214156,240
Camden_Haven_River,1853,5,-2187.62425667813,248
Camden_Haven_River,1853,6,-4166.84179870731,240
Camden_Haven_River,1853,7,-4986.95260875098,248
Camden_Haven_River,1853,8,-4665.21625391677,248
Camden_Haven_River,1853,9,-3124.19563185387,240
Camden_Haven_River,1853,10,-3808.90702772082,248
Camden_Haven_River,1853,11,-3109.07475590526,240
Camden_Haven_River,1853,12,-4312.70363265627,248
Camden_Haven_River,1854,1,-3876.41588876605,248
Camden_Haven_River,1854,2,-4489.72333309907,224
Camden_Haven_River,1854,3,-3954.00524300536,248
Camden_Haven_River,1854,4,-2793.82974367943,240
Camden_Haven_River,1854,5,-2593.05948704365,248
Camden_Haven_River,1854,6,-1865.42970336682,240
Camden_Haven_River,1854,7,-3523.67430063011,248
Camden_Haven_River,1854,8,-5989.27645396365,248
Camden_Haven_River,1854,9,-2209.69458660811,240
Camden_Haven_River,1854,10,-4398.23539113456,248
Camden_Haven_River,1854,11,-3941.17548561405,240
Camden_Haven_River,1854,12,-4748.76231753855,248
Camden_Haven_River,1855,1,-4623.36673806894,248
Camden_Haven_River,1855,2,-4310.87080079679,224
Camden_Haven_River,1855,3,-4162.94704276608,248
Camden_Haven_River,1855,4,-2000.82928996657,240
Camden_Haven_River,1855,5,-1812.8888850025,248
Camden_Haven_River,1855,6,-2152.18960706169,240
Camden_Haven_River,1855,7,-3380.10350060942,248
Camden_Haven_River,1855,8,-4329.19910786965,248
Camden_Haven_River,1855,9,-3833.42097007064,240
Camden_Haven_River,1855,10,-3141.7602245737,248
Camden_Haven_River,1855,11,-3627.83974054416,240
Camden_Haven_River,1855,12,-4788.09153534624,248
Camden_Haven_River,1856,1,-5173.44211776505,248
Camden_Haven_River,1856,2,-4475.59563359282,232
Camden_Haven_River,1856,3,-3783.55289987559,248
Camden_Haven_River,1856,4,-3019.41958937139,240
Camden_Haven_River,1856,5,-4011.66290314726,248
Camden_Haven_River,1856,6,-7309.13660687743,240
Camden_Haven_River,1856,7,-4926.54607315488,248
Camden_Haven_River,1856,8,-3829.45000604186,248
Camden_Haven_River,1856,9,-2067.26911555264,240
Camden_Haven_River,1856,10,-5307.31458636583,248
Camden_Haven_River,1856,11,-2577.40405217824,240
Camden_Haven_River,1856,12,-4748.30388572887,248
Camden_Haven_River,1857,1,-4048.01369824185,248
Camden_Haven_River,1857,2,-4457.34356425149,224
Camden_Haven_River,1857,3,-4231.0668547108,248
Camden_Haven_River,1857,4,-3866.41172041473,240
Camden_Haven_River,1857,5,-2492.55989221171,248
Camden_Haven_River,1857,6,-3690.30826977302,240
Camden_Haven_River,1857,7,-5670.59478380561,248
Camden_Haven_River,1857,8,-3141.53121264907,248
Camden_Haven_River,1857,9,-2995.21108713039,240
Camden_Haven_River,1857,10,-2981.9228690891,248
Camden_Haven_River,1857,11,-3399.11892886044,240
Camden_Haven_River,1857,12,-4488.50161169598,248
Camden_Haven_River,1858,1,-4841.93055433556,248
Camden_Haven_River,1858,2,-5129.37820668244,224
Camden_Haven_River,1858,3,-3864.57900986232,248
Camden_Haven_River,1858,4,-3008.88060627453,240
Camden_Haven_River,1858,5,-2669.65614016855,248
Camden_Haven_River,1858,6,-2565.1091217158,240
Camden_Haven_River,1858,7,-4039.99537076216,248
Camden_Haven_River,1858,8,-1520.01933292231,248
Camden_Haven_River,1858,9,-3812.4965341339,240
Camden_Haven_River,1858,10,-2183.27130716017,248
Camden_Haven_River,1858,11,-3456.70002972459,240
Camden_Haven_River,1858,12,-3486.71242507162,248
Camden_Haven_River,1859,1,-5366.57571092811,248
Camden_Haven_River,1859,2,-3194.14835032279,224
Camden_Haven_River,1859,3,-3788.9751675801,248
Camden_Haven_River,1859,4,-3217.36399237612,240
Camden_Haven_River,1859,5,-3817.91844192856,248
Camden_Haven_River,1859,6,-2903.03541220356,240
Camden_Haven_River,1859,7,-4420.6875545785,248
Camden_Haven_River,1859,8,-3991.73093817153,248
Camden_Haven_River,1859,9,-2942.67006125817,240
Camden_Haven_River,1859,10,-3919.86913405206,248
Camden_Haven_River,1859,11,-3965.84231379843,240
Camden_Haven_River,1859,12,-3831.7409848215,248
Camden_Haven_River,1860,1,-3542.23161068036,248
Camden_Haven_River,1860,2,-4492.62540567814,232
Camden_Haven_River,1860,3,-3371.93186416425,248
Camden_Haven_River,1860,4,-3256.99880699039,240
Camden_Haven_River,1860,5,-2426.88374870315,248
Camden_Haven_River,1860,6,-3956.83105007232,240
Camden_Haven_River,1860,7,-1718.80405472477,248
Camden_Haven_River,1860,8,-3743.07810127106,248
Camden_Haven_River,1860,9,-2765.11568579769,240
Camden_Haven_River,1860,10,-3796.91727068512,248
Camden_Haven_River,1860,11,-3496.5637926797,240
Camden_Haven_River,1860,12,-4799.62292566385,248
Camden_Haven_River,1861,1,-4178.37326799969,248
Camden_Haven_River,1861,2,-3963.16947709548,224
Camden_Haven_River,1861,3,-3560.02516427286,248
Camden_Haven_River,1861,4,-3653.88101786019,240
Camden_Haven_River,1861,5,-3710.46931251887,248
Camden_Haven_River,1861,6,-6471.38469781556,240
Camden_Haven_River,1861,7,-5448.51793455842,248
Camden_Haven_River,1861,8,-3765.22493477541,248
Camden_Haven_River,1861,9,-3449.29229259442,240
Camden_Haven_River,1861,10,-5284.02234685206,248
Camden_Haven_River,1861,11,-4062.29454756919,240
Camden_Haven_River,1861,12,-4587.47415721936,248
Camden_Haven_River,1862,1,-5457.07099954429,248
Camden_Haven_River,1862,2,-3640.82209043114,224
Camden_Haven_River,1862,3,-3533.67851630655,248
Camden_Haven_River,1862,4,-2519.59395515027,240
Camden_Haven_River,1862,5,-5146.86620504675,248
Camden_Haven_River,1862,6,-4398.99898580213,240
Camden_Haven_River,1862,7,-6755.77744532561,248
Camden_Haven_River,1862,8,-3744.14749261055,248
Camden_Haven_River,1862,9,-5346.72005291486,240
Camden_Haven_River,1862,10,-4987.25802708911,248
Camden_Haven_River,1862,11,-4240.07815692857,240
Camden_Haven_River,1862,12,-4539.97340283715,248
Camden_Haven_River,1863,1,-6053.65422009282,248
Camden_Haven_River,1863,2,-3873.89567300077,224
Camden_Haven_River,1863,3,-3216.29491325152,248
Camden_Haven_River,1863,4,-4294.52820710081,240
Camden_Haven_River,1863,5,-2460.18015840634,248
Camden_Haven_River,1863,6,-3295.86995149001,240
Camden_Haven_River,1863,7,-4037.70427963693,248
Camden_Haven_River,1863,8,-4265.05043508651,248
Camden_Haven_River,1863,9,-3561.47630971457,240
Camden_Haven_River,1863,10,-2527.45984575812,248
Camden_Haven_River,1863,11,-3907.3446206911,240
