Estuary,Year,Month,displacement,count
Clarence_River,1851,1,-3749.18754827528,248
Clarence_River,1851,2,-3667.85617250885,224
Clarence_River,1851,3,-2746.17650331509,248
Clarence_River,1851,4,-1405.23903246353,240
Clarence_River,1851,5,-1319.70734424746,248
Clarence_River,1851,6,-2699.43949526273,240
Clarence_River,1851,7,-5640.2768832226,248
Clarence_River,1851,8,-3345.12720084074,248
Clarence_River,1851,9,-1934.77149289898,240
Clarence_River,1851,10,-1928.66197115891,248
Clarence_River,1851,11,-3215.37861990507,240
Clarence_River,1851,12,-3497.17468440502,248
Clarence_River,1852,1,-3831.28265621101,248
Clarence_River,1852,2,-3595.3069961406,232
Clarence_River,1852,3,-3188.80274301844,248
Clarence_River,1852,4,-1474.58081135572,240
Clarence_River,1852,5,-1888.34000980495,248
Clarence_River,1852,6,-3243.48182970957,240
Clarence_River,1852,7,-5093.5617359274,248
Clarence_River,1852,8,-4900.58091105424,248
Clarence_River,1852,9,-2047.48986679068,240
Clarence_River,1852,10,-2591.30311777758,248
Clarence_River,1852,11,-3769.11954878397,240
Clarence_River,1852,12,-3747.58388424163,248
Clarence_River,1853,1,-4159.51030829861,248
Clarence_River,1853,2,-3442.49569603405,224
Clarence_River,1853,3,-2714.78935468684,248
Clarence_River,1853,4,-1814.64532662891,240
Clarence_River,1853,5,-2578.47328840287,248
Clarence_River,1853,6,-4675.37319573572,240
Clarence_River,1853,7,-5548.33039970592,248
Clarence_River,1853,8,-5422.85853523655,248
Clarence_River,1853,9,-3294.57155907525,240
Clarence_River,1853,10,-4079.78258875967,248
Clarence_River,1853,11,-3344.05769056571,240
Clarence_River,1853,12,-4964.65325683249,248
Clarence_River,1854,1,-3944.99394846886,248
Clarence_River,1854,2,-4472.1587865277,224
Clarence_River,1854,3,-3948.73588779935,248
Clarence_River,1854,4,-2722.27344368643,240
Clarence_River,1854,5,-2854.61828981417,248
Clarence_River,1854,6,-2014.95734091906,240
Clarence_River,1854,7,-3800.96482463136,248
Clarence_River,1854,8,-6531.63868521129,248
Clarence_River,1854,9,-2498.44025990955,240
Clarence_River,1854,10,-4306.36513380619,248
Clarence_River,1854,11,-4051.8321076621,240
Clarence_River,1854,12,-5164.73623177306,248
Clarence_River,1855,1,-4644.97874167859,248
Clarence_River,1855,2,-3958.05284127533,224
Clarence_River,1855,3,-4001.12422779879,248
Clarence_River,1855,4,-2162.42298120418,240
Clarence_River,1855,5,-2313.78345573674,248
Clarence_River,1855,6,-2553.34829401693,240
Clarence_River,1855,7,-3434.47714679344,248
Clarence_River,1855,8,-4454.36551796297,248
Clarence_River,1855,9,-3896.57707059967,240
Clarence_River,1855,10,-3542.91890620896,248
Clarence_River,1855,11,-3582.40105827872,240
Clarence_River,1855,12,-4820.0895033679,248
Clarence_River,1856,1,-4791.14624306619,248
Clarence_River,1856,2,-4342.33436588819,232
Clarence_River,1856,3,-3542.84247836616,248
Clarence_River,1856,4,-3910.39965838931,240
Clarence_River,1856,5,-3924.68027531889,248
Clarence_River,1856,6,-7972.46501044769,240
Clarence_River,1856,7,-5704.96033244454,248
Clarence_River,1856,8,-4243.82018462205,248
Clarence_River,1856,9,-2335.93021572856,240
Clarence_River,1856,10,-5123.34523938377,248
Clarence_River,1856,11,-2752.74397133788,240
Clarence_River,1856,12,-4919.51996444895,248
Clarence_River,1857,1,-4299.64476659196,248
Clarence_River,1857,2,-4218.84782559748,224
Clarence_River,1857,3,-4564.41121027057,248
Clarence_River,1857,4,-4576.93533680881,240
Clarence_River,1857,5,-2799.40463675256,248
Clarence_River,1857,6,-3800.04845330984,240
Clarence_River,1857,7,-6238.61648683503,248
Clarence_River,1857,8,-3556.20691227584,248
Clarence_River,1857,9,-3233.55410715245,240
Clarence_River,1857,10,-3442.19009210095,248
Clarence_River,1857,11,-3241.1145252906,240
Clarence_River,1857,12,-4463.9876573833,248
Clarence_River,1858,1,-4753.87881397222,248
Clarence_River,1858,2,-4753.19172731708,224
Clarence_River,1858,3,-3984.39963942457,248
Clarence_River,1858,4,-3142.14194423427,240
Clarence_River,1858,5,-2749.76572700079,248
Clarence_River,1858,6,-2997.12021333516,240
Clarence_River,1858,7,-4714.47339405131,248
Clarence_River,1858,8,-1971.65693972564,248
Clarence_River,1858,9,-3884.20563088726,240
Clarence_River,1858,10,-2226.26627094744,248
Clarence_River,1858,11,-3881.07428981515,240
Clarence_River,1858,12,-3765.6830629476,248
Clarence_River,1859,1,-5719.39360144623,248
Clarence_River,1859,2,-3517.33578397799,224
Clarence_River,1859,3,-3956.22003890337,248
Clarence_River,1859,4,-3275.3269770096,240
Clarence_River,1859,5,-4522.25619215259,248
Clarence_River,1859,6,-2916.2470194173,240
Clarence_River,1859,7,-4749.83161427447,248
Clarence_River,1859,8,-4336.22488162984,248
Clarence_River,1859,9,-3003.07671337477,240
Clarence_River,1859,10,-3917.19627919858,248
Clarence_River,1859,11,-3585.22669499234,240
Clarence_River,1859,12,-4023.19436544115,248
Clarence_River,1860,1,-4022.35421748437,248
Clarence_River,1860,2,-4015.40478482561,232
Clarence_River,1860,3,-3231.49204981501,248
Clarence_River,1860,4,-3394.61310360025,240
Clarence_River,1860,5,-2585.42275973821,248
Clarence_River,1860,6,-3866.18281863799,240
Clarence_River,1860,7,-1753.78036436132,248
Clarence_River,1860,8,-3536.12208630874,248
Clarence_River,1860,9,-3034.69307612978,240
Clarence_River,1860,10,-3690.84280206144,248
Clarence_River,1860,11,-3944.99394094406,240
Clarence_River,1860,12,-4751.35862948676,248
Clarence_River,1861,1,-4341.03607910502,248
Clarence_River,1861,2,-4112.77346761244,224
Clarence_River,1861,3,-3503.74240733194,248
Clarence_River,1861,4,-4073.44415575195,240
Clarence_River,1861,5,-4653.15012741587,248
Clarence_River,1861,6,-7137.61504344031,240
Clarence_River,1861,7,-5734.13249207636,248
Clarence_River,1861,8,-3964.00963229257,248
Clarence_River,1861,9,-4285.59313143407,240
Clarence_River,1861,10,-5762.46489642041,248
Clarence_River,1861,11,-4020.82698651393,240
Clarence_River,1861,12,-4802.2961259608,248
Clarence_River,1862,1,-5479.44675871553,248
Clarence_River,1862,2,-4047.09739992079,224
Clarence_River,1862,3,-3616.15545114181,248
Clarence_River,1862,4,-2846.98157556688,240
Clarence_River,1862,5,-5369.6302965231,248
Clarence_River,1862,6,-4335.1557186048,240
Clarence_River,1862,7,-6065.26221714131,248
Clarence_River,1862,8,-3496.94579326113,248
Clarence_River,1862,9,-5353.13493648599,240
Clarence_River,1862,10,-5318.76952913962,248
Clarence_River,1862,11,-4926.31679412143,240
Clarence_River,1862,12,-5408.50132813661,248
Clarence_River,1863,1,-6396.39173324746,248
Clarence_River,1863,2,-4285.21119399547,224
Clarence_River,1863,3,-3398.96608978912,248
Clarence_River,1863,4,-4177.0749426964,240
Clarence_River,1863,5,-2623.9121904449,248
Clarence_River,1863,6,-3383.0816497273,240
Clarence_River,1863,7,-4407.70501957309,248
Clarence_River,1863,8,-4026.02001138651,248
Clarence_River,1863,9,-3632.11623176453,240
Clarence_River,1863,10,-2277.43255181003,248
Clarence_River,1863,11,-3943.46646074509,240
Clarence_River,1863,12,-4611.07155921721,248
Clarence_River,1864,1,-3880.53977549235,248
Clarence_River,1864,2,-3430.8111755537,232
Clarence_River,1864,3,-3085.78307772511,248
Clarence_River,1864,4,-2962.37289048446,240
Clarence_River,1864,5,-3152.60441239134,248
Clarence_River,1864,6,-3425.38935097272,240
Clarence_River,1864,7,-5711.22231151137,248
Clarence_River,1864,8,-5165.65264534152,248
Clarence_River,1864,9,-4320.03497520065,240
Clarence_River,1864,10,-4245.80566959514,248
Clarence_River,1864,11,-4865.07000015039,240
Clarence_River,1864,12,-4320.95133214114,248
Clarence_River,1865,1,-5113.79892526803,248
Clarence_River,1865,2,-4595.26354203381,224
Clarence_River,1865,3,-4010.44098995441,248
Clarence_River,1865,4,-3285.48393562777,240
Clarence_River,1865,5,-6225.48126301234,248
Clarence_River,1865,6,-5671.05303999885,240
Clarence_River,1865,7,-5303.26698307459,248
Clarence_River,1865,8,-4914.09806682485,248
Clarence_River,1865,9,-4529.20556587899,240
Clarence_River,1865,10,-5043.15921816542,248
Clarence_River,1865,11,-4628.55977587164,240
Clarence_River,1865,12,-4963.88957606365,248
Clarence_River,1866,1,-4894.01327646184,248
Clarence_River,1866,2,-4441.00101368438,224
Clarence_River,1866,3,-4522.48523740537,248
Clarence_River,1866,4,-2554.95218211587,240
Clarence_River,1866,5,-4211.59302834809,248
Clarence_River,1866,6,-5519.00530027868,240
Clarence_River,1866,7,-5584.52853417633,248
Clarence_River,1866,8,-4755.25344626644,248
Clarence_River,1866,9,-4437.33549942289,240
Clarence_River,1866,10,-4094.7507607245,248
Clarence_River,1866,11,-4704.69814468845,240
Clarence_River,1866,12,-5977.59219771876,248
Clarence_River,1867,1,-6073.58637209308,248
Clarence_River,1867,2,-3758.58084330787,224
Clarence_River,1867,3,-4862.47359410671,248
Clarence_River,1867,4,-3176.1255872265,240
Clarence_River,1867,5,-3269.06497735983,248
Clarence_River,1867,6,-4905.08657773902,240
Clarence_River,1867,7,-7705.63681557265,248
Clarence_River,1867,8,-3638.14929547728,248
Clarence_River,1867,9,-6368.7468454817,240
Clarence_River,1867,10,-5935.89560913453,248
Clarence_River,1867,11,-4995.81127518776,240
Clarence_River,1867,12,-4691.41027095977,248
Clarence_River,1868,1,-6329.49366752768,248
Clarence_River,1868,2,-5525.72535381998,232
Clarence_River,1868,3,-4390.14036432208,248
Clarence_River,1868,4,-3304.19400476461,240
Clarence_River,1868,5,-3585.9138264264,248
Clarence_River,1868,6,-5614.00639823775,240
Clarence_River,1868,7,-5345.49815549705,248
Clarence_River,1868,8,-4089.86324390436,248
Clarence_River,1868,9,-4326.37347185304,240
Clarence_River,1868,10,-4400.1445207959,248
Clarence_River,1868,11,-4348.36726808104,240
Clarence_River,1868,12,-5335.64674269043,248
Clarence_River,1869,1,-4736.46699332603,248
Clarence_River,1869,2,-4499.57487220558,224
Clarence_River,1869,3,-4991.38186778473,248
Clarence_River,1869,4,-3040.34410893433,240
Clarence_River,1869,5,-4369.52114586555,248
Clarence_River,1869,6,-6465.1224845271,240
Clarence_River,1869,7,-4513.32126578685,248
Clarence_River,1869,8,-4451.00550654062,248
Clarence_River,1869,9,-4276.88734929561,240
Clarence_River,1869,10,-5029.64201098724,248
Clarence_River,1869,11,-3968.43885649747,240
Clarence_River,1869,12,-5435.15375750165,248
Clarence_River,1870,1,-7113.55929894881,248
Clarence_River,1870,2,-6094.74023768715,224
Clarence_River,1870,3,-4310.4892482037,248
Clarence_River,1870,4,-3456.77634506534,240
Clarence_River,1870,5,-4418.77821092286,248
Clarence_River,1870,6,-6225.48124361004,240
Clarence_River,1870,7,-4639.78579955029,248
Clarence_River,1870,8,-7697.00733883197,248
Clarence_River,1870,9,-3734.98331616631,240
Clarence_River,1870,10,-5245.83843068819,248
Clarence_River,1870,11,-4797.94287823914,240
Clarence_River,1870,12,-5181.30801568433,248
Clarence_River,1871,1,-4243.20890995732,248
Clarence_River,1871,2,-4758.38455916236,224
Clarence_River,1871,3,-4331.03186322944,248
Clarence_River,1871,4,-2740.44893673743,240
Clarence_River,1871,5,-3133.66528497202,248
Clarence_River,1871,6,-3948.04873306546,240
Clarence_River,1871,7,-5546.42116031632,248
Clarence_River,1871,8,-4976.71933714624,248
Clarence_River,1871,9,-3793.09896429337,240
Clarence_River,1871,10,-4400.2972051751,248
Clarence_River,1871,11,-3779.27646164171,240
Clarence_River,1871,12,-4214.11305337623,248
Clarence_River,1872,1,-4874.31034510319,248
Clarence_River,1872,2,-4894.39541674268,232
Clarence_River,1872,3,-4136.82941013829,248
Clarence_River,1872,4,-3794.54987104694,240
Clarence_River,1872,5,-4429.62234790192,248
Clarence_River,1872,6,-6284.97156531497,240
Clarence_River,1872,7,-5830.20293130846,248
Clarence_River,1872,8,-4762.96681052996,248
Clarence_River,1872,9,-4073.36766715605,240
Clarence_River,1872,10,-4688.96647387668,248
Clarence_River,1872,11,-3790.1969463864,240
Clarence_River,1872,12,-4140.18935204521,248
Clarence_River,1873,1,-6127.11976861471,248
Clarence_River,1873,2,-4498.81127476421,224
Clarence_River,1873,3,-4013.80108956905,248
Clarence_River,1873,4,-3016.97589659701,240
Clarence_River,1873,5,-3787.44764102328,248
Clarence_River,1873,6,-3883.67104316572,240
Clarence_River,1873,7,-4045.03538009351,248
Clarence_River,1873,8,-4270.39599678692,248
Clarence_River,1873,9,-4859.26612786201,240
Clarence_River,1873,10,-4095.81987771174,248
Clarence_River,1873,11,-5295.63025595407,240
Clarence_River,1873,12,-4104.06759950072,248
Clarence_River,1874,1,-5664.33232727715,248
Clarence_River,1874,2,-4878.43437467253,224
Clarence_River,1874,3,-3529.55455054859,248
Clarence_River,1874,4,-4131.78899532158,240
Clarence_River,1874,5,-4621.53384010793,248
Clarence_River,1874,6,-4475.67204864774,240
Clarence_River,1874,7,-3697.1050971838,248
Clarence_River,1874,8,-4870.87395878185,248
Clarence_River,1874,9,-4973.74107128739,240
Clarence_River,1874,10,-4700.03973640616,248
Clarence_River,1874,11,-4608.16958011484,240
Clarence_River,1874,12,-4636.42573350563,248
Clarence_River,1875,1,-4810.23796555582,248
Clarence_River,1875,2,-5750.93342183649,224
Clarence_River,1875,3,-3833.42092903676,248
Clarence_River,1875,4,-3413.32330331857,240
Clarence_River,1875,5,-4315.8347574866,248
Clarence_River,1875,6,-6027.84218966272,240
Clarence_River,1875,7,-3669.07812812645,248
Clarence_River,1875,8,-4900.35189965591,248
Clarence_River,1875,9,-3618.90479102084,240
Clarence_River,1875,10,-4337.67579908027,248
Clarence_River,1875,11,-4413.50903313981,240
