Estuary,Year,Month,Day,displacement,count
Lake Illawarra,1851,1,1,-317.688932102451,8
Lake Illawarra,1851,1,2,-266.980892995176,8
Lake Illawarra,1851,1,3,-250.485484409633,8
Lake Illawarra,1851,1,4,-257.053095062104,8
Lake Illawarra,1851,1,5,-196.570027819459,8
Lake Illawarra,1851,1,6,-231.699094825421,8
Lake Illawarra,1851,1,7,-246.056191784589,8
Lake Illawarra,1851,1,8,-236.586616332551,8
Lake Illawarra,1851,1,9,-205.1231932734,8
Lake Illawarra,1851,1,10,-132.192199628537,8
Lake Illawarra,1851,1,11,-165.030219150228,8
Lake Illawarra,1851,1,12,-217.341998947319,8
Lake Illawarra,1851,1,13,-226.353366171333,8
Lake Illawarra,1851,1,14,-222.687725609968,8
Lake Illawarra,1851,1,15,-200.541137536198,8
Lake Illawarra,1851,1,16,-262.933393514785,8
Lake Illawarra,1851,1,17,-344.34120370288,8
Lake Illawarra,1851,1,18,-408.642667449869,8
Lake Illawarra,1851,1,19,-341.133747642969,8
Lake Illawarra,1851,1,20,-314.099659683403,8
Lake Illawarra,1851,1,21,-326.700302342073,8
Lake Illawarra,1851,1,22,-313.794190755621,8
Lake Illawarra,1851,1,23,-325.325686249637,8
Lake Illawarra,1851,1,24,-287.371024720108,8
Lake Illawarra,1851,1,25,-319.521758414347,8
Lake Illawarra,1851,1,26,-332.962457693891,8
Lake Illawarra,1851,1,27,-326.776670711983,8
Lake Illawarra,1851,1,28,-344.72303553834,8
Lake Illawarra,1851,1,29,-232.997342320352,8
Lake Illawarra,1851,1,30,-176.408999724902,8
Lake Illawarra,1851,1,31,-111.802049297877,8
Lake Illawarra,1851,2,1,-243.459695315372,8
Lake Illawarra,1851,2,2,-241.626874181215,8
Lake Illawarra,1851,2,3,-332.733357136019,8
Lake Illawarra,1851,2,4,-305.699234809912,8
Lake Illawarra,1851,2,5,-356.330888477804,8
Lake Illawarra,1851,2,6,-401.998687545566,8
Lake Illawarra,1851,2,7,-397.187537594648,8
Lake Illawarra,1851,2,8,-390.849027528498,8
Lake Illawarra,1851,2,9,-420.93783753927,8
Lake Illawarra,1851,2,10,-479.817208927918,8
Lake Illawarra,1851,2,11,-563.897856530187,8
Lake Illawarra,1851,2,12,-451.866684142734,8
Lake Illawarra,1851,2,13,-366.335051167748,8
Lake Illawarra,1851,2,14,-360.607486240136,8
Lake Illawarra,1851,2,15,-345.563084876239,8
Lake Illawarra,1851,2,16,-344.188466963059,8
Lake Illawarra,1851,2,17,-321.507312362346,8
Lake Illawarra,1851,2,18,-278.206884056905,8
Lake Illawarra,1851,2,19,-211.767167345634,8
Lake Illawarra,1851,2,20,-226.353362871235,8
Lake Illawarra,1851,2,21,-324.409279466292,8
Lake Illawarra,1851,2,22,-306.462908267332,8
Lake Illawarra,1851,2,23,-249.569114496352,8
Lake Illawarra,1851,2,24,-237.35030697324,8
Lake Illawarra,1851,2,25,-233.455563464277,8
