Estuary,Year,Month,displacement,count
Lake Illawarra,1851,1,-8141.9243654114,248
Lake Illawarra,1851,2,-9423.142504255,224
Lake Illawarra,1851,3,-10404.2362888513,248
Lake Illawarra,1851,4,-10230.6530079158,240
Lake Illawarra,1851,5,-5908.55595621717,248
Lake Illawarra,1851,6,-2986.81060198743,240
Lake Illawarra,1851,7,-4119.72289505078,248
Lake Illawarra,1851,8,-2994.59989818287,248
Lake Illawarra,1851,9,-3506.18612716145,240
Lake Illawarra,1851,10,-2516.84470958009,248
Lake Illawarra,1851,11,-3773.85447502876,240
Lake Illawarra,1851,12,-4377.99780083598,248
Lake Illawarra,1852,1,-6765.62873062327,248
Lake Illawarra,1852,2,-10776.6042776026,232
Lake Illawarra,1852,3,-10296.4817054923,248
Lake Illawarra,1852,4,-8054.40736773198,240
Lake Illawarra,1852,5,-5071.79690097037,248
Lake Illawarra,1852,6,-3285.94217459507,240
Lake Illawarra,1852,7,-2824.3768110143,248
Lake Illawarra,1852,8,-4762.9666494937,248
Lake Illawarra,1852,9,-3301.44479917968,240
Lake Illawarra,1852,10,-4987.33441248583,248
Lake Illawarra,1852,11,-3630.74151289964,240
Lake Illawarra,1852,12,-4479.87214280726,248
Lake Illawarra,1853,1,-7641.71698128829,248
Lake Illawarra,1853,2,-9639.95002142531,224
Lake Illawarra,1853,3,-8990.21495740344,248
Lake Illawarra,1853,4,-5426.98226082702,240
Lake Illawarra,1853,5,-4096.73636465049,248
Lake Illawarra,1853,6,-3285.48395417659,240
Lake Illawarra,1853,7,-5704.57828332891,248
Lake Illawarra,1853,8,-5028.11479183742,248
Lake Illawarra,1853,9,-5659.44483771838,240
Lake Illawarra,1853,10,-6128.57090412767,248
Lake Illawarra,1853,11,-4133.77444481864,240
Lake Illawarra,1853,12,-4311.40545528842,248
Lake Illawarra,1854,1,-7836.3779535706,248
Lake Illawarra,1854,2,-12211.779106769,224
Lake Illawarra,1854,3,-9543.9559002793,248
Lake Illawarra,1854,4,-9258.26502252737,240
