Estuary,Year,Month,displacement,count
Tuggerah_Lakes,1851,1,-3506.33879321942,248
Tuggerah_Lakes,1851,2,-3637.99646686102,224
Tuggerah_Lakes,1851,3,-3323.43867776788,248
Tuggerah_Lakes,1851,4,-2555.94508867563,240
Tuggerah_Lakes,1851,5,-984.148369736116,248
Tuggerah_Lakes,1851,6,-1449.76124201479,240
Tuggerah_Lakes,1851,7,-3086.92842516804,248
Tuggerah_Lakes,1851,8,-1640.52752078747,248
Tuggerah_Lakes,1851,9,-1348.9560722394,240
Tuggerah_Lakes,1851,10,-1522.84494712242,248
Tuggerah_Lakes,1851,11,-2383.96528291421,240
Tuggerah_Lakes,1851,12,-2654.9935385495,248
Tuggerah_Lakes,1852,1,-3320.84206893886,248
Tuggerah_Lakes,1852,2,-3926.20751062071,232
Tuggerah_Lakes,1852,3,-3347.87630951374,248
Tuggerah_Lakes,1852,4,-1671.15083623069,240
Tuggerah_Lakes,1852,5,-956.579745306104,248
Tuggerah_Lakes,1852,6,-1595.4704824368,240
Tuggerah_Lakes,1852,7,-2462.16563069824,248
Tuggerah_Lakes,1852,8,-3124.42483827093,248
Tuggerah_Lakes,1852,9,-1456.02321898349,240
Tuggerah_Lakes,1852,10,-2469.64958230279,248
Tuggerah_Lakes,1852,11,-2679.12575392022,240
Tuggerah_Lakes,1852,12,-2966.19127176852,248
Tuggerah_Lakes,1853,1,-3602.18006647489,248
Tuggerah_Lakes,1853,2,-3665.2597518352,224
Tuggerah_Lakes,1853,3,-2928.31289144079,248
Tuggerah_Lakes,1853,4,-1573.24747775764,240
Tuggerah_Lakes,1853,5,-1658.16822903563,248
Tuggerah_Lakes,1853,6,-2941.75384423047,240
Tuggerah_Lakes,1853,7,-3913.83614666831,248
Tuggerah_Lakes,1853,8,-3363.83716397616,248
Tuggerah_Lakes,1853,9,-2928.16013736834,240
Tuggerah_Lakes,1853,10,-3322.67494037106,248
Tuggerah_Lakes,1853,11,-2820.40562771391,240
Tuggerah_Lakes,1853,12,-3099.37625490014,248
Tuggerah_Lakes,1854,1,-3415.91966714376,248
Tuggerah_Lakes,1854,2,-4656.51006532568,224
Tuggerah_Lakes,1854,3,-4045.56992546853,248
Tuggerah_Lakes,1854,4,-3125.95221711991,240
Tuggerah_Lakes,1854,5,-2414.89402813922,248
Tuggerah_Lakes,1854,6,-1378.28118593389,240
Tuggerah_Lakes,1854,7,-2929.0767126914,248
Tuggerah_Lakes,1854,8,-4774.11631094745,248
Tuggerah_Lakes,1854,9,-2019.00485133814,240
Tuggerah_Lakes,1854,10,-4190.89746221839,248
Tuggerah_Lakes,1854,11,-3504.27686074518,240
Tuggerah_Lakes,1854,12,-3956.37276259927,248
Tuggerah_Lakes,1855,1,-4000.20770616008,248
Tuggerah_Lakes,1855,2,-5298.91389072782,224
Tuggerah_Lakes,1855,3,-4737.45997319917,248
Tuggerah_Lakes,1855,4,-2287.89484223121,240
Tuggerah_Lakes,1855,5,-1358.34941014482,248
Tuggerah_Lakes,1855,6,-1871.23356719158,240
Tuggerah_Lakes,1855,7,-2887.99111979981,248
Tuggerah_Lakes,1855,8,-3632.42175022223,248
Tuggerah_Lakes,1855,9,-3671.21617255866,240
Tuggerah_Lakes,1855,10,-3124.50124493336,248
Tuggerah_Lakes,1855,11,-3281.89484309252,240
Tuggerah_Lakes,1855,12,-4133.08725088896,248
Tuggerah_Lakes,1856,1,-5010.55013443851,248
Tuggerah_Lakes,1856,2,-4380.44163784343,232
Tuggerah_Lakes,1856,3,-4285.51671790118,248
Tuggerah_Lakes,1856,4,-2590.69210110372,240
Tuggerah_Lakes,1856,5,-3804.55419460244,248
Tuggerah_Lakes,1856,6,-5693.73420280714,240
Tuggerah_Lakes,1856,7,-3520.69616020344,248
Tuggerah_Lakes,1856,8,-2838.81038021113,248
Tuggerah_Lakes,1856,9,-2052.07190626921,240
Tuggerah_Lakes,1856,10,-5127.08717002305,248
Tuggerah_Lakes,1856,11,-2472.62779443547,240
Tuggerah_Lakes,1856,12,-3760.18431700267,248
Tuggerah_Lakes,1857,1,-3254.02052175768,248
Tuggerah_Lakes,1857,2,-4601.06725421053,224
Tuggerah_Lakes,1857,3,-3889.09301272343,248
Tuggerah_Lakes,1857,4,-3556.13044128283,240
Tuggerah_Lakes,1857,5,-2803.37575232982,248
Tuggerah_Lakes,1857,6,-3243.94003849235,240
Tuggerah_Lakes,1857,7,-4223.88826241957,248
Tuggerah_Lakes,1857,8,-2526.92527573193,248
Tuggerah_Lakes,1857,9,-2793.29529372988,240
Tuggerah_Lakes,1857,10,-2814.52516657492,248
Tuggerah_Lakes,1857,11,-3550.09749187154,240
Tuggerah_Lakes,1857,12,-4234.04511130947,248
Tuggerah_Lakes,1858,1,-4632.22519654262,248
Tuggerah_Lakes,1858,2,-5176.64969021032,224
Tuggerah_Lakes,1858,3,-3538.94785172619,248
Tuggerah_Lakes,1858,4,-3063.02522419702,240
Tuggerah_Lakes,1858,5,-2617.57358964738,248
Tuggerah_Lakes,1858,6,-1965.39485488497,240
Tuggerah_Lakes,1858,7,-2864.16443625077,248
Tuggerah_Lakes,1858,8,-1392.10371118837,248
Tuggerah_Lakes,1858,9,-3275.25082867943,240
Tuggerah_Lakes,1858,10,-2157.15369042121,248
Tuggerah_Lakes,1858,11,-2852.09838090113,240
Tuggerah_Lakes,1858,12,-2776.34159757172,248
Tuggerah_Lakes,1859,1,-4788.5498516667,248
Tuggerah_Lakes,1859,2,-2821.93292068921,224
Tuggerah_Lakes,1859,3,-3757.43538435861,248
Tuggerah_Lakes,1859,4,-3129.08319465889,240
Tuggerah_Lakes,1859,5,-2816.12908309454,248
Tuggerah_Lakes,1859,6,-2652.16807008399,240
Tuggerah_Lakes,1859,7,-3494.88404210737,248
Tuggerah_Lakes,1859,8,-3373.91764408363,248
Tuggerah_Lakes,1859,9,-3032.78383625654,240
Tuggerah_Lakes,1859,10,-3893.36956937678,248
Tuggerah_Lakes,1859,11,-3784.77497061968,240
Tuggerah_Lakes,1859,12,-3337.49016891632,248
Tuggerah_Lakes,1860,1,-3536.1986226565,248
Tuggerah_Lakes,1860,2,-4697.44316969606,232
Tuggerah_Lakes,1860,3,-3626.92309576968,248
Tuggerah_Lakes,1860,4,-3118.69724112469,240
Tuggerah_Lakes,1860,5,-2215.11661360459,248
Tuggerah_Lakes,1860,6,-3404.77016287141,240
Tuggerah_Lakes,1860,7,-1920.87258062618,248
Tuggerah_Lakes,1860,8,-3939.95359676653,248
Tuggerah_Lakes,1860,9,-2568.77471839439,240
Tuggerah_Lakes,1860,10,-3790.42609878569,248
Tuggerah_Lakes,1860,11,-2859.50580985617,240
Tuggerah_Lakes,1860,12,-4246.72208097302,248
Tuggerah_Lakes,1861,1,-3595.15427824833,248
Tuggerah_Lakes,1861,2,-3297.01546025368,224
Tuggerah_Lakes,1861,3,-3618.90459903193,248
Tuggerah_Lakes,1861,4,-3345.5088722129,240
Tuggerah_Lakes,1861,5,-2797.87729279643,248
Tuggerah_Lakes,1861,6,-5138.54211714956,240
Tuggerah_Lakes,1861,7,-4716.76430896267,248
Tuggerah_Lakes,1861,8,-3551.93044498118,248
Tuggerah_Lakes,1861,9,-2936.40793647493,240
Tuggerah_Lakes,1861,10,-4470.17365582754,248
Tuggerah_Lakes,1861,11,-3557.81059986536,240
Tuggerah_Lakes,1861,12,-4271.15981937464,248
Tuggerah_Lakes,1862,1,-5229.49569082062,248
Tuggerah_Lakes,1862,2,-3248.14019748742,224
Tuggerah_Lakes,1862,3,-3487.85794371424,248
Tuggerah_Lakes,1862,4,-2370.37179929946,240
Tuggerah_Lakes,1862,5,-4539.1333942384,248
Tuggerah_Lakes,1862,6,-4055.03961722059,240
Tuggerah_Lakes,1862,7,-6049.98869405339,248
Tuggerah_Lakes,1862,8,-3594.46712997949,248
Tuggerah_Lakes,1862,9,-4823.75520856567,240
Tuggerah_Lakes,1862,10,-4503.46965793304,248
Tuggerah_Lakes,1862,11,-3783.40030600727,240
Tuggerah_Lakes,1862,12,-3173.98742666497,248
Tuggerah_Lakes,1863,1,-5194.97771132683,248
Tuggerah_Lakes,1863,2,-3360.47674309981,224
Tuggerah_Lakes,1863,3,-3282.35279273224,248
Tuggerah_Lakes,1863,4,-4512.71023602639,240
Tuggerah_Lakes,1863,5,-2115.38075419226,248
Tuggerah_Lakes,1863,6,-3094.25960962065,240
Tuggerah_Lakes,1863,7,-3440.51009780499,248
Tuggerah_Lakes,1863,8,-4040.30076768521,248
Tuggerah_Lakes,1863,9,-3431.80421952272,240
Tuggerah_Lakes,1863,10,-2653.69536492271,248
Tuggerah_Lakes,1863,11,-3744.14720458139,240
Tuggerah_Lakes,1863,12,-5036.82056347815,248
Tuggerah_Lakes,1864,1,-3348.86902984554,248
Tuggerah_Lakes,1864,2,-3528.71431794144,232
Tuggerah_Lakes,1864,3,-3993.25847050751,248
Tuggerah_Lakes,1864,4,-2511.11714375633,240
Tuggerah_Lakes,1864,5,-3035.60935393903,248
Tuggerah_Lakes,1864,6,-2694.62844299187,240
Tuggerah_Lakes,1864,7,-4110.32969537965,248
Tuggerah_Lakes,1864,8,-4089.71060083327,248
Tuggerah_Lakes,1864,9,-3878.24881183341,240
Tuggerah_Lakes,1864,10,-3728.18653363004,248
Tuggerah_Lakes,1864,11,-4195.70853340791,240
Tuggerah_Lakes,1864,12,-3403.24271793512,248
Tuggerah_Lakes,1865,1,-4395.63886044105,248
Tuggerah_Lakes,1865,2,-4102.54018201784,224
Tuggerah_Lakes,1865,3,-2929.22945647238,248
Tuggerah_Lakes,1865,4,-2685.7696805891,240
Tuggerah_Lakes,1865,5,-5135.48746514009,248
Tuggerah_Lakes,1865,6,-4219.53535191959,240
Tuggerah_Lakes,1865,7,-3998.22214228959,248
Tuggerah_Lakes,1865,8,-3566.28744950915,248
Tuggerah_Lakes,1865,9,-3605.61663800001,240
Tuggerah_Lakes,1865,10,-4526.99099270917,248
Tuggerah_Lakes,1865,11,-3944.30663091352,240
Tuggerah_Lakes,1865,12,-3371.62651894748,248
Tuggerah_Lakes,1866,1,-4386.93290545994,248
Tuggerah_Lakes,1866,2,-4051.98482252454,224
Tuggerah_Lakes,1866,3,-4275.58899119049,248
Tuggerah_Lakes,1866,4,-2331.34805707666,240
Tuggerah_Lakes,1866,5,-3348.3344566046,248
Tuggerah_Lakes,1866,6,-4266.50134718851,240
Tuggerah_Lakes,1866,7,-3697.86865338816,248
Tuggerah_Lakes,1866,8,-4231.14304271328,248
Tuggerah_Lakes,1866,9,-3458.15086068969,240
Tuggerah_Lakes,1866,10,-4001.12417304845,248
Tuggerah_Lakes,1866,11,-4191.66105449624,240
Tuggerah_Lakes,1866,12,-5098.75460100126,248
Tuggerah_Lakes,1867,1,-5415.06916928387,248
Tuggerah_Lakes,1867,2,-3697.41044552998,224
Tuggerah_Lakes,1867,3,-3881.60897208735,248
Tuggerah_Lakes,1867,4,-2926.86196972299,240
Tuggerah_Lakes,1867,5,-3298.8483157686,248
Tuggerah_Lakes,1867,6,-2889.51830747068,240
Tuggerah_Lakes,1867,7,-4993.82573072754,248
Tuggerah_Lakes,1867,8,-3090.13592004677,248
Tuggerah_Lakes,1867,9,-5091.9580921353,240
Tuggerah_Lakes,1867,10,-4691.6393413758,248
Tuggerah_Lakes,1867,11,-4653.37920958138,240
Tuggerah_Lakes,1867,12,-3355.8948635338,248
Tuggerah_Lakes,1868,1,-4726.99734844391,248
Tuggerah_Lakes,1868,2,-5121.20652665321,232
Tuggerah_Lakes,1868,3,-3896.04237434472,248
Tuggerah_Lakes,1868,4,-3575.90975505814,240
Tuggerah_Lakes,1868,5,-3480.83210718107,248
Tuggerah_Lakes,1868,6,-5051.40686659834,240
Tuggerah_Lakes,1868,7,-4694.84680175998,248
Tuggerah_Lakes,1868,8,-3008.11715046713,248
Tuggerah_Lakes,1868,9,-3552.15940097484,240
Tuggerah_Lakes,1868,10,-3775.3817556287,248
Tuggerah_Lakes,1868,11,-3948.73580384599,240
Tuggerah_Lakes,1868,12,-3584.69195653312,248
Tuggerah_Lakes,1869,1,-3705.04709611525,248
Tuggerah_Lakes,1869,2,-5217.65878736528,224
Tuggerah_Lakes,1869,3,-4697.36686035808,248
Tuggerah_Lakes,1869,4,-3051.11193041617,240
Tuggerah_Lakes,1869,5,-2799.7863953742,248
Tuggerah_Lakes,1869,6,-4982.52322252121,240
Tuggerah_Lakes,1869,7,-3098.45987889874,248
Tuggerah_Lakes,1869,8,-3409.5049652345,248
Tuggerah_Lakes,1869,9,-3662.96870250174,240
Tuggerah_Lakes,1869,10,-4387.77290129926,248
Tuggerah_Lakes,1869,11,-2765.65027942242,240
Tuggerah_Lakes,1869,12,-4078.10262665787,248
Tuggerah_Lakes,1870,1,-6103.59864699363,248
Tuggerah_Lakes,1870,2,-4814.28580641146,224
Tuggerah_Lakes,1870,3,-4569.68069550329,248
Tuggerah_Lakes,1870,4,-2767.10123468175,240
Tuggerah_Lakes,1870,5,-3525.35444934791,248
Tuggerah_Lakes,1870,6,-4185.70447555299,240
Tuggerah_Lakes,1870,7,-3662.05227820796,248
Tuggerah_Lakes,1870,8,-5914.28359377539,248
Tuggerah_Lakes,1870,9,-3157.7209929064,240
Tuggerah_Lakes,1870,10,-3973.5554745227,248
Tuggerah_Lakes,1870,11,-4477.19924291881,240
Tuggerah_Lakes,1870,12,-4819.63140614835,248
Tuggerah_Lakes,1871,1,-4429.0876020317,248
Tuggerah_Lakes,1871,2,-3680.22776881234,224
Tuggerah_Lakes,1871,3,-3659.53214771892,248
Tuggerah_Lakes,1871,4,-2042.60238114367,240
Tuggerah_Lakes,1871,5,-3362.84424538242,248
Tuggerah_Lakes,1871,6,-2683.70793228025,240
Tuggerah_Lakes,1871,7,-4351.26931304625,248
Tuggerah_Lakes,1871,8,-3590.03770884265,248
Tuggerah_Lakes,1871,9,-2677.14024453065,240
Tuggerah_Lakes,1871,10,-3737.27428107302,248
Tuggerah_Lakes,1871,11,-3043.62794562572,240
Tuggerah_Lakes,1871,12,-3579.26986306526,248
Tuggerah_Lakes,1872,1,-4227.5537112623,248
Tuggerah_Lakes,1872,2,-4547.91588176931,232
Tuggerah_Lakes,1872,3,-3465.40599774962,248
Tuggerah_Lakes,1872,4,-3394.84220879533,240
Tuggerah_Lakes,1872,5,-3716.12049379939,248
Tuggerah_Lakes,1872,6,-5138.69488467133,240
Tuggerah_Lakes,1872,7,-4637.800320836,248
Tuggerah_Lakes,1872,8,-3761.4828782203,248
Tuggerah_Lakes,1872,9,-2855.00004685688,240
Tuggerah_Lakes,1872,10,-4292.23715395516,248
Tuggerah_Lakes,1872,11,-3081.58254082613,240
Tuggerah_Lakes,1872,12,-3570.41119007808,248
Tuggerah_Lakes,1873,1,-5832.95204631139,248
Tuggerah_Lakes,1873,2,-4396.40239821037,224
Tuggerah_Lakes,1873,3,-3742.6963184321,248
Tuggerah_Lakes,1873,4,-2465.29673483183,240
Tuggerah_Lakes,1873,5,-2696.9957569413,248
Tuggerah_Lakes,1873,6,-3319.92592701684,240
Tuggerah_Lakes,1873,7,-2812.31069478354,248
Tuggerah_Lakes,1873,8,-3436.76814463399,248
Tuggerah_Lakes,1873,9,-3904.06106796463,240
Tuggerah_Lakes,1873,10,-4169.43817019953,248
Tuggerah_Lakes,1873,11,-3345.35621871123,240
Tuggerah_Lakes,1873,12,-3452.04175456286,248
Tuggerah_Lakes,1874,1,-4329.73339027521,248
Tuggerah_Lakes,1874,2,-4627.49057729942,224
Tuggerah_Lakes,1874,3,-3181.92965045116,248
Tuggerah_Lakes,1874,4,-3866.86993236959,240
Tuggerah_Lakes,1874,5,-4850.33105023228,248
Tuggerah_Lakes,1874,6,-4271.77076354591,240
Tuggerah_Lakes,1874,7,-3757.28269410466,248
Tuggerah_Lakes,1874,8,-3993.41102627847,248
Tuggerah_Lakes,1874,9,-4624.74152945064,240
Tuggerah_Lakes,1874,10,-3958.35822165522,248
Tuggerah_Lakes,1874,11,-3850.52724610728,240
Tuggerah_Lakes,1874,12,-3609.81685422049,248
Tuggerah_Lakes,1875,1,-3404.69362380676,248
Tuggerah_Lakes,1875,2,-4743.56935272207,224
Tuggerah_Lakes,1875,3,-3033.47094739927,248
Tuggerah_Lakes,1875,4,-2785.27671595481,240
Tuggerah_Lakes,1875,5,-3651.97180280881,248
Tuggerah_Lakes,1875,6,-4556.16345897985,240
Tuggerah_Lakes,1875,7,-3519.01588892682,248
Tuggerah_Lakes,1875,8,-4412.21054719855,248
Tuggerah_Lakes,1875,9,-3762.3993901516,240
Tuggerah_Lakes,1875,10,-4299.95024091086,248
Tuggerah_Lakes,1875,11,-3908.9487259991,240
Tuggerah_Lakes,1875,12,-4954.49642780008,248
Tuggerah_Lakes,1876,1,-5101.65651499069,248
Tuggerah_Lakes,1876,2,-5090.27787498313,232
Tuggerah_Lakes,1876,3,-3664.80147316715,248
Tuggerah_Lakes,1876,4,-2504.32063957025,240
Tuggerah_Lakes,1876,5,-3275.47985196949,248
Tuggerah_Lakes,1876,6,-3591.10682858235,240
