Estuary,Year,Month,Day,displacement,count
Clarence_River,1851,1,1,207.337850794877,8
Clarence_River,1851,1,2,197.562807183183,8
Clarence_River,1851,1,3,174.499832695642,8
Clarence_River,1851,1,4,213.523640365655,8
Clarence_River,1851,1,5,112.642111039593,8
Clarence_River,1851,1,6,74.0001395293064,8
Clarence_River,1851,1,7,93.9320629693177,8
Clarence_River,1851,1,8,122.875359436965,8
Clarence_River,1851,1,9,190.536995215826,8
Clarence_River,1851,1,10,141.432672474366,8
Clarence_River,1851,1,11,137.079739343106,8
Clarence_River,1851,1,12,131.504888282221,8
Clarence_River,1851,1,13,142.19634563307,8
Clarence_River,1851,1,14,179.845537338669,8
Clarence_River,1851,1,15,101.950657173761,8
Clarence_River,1851,1,16,103.936231505556,8
Clarence_River,1851,1,17,90.3427913468443,8
Clarence_River,1851,1,18,146.549295520863,8
Clarence_River,1851,1,19,196.417311904395,8
Clarence_River,1851,1,20,172.896094594696,8
Clarence_River,1851,1,21,198.708319076259,8
Clarence_River,1851,1,22,173.507032279565,8
Clarence_River,1851,1,23,163.731989891185,8
Clarence_River,1851,1,24,182.136566131866,8
Clarence_River,1851,1,25,151.589553554446,8
Clarence_River,1851,1,26,130.741232889995,8
Clarence_River,1851,1,27,123.33356504767,8
Clarence_River,1851,1,28,182.823870764189,8
Clarence_River,1851,1,29,166.939425069439,8
Clarence_River,1851,1,30,130.206643745998,8
Clarence_River,1851,1,31,33.9835689960584,8
Clarence_River,1851,2,1,145.327414575098,8
Clarence_River,1851,2,2,117.376897400054,8
Clarence_River,1851,2,3,144.487391509966,8
Clarence_River,1851,2,4,115.773179953172,8
Clarence_River,1851,2,5,128.373838344207,8
Clarence_River,1851,2,6,150.902244284917,8
Clarence_River,1851,2,7,171.445109165082,8
Clarence_River,1851,2,8,162.739211380932,8
Clarence_River,1851,2,9,149.527625219549,8
Clarence_River,1851,2,10,126.541001762177,8
Clarence_River,1851,2,11,152.811434187272,8
Clarence_River,1851,2,12,159.989981514666,8
Clarence_River,1851,2,13,131.046684037075,8
Clarence_River,1851,2,14,130.817582711078,8
Clarence_River,1851,2,15,119.897027362779,8
Clarence_River,1851,2,16,71.174537381375,8
Clarence_River,1851,2,17,160.982758104602,8
Clarence_River,1851,2,18,177.783654735736,8
Clarence_River,1851,2,19,121.348010331544,8
Clarence_River,1851,2,20,87.4408265188278,8
Clarence_River,1851,2,21,104.24168138665,8
Clarence_River,1851,2,22,132.421299802345,8
Clarence_River,1851,2,23,136.545165163348,8
Clarence_River,1851,2,24,147.618456099278,8
Clarence_River,1851,2,25,74.0765265618408,8
Clarence_River,1851,2,26,95.5358018668384,8
Clarence_River,1851,2,27,121.042557840243,8
Clarence_River,1851,2,28,170.452351977447,8
Clarence_River,1851,3,1,190.307891699246,8
Clarence_River,1851,3,2,109.281939406008,8
Clarence_River,1851,3,3,66.0579345195307,8
Clarence_River,1851,3,4,68.4253093358525,8
Clarence_River,1851,3,5,90.419157896011,8
Clarence_River,1851,3,6,79.8040706362448,8
Clarence_River,1851,3,7,128.144719635795,8
Clarence_River,1851,3,8,90.1900544647788,8
Clarence_River,1851,3,9,86.9062519123331,8
Clarence_River,1851,3,10,79.4222332816547,8
Clarence_River,1851,3,11,60.5594521557208,8
Clarence_River,1851,3,12,36.427312623252,8
Clarence_River,1851,3,13,3.58927512171476,8
Clarence_River,1851,3,14,-3.36017174738035,8
Clarence_River,1851,3,15,27.3395759482604,8
Clarence_River,1851,3,16,102.867066318384,8
Clarence_River,1851,3,17,109.052835405793,8
Clarence_River,1851,3,18,59.2612234229853,8
Clarence_River,1851,3,19,31.539791286816,8
Clarence_River,1851,3,20,60.55945492951,8
Clarence_River,1851,3,21,73.3128301602045,8
Clarence_River,1851,3,22,74.3056089407228,8
Clarence_River,1851,3,23,84.462491756199,8
Clarence_River,1851,3,24,19.7792101422686,8
Clarence_River,1851,3,25,47.2715208958089,8
Clarence_River,1851,3,26,22.1465839770954,8
Clarence_River,1851,3,27,37.1146210677571,8
Clarence_River,1851,3,28,37.3437237877618,8
Clarence_River,1851,3,29,18.6336782779081,8
Clarence_River,1851,3,30,0.99277896543778,8
Clarence_River,1851,3,31,11.3787618693752,8
Clarence_River,1851,4,1,79.1167643254237,8
Clarence_River,1851,4,2,95.077576185278,8
Clarence_River,1851,4,3,46.8896639682221,8
Clarence_River,1851,4,4,40.5511780838268,8
Clarence_River,1851,4,5,12.6770116402363,8
Clarence_River,1851,4,6,31.4634234574389,8
Clarence_River,1851,4,7,27.2632087305396,8
Clarence_River,1851,4,8,34.3653894518696,8
Clarence_River,1851,4,9,64.9124025555986,8
Clarence_River,1851,4,10,44.9804756590186,8
Clarence_River,1851,4,11,39.482014105742,8
Clarence_River,1851,4,12,36.0454747565777,8
Clarence_River,1851,4,13,31.4634230591511,8
Clarence_River,1851,4,14,17.0299786686265,8
Clarence_River,1851,4,15,24.8958154791862,8
Clarence_River,1851,4,16,9.46955523893614,8
Clarence_River,1851,4,17,9.31685800072246,8
Clarence_River,1851,4,18,17.5645688652407,8
Clarence_River,1851,4,19,25.201285701403,8
Clarence_River,1851,4,20,19.1682503808805,8
Clarence_River,1851,4,21,21.4592761015725,8
Clarence_River,1851,4,22,20.0082937160133,8
Clarence_River,1851,4,23,16.8772239916338,8
Clarence_River,1851,4,24,20.7719690226253,8
Clarence_River,1851,4,25,16.8008571010779,8
Clarence_River,1851,4,26,-1.7564532478814,8
Clarence_River,1851,4,27,3.20743559076704,8
Clarence_River,1851,4,28,17.6408998387791,8
Clarence_River,1851,4,29,19.0155153764562,8
Clarence_River,1851,4,30,27.4159447022339,8
Clarence_River,1851,5,1,3.283804259393,8
Clarence_River,1851,5,2,9.01136915855492,8
Clarence_River,1851,5,3,23.9794055095395,8
Clarence_River,1851,5,4,47.3478701621334,8
Clarence_River,1851,5,5,75.6038566632474,8
Clarence_River,1851,5,6,69.2653512485292,8
Clarence_River,1851,5,7,67.127060830977,8
Clarence_River,1851,5,8,24.895815905923,8
Clarence_River,1851,5,9,20.3137636395142,8
Clarence_River,1851,5,10,21.5356434899881,8
Clarence_River,1851,5,11,30.6233804352463,8
Clarence_River,1851,5,12,66.2870187191565,8
Clarence_River,1851,5,13,75.7565923504506,8
Clarence_River,1851,5,14,91.4883049468683,8
Clarence_River,1851,5,15,85.3789009008214,8
Clarence_River,1851,5,16,41.1621002923727,8
Clarence_River,1851,5,17,46.2787243630379,8
Clarence_River,1851,5,18,26.5759014666729,8
Clarence_River,1851,5,19,45.3622961788404,8
Clarence_River,1851,5,20,48.4170160892498,8
Clarence_River,1851,5,21,40.9329970460592,8
Clarence_River,1851,5,22,50.7844092979294,8
Clarence_River,1851,5,23,67.9671037251485,8
Clarence_River,1851,5,24,75.6802249193614,8
Clarence_River,1851,5,25,82.93513969207,8
Clarence_River,1851,5,26,89.5791146746751,8
Clarence_River,1851,5,27,52.9990675021848,8
Clarence_River,1851,5,28,40.7038952791003,8
Clarence_River,1851,5,29,113.711255586926,8
Clarence_River,1851,5,30,162.20463927796,8
Clarence_River,1851,5,31,139.828951329099,8
Clarence_River,1851,6,1,104.852622087125,8
Clarence_River,1851,6,2,214.058193692206,8
Clarence_River,1851,6,3,193.515327275789,8
Clarence_River,1851,6,4,185.802207489808,8
Clarence_River,1851,6,5,136.086943535788,8
Clarence_River,1851,6,6,103.554372999043,8
Clarence_River,1851,6,7,108.28916174923,8
Clarence_River,1851,6,8,123.868136723905,8
Clarence_River,1851,6,9,116.078650218062,8
Clarence_River,1851,6,10,117.376896987541,8
Clarence_River,1851,6,11,125.471855621692,8
Clarence_River,1851,6,12,124.479075504064,8
Clarence_River,1851,6,13,99.7359968358217,8
Clarence_River,1851,6,14,159.302673311978,8
Clarence_River,1851,6,15,156.095217138271,8
Clarence_River,1851,6,16,121.653480596435,8
Clarence_River,1851,6,17,94.39025079932,8
Clarence_River,1851,6,18,76.0620618472143,8
Clarence_River,1851,6,19,92.1756133344751,8
Clarence_River,1851,6,20,142.349081078455,8
Clarence_River,1851,6,21,181.143785687075,8
Clarence_River,1851,6,22,197.94464561884,8
Clarence_River,1851,6,23,167.932200564084,8
Clarence_River,1851,6,24,135.24689874975,8
Clarence_River,1851,6,25,103.248904526447,8
Clarence_River,1851,6,26,50.708040671977,8
Clarence_River,1851,6,27,54.6791532336296,8
Clarence_River,1851,6,28,53.1518023643634,8
Clarence_River,1851,6,29,78.200353331609,8
Clarence_River,1851,6,30,75.9856934773042,8
Clarence_River,1851,7,1,132.650401768448,8
Clarence_River,1851,7,2,127.686513655252,8
Clarence_River,1851,7,3,85.9134728899971,8
Clarence_River,1851,7,4,78.0476182702864,8
Clarence_River,1851,7,5,75.9856935342024,8
Clarence_River,1851,7,6,72.8546256590162,8
Clarence_River,1851,7,7,0.38183775287827,8
Clarence_River,1851,7,8,-13.3643177092394,8
Clarence_River,1851,7,9,-29.5542323317727,8
Clarence_River,1851,7,10,-68.3489427440123,8
Clarence_River,1851,7,11,-31.9979946784889,8
Clarence_River,1851,7,12,103.70711019405,8
Clarence_River,1851,7,13,-0.610962890790732,8
Clarence_River,1851,7,14,148.611218848716,8
Clarence_River,1851,7,15,127.610149382015,8
Clarence_River,1851,7,16,140.745361753931,8
Clarence_River,1851,7,17,173.048827636132,8
Clarence_River,1851,7,18,230.706312645232,8
Clarence_River,1851,7,19,152.65869878456,8
Clarence_River,1851,7,20,119.286085083376,8
Clarence_River,1851,7,21,96.4521960756708,8
Clarence_River,1851,7,22,148.305731372106,8
Clarence_River,1851,7,23,101.110612245478,8
Clarence_River,1851,7,24,110.045613375512,8
Clarence_River,1851,7,25,160.600919924987,8
Clarence_River,1851,7,26,120.507966142938,8
Clarence_River,1851,7,27,87.7462961293889,8
Clarence_River,1851,7,28,113.86399448888,8
Clarence_River,1851,7,29,141.81450647196,8
Clarence_River,1851,7,30,72.6255240058535,8
Clarence_River,1851,7,31,62.6213778164017,8
Clarence_River,1851,8,1,87.8990296260093,8
Clarence_River,1851,8,2,123.028094313368,8
Clarence_River,1851,8,3,98.0559108767841,8
Clarence_River,1851,8,4,52.0062896178137,8
Clarence_River,1851,8,5,22.6047903274764,8
Clarence_River,1851,8,6,67.3561638354729,8
Clarence_River,1851,8,7,96.5285601213144,8
Clarence_River,1851,8,8,73.3891988857287,8
Clarence_River,1851,8,9,62.4686422714439,8
Clarence_River,1851,8,10,58.650263889191,8
Clarence_River,1851,8,11,65.2178712415627,8
Clarence_River,1851,8,12,65.5233427582145,8
Clarence_River,1851,8,13,29.7069698112698,8
Clarence_River,1851,8,14,44.3695351861356,8
Clarence_River,1851,8,15,94.8484555281013,8
