Estuary,Year,Month,displacement,count
Hawkesbury_River,1851,1,-3317.26584271345,248
Hawkesbury_River,1851,2,-2812.16809135402,224
Hawkesbury_River,1851,3,-1797.78635273319,248
Hawkesbury_River,1851,4,525.83948604353,240
Hawkesbury_River,1851,5,2589.99516584338,248
Hawkesbury_River,1851,6,4387.31470086629,240
Hawkesbury_River,1851,7,3708.14900255324,248
Hawkesbury_River,1851,8,2490.78748552155,248
Hawkesbury_River,1851,9,-2288.73910862155,240
Hawkesbury_River,1851,10,-4845.34073680678,248
Hawkesbury_River,1851,11,-2691.49061540356,240
Hawkesbury_River,1851,12,-2696.97034817831,248
Hawkesbury_River,1852,1,-2446.70497778476,248
Hawkesbury_River,1852,2,-2994.87266649587,232
Hawkesbury_River,1852,3,-2649.36156333068,248
Hawkesbury_River,1852,4,-977.438405594859,240
Hawkesbury_River,1852,5,1828.83774855892,248
Hawkesbury_River,1852,6,3162.83771888182,240
Hawkesbury_River,1852,7,3906.73379565053,248
Hawkesbury_River,1852,8,3525.61316896488,248
Hawkesbury_River,1852,9,-1688.04698540081,240
Hawkesbury_River,1852,10,-3907.82551331378,248
Hawkesbury_River,1852,11,-3855.24759863187,240
Hawkesbury_River,1852,12,-4753.76861676555,248
Hawkesbury_River,1853,1,-4826.62411835118,248
Hawkesbury_River,1853,2,-3988.81597114828,224
Hawkesbury_River,1853,3,-2740.94335879487,248
Hawkesbury_River,1853,4,276.32429497492,240
Hawkesbury_River,1853,5,2516.03837635921,248
Hawkesbury_River,1853,6,3476.84179165833,240
Hawkesbury_River,1853,7,2501.56667464478,248
Hawkesbury_River,1853,8,1979.4307355764,248
Hawkesbury_River,1853,9,805.49948573005,240
Hawkesbury_River,1853,10,-312.91555904306,248
Hawkesbury_River,1853,11,-2807.63858646774,240
Hawkesbury_River,1853,12,-3265.1642788608,248
Hawkesbury_River,1854,1,-5281.60501200586,248
Hawkesbury_River,1854,2,-3877.90735208997,224
Hawkesbury_River,1854,3,-879.907340224425,248
Hawkesbury_River,1854,4,1447.29311820401,240
Hawkesbury_River,1854,5,3235.52092153112,248
Hawkesbury_River,1854,6,4349.74172157251,240
Hawkesbury_River,1854,7,5286.87502279316,248
Hawkesbury_River,1854,8,4819.24089596723,248
Hawkesbury_River,1854,9,690.869324456314,240
Hawkesbury_River,1854,10,-1230.6888133793,248
Hawkesbury_River,1854,11,-3923.46338040774,240
Hawkesbury_River,1854,12,-3822.85139790453,248
Hawkesbury_River,1855,1,-4856.96570014545,248
Hawkesbury_River,1855,2,-2920.8180386607,224
Hawkesbury_River,1855,3,-1823.32047808719,248
Hawkesbury_River,1855,4,-769.004646521962,240
Hawkesbury_River,1855,5,1750.49904926321,248
Hawkesbury_River,1855,6,1921.3854819195,240
Hawkesbury_River,1855,7,3889.48519705222,248
Hawkesbury_River,1855,8,4818.20316556858,248
Hawkesbury_River,1855,9,-114.531586273631,240
Hawkesbury_River,1855,10,-964.429489184165,248
Hawkesbury_River,1855,11,-1901.44877472305,240
Hawkesbury_River,1855,12,-1817.77087865505,248
Hawkesbury_River,1856,1,-2827.52734603844,248
Hawkesbury_River,1856,2,-3806.37467321544,232
Hawkesbury_River,1856,3,-2195.0072902213,248
Hawkesbury_River,1856,4,-2273.32217128149,240
Hawkesbury_River,1856,5,3774.57515550247,248
Hawkesbury_River,1856,6,3941.91833462086,240
Hawkesbury_River,1856,7,4030.94009855147,248
Hawkesbury_River,1856,8,1958.33582065098,248
Hawkesbury_River,1856,9,1108.7106131516,240
Hawkesbury_River,1856,10,-1643.18624650267,248
Hawkesbury_River,1856,11,-4190.82048470731,240
Hawkesbury_River,1856,12,-5484.55675861325,248
Hawkesbury_River,1857,1,-6287.55181413063,248
Hawkesbury_River,1857,2,-2109.19749742254,224
Hawkesbury_River,1857,3,-3268.08537308129,248
Hawkesbury_River,1857,4,388.56226204149,240
Hawkesbury_River,1857,5,4184.56585504537,248
Hawkesbury_River,1857,6,4651.4071025628,240
Hawkesbury_River,1857,7,5169.90352082707,248
Hawkesbury_River,1857,8,2459.03900586774,248
Hawkesbury_River,1857,9,1024.69062039982,240
Hawkesbury_River,1857,10,-2196.68767167179,248
Hawkesbury_River,1857,11,-4475.75616029355,240
Hawkesbury_River,1857,12,-3873.16476613115,248
Hawkesbury_River,1858,1,-3749.79732470038,248
Hawkesbury_River,1858,2,-1676.0844597522,224
Hawkesbury_River,1858,3,-2797.45539286168,248
