Estuary,Year,Month,displacement,count
Hunter_River,1851,1,-5608.93408443106,248
Hunter_River,1851,2,-3941.25421270892,224
Hunter_River,1851,3,-2061.28762403007,248
Hunter_River,1851,4,550.044518212827,240
Hunter_River,1851,5,2589.28738137192,248
Hunter_River,1851,6,4387.31470086629,240
Hunter_River,1851,7,3707.10027920769,248
Hunter_River,1851,8,2545.56718464681,248
Hunter_River,1851,9,-2451.38142835949,240
Hunter_River,1851,10,-6739.27991963926,248
Hunter_River,1851,11,-5490.77137561386,240
Hunter_River,1851,12,-5145.23831922579,248
Hunter_River,1852,1,-4684.57052520324,248
Hunter_River,1852,2,-2898.08493051873,232
Hunter_River,1852,3,-2822.41427104817,248
Hunter_River,1852,4,-1723.99985492647,240
Hunter_River,1852,5,1895.87380465877,248
Hunter_River,1852,6,3162.83771888182,240
Hunter_River,1852,7,3906.73379565053,248
Hunter_River,1852,8,3466.4815133426,248
Hunter_River,1852,9,-2719.18240255474,240
Hunter_River,1852,10,-5556.84208722649,248
Hunter_River,1852,11,-7551.94310071501,240
Hunter_River,1852,12,-6619.30138949595,248
Hunter_River,1853,1,-4674.41217031877,248
Hunter_River,1853,2,-3425.88626400137,224
Hunter_River,1853,3,-3457.12540637917,248
Hunter_River,1853,4,213.62323499519,240
Hunter_River,1853,5,2455.55033503825,248
Hunter_River,1853,6,3476.4127261381,240
Hunter_River,1853,7,2066.17257827311,248
Hunter_River,1853,8,1539.62205434538,248
Hunter_River,1853,9,100.061219895656,240
Hunter_River,1853,10,-1314.67030810342,248
Hunter_River,1853,11,-6025.93986578802,240
Hunter_River,1853,12,-5290.66557107892,248
Hunter_River,1854,1,-6092.9637389611,248
Hunter_River,1854,2,-2992.6071214286,224
Hunter_River,1854,3,-1556.53989089228,248
Hunter_River,1854,4,778.09548710037,240
Hunter_River,1854,5,3142.27183609803,248
Hunter_River,1854,6,4349.74172157251,240
Hunter_River,1854,7,5163.29193706052,248
Hunter_River,1854,8,4761.44583075701,248
Hunter_River,1854,9,-91.1381738591811,240
Hunter_River,1854,10,-2200.97368939838,248
Hunter_River,1854,11,-5702.94218515265,240
Hunter_River,1854,12,-4802.3888679912,248
Hunter_River,1855,1,-4377.02779544241,248
Hunter_River,1855,2,-2470.43220580639,224
Hunter_River,1855,3,-1561.24379488361,248
Hunter_River,1855,4,-1630.25781745998,240
Hunter_River,1855,5,1247.37733316034,248
Hunter_River,1855,6,1800.32975206275,240
Hunter_River,1855,7,3618.17438563222,248
Hunter_River,1855,8,4715.20496350996,248
Hunter_River,1855,9,-2232.79310725221,240
Hunter_River,1855,10,-2885.52566847744,248
Hunter_River,1855,11,-4009.94248167732,240
Hunter_River,1855,12,-4211.35493311707,248
Hunter_River,1856,1,-4629.82320981,248
Hunter_River,1856,2,-4054.06531027157,232
Hunter_River,1856,3,-3098.30025887976,248
Hunter_River,1856,4,-3699.61298117681,240
Hunter_River,1856,5,3769.30446379424,248
Hunter_River,1856,6,3935.20954831422,240
Hunter_River,1856,7,3927.69758820696,248
Hunter_River,1856,8,1483.36638429017,248
Hunter_River,1856,9,260.660372037736,240
Hunter_River,1856,10,-3033.33035074587,248
Hunter_River,1856,11,-5320.67260362217,240
Hunter_River,1856,12,-5649.07514553884,248
Hunter_River,1857,1,-5271.13001857166,248
Hunter_River,1857,2,-2634.23867442284,224
Hunter_River,1857,3,-5061.40801452612,248
Hunter_River,1857,4,21.4476644381007,240
Hunter_River,1857,5,3692.63771197047,248
Hunter_River,1857,6,4637.18452826277,240
Hunter_River,1857,7,5164.02516804381,248
Hunter_River,1857,8,2221.22870388272,248
Hunter_River,1857,9,-6.19641067181186,240
Hunter_River,1857,10,-1907.44743856446,248
Hunter_River,1857,11,-3378.25725999605,240
Hunter_River,1857,12,-4349.97715227051,248
Hunter_River,1858,1,-5474.24802209494,248
Hunter_River,1858,2,-3380.47142065331,224
Hunter_River,1858,3,-3663.9187913841,248
Hunter_River,1858,4,-851.082182760574,240
Hunter_River,1858,5,2103.04883035154,248
Hunter_River,1858,6,2050.75647971796,240
Hunter_River,1858,7,4747.7608970161,248
Hunter_River,1858,8,2347.87284704529,248
Hunter_River,1858,9,314.81607804579,240
Hunter_River,1858,10,-5259.91870189321,248
Hunter_River,1858,11,-5218.54132715158,240
Hunter_River,1858,12,-4371.8980128421,248
Hunter_River,1859,1,-4980.63089812589,248
Hunter_River,1859,2,-4727.98173648155,224
Hunter_River,1859,3,-3325.85680747154,248
Hunter_River,1859,4,-832.46987949463,240
Hunter_River,1859,5,1314.40315700267,248
Hunter_River,1859,6,4195.27600047065,240
Hunter_River,1859,7,3806.01821276166,248
Hunter_River,1859,8,3929.99524372527,248
Hunter_River,1859,9,930.460854829576,240
Hunter_River,1859,10,-2651.88213042553,248
Hunter_River,1859,11,-4037.91679452818,240
Hunter_River,1859,12,-5320.04443384623,248
Hunter_River,1860,1,-7084.77071635811,248
Hunter_River,1860,2,-2858.5410705004,232
Hunter_River,1860,3,-4377.85669138202,248
Hunter_River,1860,4,680.614623778848,240
Hunter_River,1860,5,2044.23674571083,248
