Estuary,Year,Month,displacement,count
Sydney,1851,1,3100.67468604838,248
Sydney,1851,2,2344.17795275205,224
Sydney,1851,3,1025.38693350382,248
Sydney,1851,4,-690.591441421146,240
Sydney,1851,5,-2590.31030251106,248
Sydney,1851,6,-4387.31470086629,240
Sydney,1851,7,-3710.24014578834,248
Sydney,1851,8,-2658.35361504921,248
Sydney,1851,9,423.992598736469,240
Sydney,1851,10,2723.64817428658,248
Sydney,1851,11,3307.09631948839,240
Sydney,1851,12,3574.30626188992,248
Sydney,1852,1,2731.59052223897,248
Sydney,1852,2,2041.30426845491,232
Sydney,1852,3,1340.32684127069,248
Sydney,1852,4,214.669444914856,240
Sydney,1852,5,-2128.97395044242,248
Sydney,1852,6,-3162.83771888182,240
Sydney,1852,7,-3906.73379565053,248
Sydney,1852,8,-3657.92835025888,248
Sydney,1852,9,411.163053049298,240
Sydney,1852,10,2386.40920241388,248
Sydney,1852,11,3293.12096787224,240
Sydney,1852,12,3505.65163569751,248
Sydney,1853,1,3317.94066784443,248
Sydney,1853,2,2570.913426758,224
Sydney,1853,3,1543.4645117621,248
Sydney,1853,4,-879.219233107488,240
Sydney,1853,5,-2601.00148440328,248
Sydney,1853,6,-3474.95169372281,240
Sydney,1853,7,-2536.31836954388,248
Sydney,1853,8,-1909.49368912838,248
Sydney,1853,9,-795.672870008898,240
Sydney,1853,10,407.115542580433,248
Sydney,1853,11,2768.17060535693,240
Sydney,1853,12,3902.91595509894,248
Sydney,1854,1,4747.15901527816,248
Sydney,1854,2,1738.81275601714,224
Sydney,1854,3,429.414856896294,248
Sydney,1854,4,-1265.79152533637,240
Sydney,1854,5,-3243.02351202355,248
Sydney,1854,6,-4349.74172157251,240
Sydney,1854,7,-5314.79830801611,248
Sydney,1854,8,-4983.51601114513,248
Sydney,1854,9,-1106.25984661461,240
Sydney,1854,10,465.384165186389,248
Sydney,1854,11,3190.25398319572,240
Sydney,1854,12,2872.87043894105,248
Sydney,1855,1,3800.43083076306,248
Sydney,1855,2,2490.72765008832,224
Sydney,1855,3,991.785406994743,248
Sydney,1855,4,-409.711599496482,240
Sydney,1855,5,-1911.40270483676,248
Sydney,1855,6,-2118.66418767423,240
Sydney,1855,7,-4035.64201814858,248
Sydney,1855,8,-4808.93976431916,248
Sydney,1855,9,522.430683549415,240
Sydney,1855,10,1908.27223469186,248
Sydney,1855,11,2662.40141496656,240
Sydney,1855,12,2757.09737708731,248
Sydney,1856,1,3293.19773846296,248
Sydney,1856,2,2361.74259860061,232
Sydney,1856,3,1653.1286032269,248
Sydney,1856,4,1197.59606834068,240
Sydney,1856,5,-3783.78181130369,248
Sydney,1856,6,-3946.13926564191,240
Sydney,1856,7,-4047.02074223752,248
Sydney,1856,8,-2167.38670037226,248
Sydney,1856,9,-1657.25138615568,240
Sydney,1856,10,1662.1397567411,248
