Estuary,Year,Month,displacement,count
Sydney,1851,1,-5560.1046004376,248
Sydney,1851,2,-3375.65813891475,224
Sydney,1851,3,-2328.49357168756,248
Sydney,1851,4,372.201126923401,240
Sydney,1851,5,2589.01970661432,248
Sydney,1851,6,4387.31470086629,240
Sydney,1851,7,3709.01251968677,248
Sydney,1851,8,2557.04141424281,248
Sydney,1851,9,-2143.1776005629,240
Sydney,1851,10,-5597.85706682625,248
Sydney,1851,11,-4224.88674790229,240
Sydney,1851,12,-4282.05764000572,248
Sydney,1852,1,-4971.38008518993,248
Sydney,1852,2,-2386.04926607541,232
Sydney,1852,3,-2490.74672293652,248
Sydney,1852,4,-1737.49988486325,240
Sydney,1852,5,1946.99359544579,248
Sydney,1852,6,3162.83771888182,240
Sydney,1852,7,3906.73379565053,248
Sydney,1852,8,3526.6717304975,248
Sydney,1852,9,-2657.85264726775,240
Sydney,1852,10,-4648.77018866756,248
Sydney,1852,11,-6131.15851789858,240
Sydney,1852,12,-5871.57803170858,248
Sydney,1853,1,-4649.83677458486,248
Sydney,1853,2,-3274.05558653171,224
Sydney,1853,3,-2488.25862043758,248
Sydney,1853,4,363.925167726552,240
Sydney,1853,5,2468.22796985847,248
Sydney,1853,6,3460.85750967859,240
Sydney,1853,7,2177.90048098818,248
Sydney,1853,8,1808.61323487969,248
Sydney,1853,9,353.890074478457,240
Sydney,1853,10,-1562.72572873517,248
Sydney,1853,11,-3829.52512472512,240
Sydney,1853,12,-4061.14521013656,248
Sydney,1854,1,-5476.59161574239,248
Sydney,1854,2,-1930.37006390295,224
Sydney,1854,3,-1064.91128265942,248
Sydney,1854,4,819.293743253673,240
Sydney,1854,5,3191.33454725039,248
Sydney,1854,6,4349.74172157251,240
Sydney,1854,7,5137.46208516634,248
Sydney,1854,8,4743.74640529681,248
Sydney,1854,9,232.038193441814,240
Sydney,1854,10,-589.47417595296,248
Sydney,1854,11,-4308.77051974786,240
Sydney,1854,12,-4547.79116667321,248
Sydney,1855,1,-4696.35115957605,248
Sydney,1855,2,-2652.41302822727,224
Sydney,1855,3,-1344.53880203084,248
Sydney,1855,4,-242.573247138242,240
Sydney,1855,5,1570.49152028559,248
Sydney,1855,6,1736.21918469503,240
Sydney,1855,7,3853.95760960163,248
Sydney,1855,8,4839.46387930319,248
Sydney,1855,9,-654.409448299163,240
Sydney,1855,10,-2990.68397656819,248
Sydney,1855,11,-4951.23848156682,240
Sydney,1855,12,-4089.26033443569,248
Sydney,1856,1,-3298.28711569153,248
Sydney,1856,2,-4332.55484587953,232
Sydney,1856,3,-3036.65759213427,248
Sydney,1856,4,-3084.53113384203,240
Sydney,1856,5,3773.77385992825,248
Sydney,1856,6,3951.22827894525,240
Sydney,1856,7,3974.43370036784,248
Sydney,1856,8,1847.46253907008,248
Sydney,1856,9,878.797862149912,240
Sydney,1856,10,-2500.5200506215,248
Sydney,1856,11,-5458.06952532193,240
Sydney,1856,12,-4911.97439050307,248
Sydney,1857,1,-5070.80702018547,248
Sydney,1857,2,-1822.89280805077,224
Sydney,1857,3,-2625.94859865443,248
Sydney,1857,4,914.928291613831,240
Sydney,1857,5,4177.72466612742,248
Sydney,1857,6,4652.86177229703,240
Sydney,1857,7,5171.40707245403,248
Sydney,1857,8,2072.15887035005,248
Sydney,1857,9,393.386334557747,240
Sydney,1857,10,-2625.88321385593,248
Sydney,1857,11,-3886.14203573884,240
Sydney,1857,12,-3034.49623916806,248
Sydney,1858,1,-3648.5154435376,248
Sydney,1858,2,-2827.27517342774,224
Sydney,1858,3,-3372.34278323085,248
Sydney,1858,4,-304.986774690866,240
Sydney,1858,5,2550.77923200058,248
Sydney,1858,6,2375.18091664961,240
Sydney,1858,7,4761.0730959864,248
Sydney,1858,8,2359.91231336932,248
Sydney,1858,9,776.993482242548,240
Sydney,1858,10,-4656.49003562815,248
Sydney,1858,11,-4984.71033213226,240
Sydney,1858,12,-5341.51064786335,248
Sydney,1859,1,-3167.80953600506,248
Sydney,1859,2,-3000.73760022826,224
Sydney,1859,3,-2215.76982116439,248
Sydney,1859,4,-938.107064200238,240
Sydney,1859,5,1422.47509143411,248
Sydney,1859,6,4187.64293241817,240
Sydney,1859,7,3803.39498433155,248
Sydney,1859,8,3699.54513338508,248
Sydney,1859,9,363.918944364407,240
Sydney,1859,10,-2237.37222965002,248
Sydney,1859,11,-3360.59220449955,240
Sydney,1859,12,-4564.11397869117,248
Sydney,1860,1,-4313.20013143343,248
Sydney,1860,2,-2878.65299797457,232
Sydney,1860,3,-2836.13926276064,248
Sydney,1860,4,643.556173317199,240
Sydney,1860,5,2194.8332085363,248
Sydney,1860,6,4455.89247259285,240
Sydney,1860,7,3618.47311860485,248
Sydney,1860,8,1137.9246558592,248
Sydney,1860,9,-1076.51065447316,240
Sydney,1860,10,-1252.99903815235,248
Sydney,1860,11,-4052.65897849598,240
Sydney,1860,12,-2835.2380481298,248
Sydney,1861,1,-3129.16583797322,248
Sydney,1861,2,-2099.55702737749,224
Sydney,1861,3,-1901.25032231612,248
Sydney,1861,4,-676.159107832485,240
Sydney,1861,5,1547.47252275858,248
Sydney,1861,6,2235.12418953778,240
Sydney,1861,7,4112.14407823336,248
Sydney,1861,8,-1078.94695836073,248
Sydney,1861,9,448.841747883047,240
Sydney,1861,10,-111.589526859245,248
Sydney,1861,11,-4161.22651613579,240
Sydney,1861,12,-3194.07010841482,248
Sydney,1862,1,-3054.25809465635,248
Sydney,1862,2,-3551.86186759641,224
Sydney,1862,3,-2238.37826331808,248
Sydney,1862,4,-1480.92155413367,240
Sydney,1862,5,2252.86009034504,248
Sydney,1862,6,4364.07446092874,240
Sydney,1862,7,5492.0003783266,248
Sydney,1862,8,4014.89567867576,248
Sydney,1862,9,1417.70201780337,240
Sydney,1862,10,-2484.91881752829,248
Sydney,1862,11,-2434.80930625272,240
Sydney,1862,12,-3126.33171637141,248
Sydney,1863,1,-1774.96970589086,248
Sydney,1863,2,-2901.12079173548,224
Sydney,1863,3,-3831.46661664015,248
Sydney,1863,4,1051.46983689436,240
Sydney,1863,5,2759.12757153709,248
Sydney,1863,6,4325.81278529704,240
Sydney,1863,7,4019.868030413,248
Sydney,1863,8,3680.73161338417,248
Sydney,1863,9,-516.898821258451,240
Sydney,1863,10,-2174.77606954292,248
Sydney,1863,11,-3055.46343887704,240
Sydney,1863,12,-2123.15149756551,248
Sydney,1864,1,-4678.56438797155,248
Sydney,1864,2,-4172.89368770923,232
Sydney,1864,3,-2786.44692682665,248
Sydney,1864,4,-1719.54913640566,240
Sydney,1864,5,3159.17164808545,248
Sydney,1864,6,4440.5143965963,240
Sydney,1864,7,4514.52701983946,248
Sydney,1864,8,5898.00057147489,248
Sydney,1864,9,79.6134990696902,240
Sydney,1864,10,-2511.10718933459,248
Sydney,1864,11,-2600.69592581123,240
Sydney,1864,12,-3545.68818807651,248
Sydney,1865,1,-3073.96486555833,248
Sydney,1865,2,-2577.53677544226,224
Sydney,1865,3,-4103.38978410666,248
Sydney,1865,4,-1601.35252016524,240
Sydney,1865,5,4770.20139929192,248
Sydney,1865,6,3595.04785317532,240
Sydney,1865,7,4347.95041014066,248
Sydney,1865,8,2539.22836413992,248
Sydney,1865,9,980.211847741137,240
Sydney,1865,10,-2284.07399932004,248
Sydney,1865,11,-3907.54735414394,240
Sydney,1865,12,-4044.58022950505,248
Sydney,1866,1,-3241.37039802259,248
Sydney,1866,2,-3164.32453372108,224
Sydney,1866,3,-1833.6687539535,248
Sydney,1866,4,-1291.7358457674,240
Sydney,1866,5,1888.19349726692,248
Sydney,1866,6,3328.06313817336,240
Sydney,1866,7,3358.3224893242,248
Sydney,1866,8,2906.77201447095,248
Sydney,1866,9,465.049882717045,240
Sydney,1866,10,-1381.91374271103,248
Sydney,1866,11,-2025.98055204228,240
Sydney,1866,12,-1421.74719376828,248
Sydney,1867,1,-1821.47907062987,248
Sydney,1867,2,-3770.14211504277,224
Sydney,1867,3,-2638.46732793934,248
Sydney,1867,4,-227.884160307075,240
Sydney,1867,5,2244.0486596215,248
Sydney,1867,6,3357.26492499067,240
Sydney,1867,7,3093.41431836553,248
Sydney,1867,8,724.97727552251,248
Sydney,1867,9,1579.08437344752,240
Sydney,1867,10,468.842951090488,248
Sydney,1867,11,-3368.36985965128,240
Sydney,1867,12,-4468.41132587767,248
Sydney,1868,1,-3263.84524664381,248
Sydney,1868,2,-643.824957298453,232
Sydney,1868,3,-3587.02372444996,248
Sydney,1868,4,-1508.20510297521,240
Sydney,1868,5,1844.03127754769,248
Sydney,1868,6,3615.5214207639,240
Sydney,1868,7,4070.36816049588,248
Sydney,1868,8,3126.48906234959,248
Sydney,1868,9,271.924327550858,240
Sydney,1868,10,-2461.21575534539,248
Sydney,1868,11,-3263.96137287691,240
Sydney,1868,12,-2982.40920976659,248
Sydney,1869,1,-2924.8453977842,248
Sydney,1869,2,-1469.04466389349,224
Sydney,1869,3,-2575.47234884643,248
Sydney,1869,4,-2411.78133055482,240
Sydney,1869,5,2214.95330205983,248
Sydney,1869,6,4296.35562159941,240
Sydney,1869,7,2789.79080685675,248
Sydney,1869,8,1360.0756627488,248
Sydney,1869,9,-773.901328116914,240
Sydney,1869,10,579.89386725996,248
Sydney,1869,11,-4553.05095729058,240
Sydney,1869,12,-3207.96517920275,248
Sydney,1870,1,-1648.39752369085,248
Sydney,1870,2,-740.577457506661,224
Sydney,1870,3,-797.340558845683,248
Sydney,1870,4,-962.087508007124,240
Sydney,1870,5,2178.77470237011,248
Sydney,1870,6,3856.87225851093,240
Sydney,1870,7,3423.04882389142,248
Sydney,1870,8,4739.81470548716,248
Sydney,1870,9,-601.31844044051,240
Sydney,1870,10,-957.105240214909,248
Sydney,1870,11,-1053.34043706399,240
Sydney,1870,12,-1965.62577192105,248
Sydney,1871,1,-2801.18230939888,248
Sydney,1871,2,-2233.59123071808,224
Sydney,1871,3,-2559.54111614247,248
Sydney,1871,4,-936.716779336681,240
Sydney,1871,5,3438.90626663274,248
Sydney,1871,6,4060.75285975656,240
Sydney,1871,7,4454.8698832122,248
Sydney,1871,8,1641.70604219544,248
Sydney,1871,9,-839.304500022236,240
Sydney,1871,10,-1563.09334788056,248
Sydney,1871,11,-5168.00866160533,240
Sydney,1871,12,-4842.58629546742,248
Sydney,1872,1,-3863.70723468051,248
Sydney,1872,2,-1783.64142203464,232
Sydney,1872,3,-1710.30302627966,248
Sydney,1872,4,1735.26668749447,240
Sydney,1872,5,2804.05057256423,248
Sydney,1872,6,3627.12656822068,240
Sydney,1872,7,3792.37749337928,248
Sydney,1872,8,3374.98852246135,248
Sydney,1872,9,-1647.3626136187,240
Sydney,1872,10,-1593.49204628868,248
Sydney,1872,11,-3207.26197037841,240
Sydney,1872,12,-2874.89253016683,248
Sydney,1873,1,-1794.52385867318,248
Sydney,1873,2,-1723.33787414056,224
Sydney,1873,3,-644.698780420424,248
Sydney,1873,4,953.843232543788,240
Sydney,1873,5,2853.20428693088,248
Sydney,1873,6,3276.84555018461,240
Sydney,1873,7,4331.41360601914,248
Sydney,1873,8,2585.79850151404,248
Sydney,1873,9,872.040226653512,240
Sydney,1873,10,-2112.47763517938,248
Sydney,1873,11,-3211.81857175251,240
Sydney,1873,12,-4416.6926246744,248
Sydney,1874,1,-3519.82134354939,248
Sydney,1874,2,-2495.41819613709,224
Sydney,1874,3,-2944.96733268282,248
Sydney,1874,4,239.807965199998,240
Sydney,1874,5,5631.72117041762,248
Sydney,1874,6,3750.98205537046,240
Sydney,1874,7,4118.58036135052,248
Sydney,1874,8,2959.00205964402,248
Sydney,1874,9,2139.65149421615,240
Sydney,1874,10,-2004.27412613884,248
Sydney,1874,11,-3593.95450978046,240
Sydney,1874,12,-3791.48064850028,248
Sydney,1875,1,-3839.0031426888,248
Sydney,1875,2,-981.131192275268,224
Sydney,1875,3,-1070.94184101096,248
