Estuary,Year,Month,displacement,count
Wallis_Lake,1851,1,-8036.26289177273,248
Wallis_Lake,1851,2,-7606.14452190236,224
Wallis_Lake,1851,3,-4762.89746181,248
Wallis_Lake,1851,4,-516.695129593299,240
Wallis_Lake,1851,5,2510.70858062029,248
Wallis_Lake,1851,6,3747.27840026426,240
Wallis_Lake,1851,7,3399.0145252745,248
Wallis_Lake,1851,8,3182.15851075619,248
Wallis_Lake,1851,9,-2368.48906607125,240
Wallis_Lake,1851,10,-8418.72862514336,248
Wallis_Lake,1851,11,-9512.72650423369,240
Wallis_Lake,1851,12,-8714.90691561355,248
Wallis_Lake,1852,1,-7215.04223340707,248
Wallis_Lake,1852,2,-6699.6139624101,232
Wallis_Lake,1852,3,-5147.33727206425,248
Wallis_Lake,1852,4,-1553.15868228489,240
Wallis_Lake,1852,5,1889.25556518903,248
Wallis_Lake,1852,6,2693.49998114781,240
Wallis_Lake,1852,7,3755.56305306551,248
Wallis_Lake,1852,8,3424.76286106046,248
Wallis_Lake,1852,9,-911.229405664641,240
Wallis_Lake,1852,10,-3184.89959991063,248
Wallis_Lake,1852,11,-6038.49368133556,240
Wallis_Lake,1852,12,-8515.40738261747,248
Wallis_Lake,1853,1,-7514.7351912043,248
Wallis_Lake,1853,2,-7224.66585956583,224
Wallis_Lake,1853,3,-6669.93102730168,248
Wallis_Lake,1853,4,314.7544742357,240
Wallis_Lake,1853,5,1901.31805550984,248
Wallis_Lake,1853,6,2936.50259345207,240
Wallis_Lake,1853,7,1744.78875474129,248
Wallis_Lake,1853,8,2318.30362558061,248
Wallis_Lake,1853,9,1328.13051769183,240
Wallis_Lake,1853,10,-1555.12572762444,248
Wallis_Lake,1853,11,-5071.28916218804,240
Wallis_Lake,1853,12,-7181.15140335342,248
Wallis_Lake,1854,1,-9252.76749173845,248
Wallis_Lake,1854,2,-6513.77052533158,224
Wallis_Lake,1854,3,-3274.59492501311,248
Wallis_Lake,1854,4,-375.026680968087,240
Wallis_Lake,1854,5,2606.4006334569,248
Wallis_Lake,1854,6,3710.46909910778,240
Wallis_Lake,1854,7,4121.03610171233,248
Wallis_Lake,1854,8,4417.55560829416,248
Wallis_Lake,1854,9,1218.78158460153,240
Wallis_Lake,1854,10,-1037.79542781951,248
Wallis_Lake,1854,11,-7722.62726718552,240
Wallis_Lake,1854,12,-4226.57944276924,248
Wallis_Lake,1855,1,-6768.45066809228,248
Wallis_Lake,1855,2,-9181.05640335272,224
Wallis_Lake,1855,3,-7088.76117978687,248
Wallis_Lake,1855,4,-3964.45792348365,240
Wallis_Lake,1855,5,993.288638980369,248
Wallis_Lake,1855,6,616.471195365783,240
Wallis_Lake,1855,7,2738.49228522151,248
Wallis_Lake,1855,8,4199.82095644524,248
Wallis_Lake,1855,9,-2304.38246338605,240
Wallis_Lake,1855,10,-3631.43342987898,248
Wallis_Lake,1855,11,-5033.3326320499,240
Wallis_Lake,1855,12,-4065.77406630762,248
Wallis_Lake,1856,1,-7356.86696207122,248
Wallis_Lake,1856,2,-6900.67577628225,232
Wallis_Lake,1856,3,-7421.60627006923,248
Wallis_Lake,1856,4,-4382.6363887138,240
Wallis_Lake,1856,5,3044.90721322614,248
Wallis_Lake,1856,6,2959.42139951428,240
Wallis_Lake,1856,7,3623.47968425033,248
Wallis_Lake,1856,8,2157.93344325512,248
Wallis_Lake,1856,9,784.47064064668,240
Wallis_Lake,1856,10,-1995.37586002892,248
Wallis_Lake,1856,11,-6462.55880824912,240
Wallis_Lake,1856,12,-6100.12588904957,248
Wallis_Lake,1857,1,-7578.79037043615,248
Wallis_Lake,1857,2,-7781.41322051013,224
Wallis_Lake,1857,3,-5040.09593394823,248
Wallis_Lake,1857,4,-803.807114717327,240
Wallis_Lake,1857,5,2771.41744665135,248
Wallis_Lake,1857,6,3808.56349415665,240
Wallis_Lake,1857,7,4191.38552667249,248
Wallis_Lake,1857,8,2655.4185856861,248
Wallis_Lake,1857,9,206.85066700812,240
Wallis_Lake,1857,10,-822.648919604484,248
Wallis_Lake,1857,11,-3717.11997500258,240
Wallis_Lake,1857,12,-5417.01317324856,248
Wallis_Lake,1858,1,-7348.6027434708,248
Wallis_Lake,1858,2,-5543.87315670476,224
Wallis_Lake,1858,3,-5211.693719878,248
Wallis_Lake,1858,4,-1472.71738959065,240
Wallis_Lake,1858,5,1377.85978897602,248
Wallis_Lake,1858,6,1762.40901632987,240
Wallis_Lake,1858,7,4393.74451449207,248
Wallis_Lake,1858,8,2621.8426376773,248
Wallis_Lake,1858,9,1039.22143147689,240
Wallis_Lake,1858,10,-4362.09413097938,248
Wallis_Lake,1858,11,-7821.60193766093,240
Wallis_Lake,1858,12,-4850.89426584149,248
Wallis_Lake,1859,1,-5340.50546161429,248
Wallis_Lake,1859,2,-7447.92989060648,224
Wallis_Lake,1859,3,-5293.63071396391,248
Wallis_Lake,1859,4,-590.330655787874,240
Wallis_Lake,1859,5,1465.55948234424,248
Wallis_Lake,1859,6,3394.75989853016,240
Wallis_Lake,1859,7,2858.85956645563,248
Wallis_Lake,1859,8,3328.35166212025,248
Wallis_Lake,1859,9,127.513117661178,240
Wallis_Lake,1859,10,-1077.790431103,248
Wallis_Lake,1859,11,-4793.79406133297,240
Wallis_Lake,1859,12,-6338.04446419189,248
Wallis_Lake,1860,1,-7906.81008562803,248
Wallis_Lake,1860,2,-6065.66078784019,232
Wallis_Lake,1860,3,-7767.28290836386,248
Wallis_Lake,1860,4,574.700949097634,240
Wallis_Lake,1860,5,2048.12519675925,248
Wallis_Lake,1860,6,3750.9437684395,240
Wallis_Lake,1860,7,3012.31876566665,248
Wallis_Lake,1860,8,32.8439612506567,248
Wallis_Lake,1860,9,-1169.75302483717,240
Wallis_Lake,1860,10,-545.153066512748,248
Wallis_Lake,1860,11,-4333.59471240907,240
Wallis_Lake,1860,12,-3350.88203446992,248
Wallis_Lake,1861,1,-5068.80804937238,248
Wallis_Lake,1861,2,-3817.13399860399,224
Wallis_Lake,1861,3,-5677.81908777568,248
Wallis_Lake,1861,4,-2772.97904551176,240
Wallis_Lake,1861,5,2334.04637818591,248
Wallis_Lake,1861,6,2062.7279620398,240
Wallis_Lake,1861,7,3755.6950862964,248
Wallis_Lake,1861,8,-2432.64910253446,248
Wallis_Lake,1861,9,781.103964414369,240
Wallis_Lake,1861,10,3.31989115821858,248
Wallis_Lake,1861,11,-8179.08122922246,240
Wallis_Lake,1861,12,-3711.68336044658,248
Wallis_Lake,1862,1,-5529.00561404665,248
Wallis_Lake,1862,2,-6050.52288843202,224
Wallis_Lake,1862,3,-3132.38130838801,248
Wallis_Lake,1862,4,-1351.44846848654,240
Wallis_Lake,1862,5,1847.91546605062,248
Wallis_Lake,1862,6,3857.3455181271,240
Wallis_Lake,1862,7,4698.90547177629,248
Wallis_Lake,1862,8,3316.79670054225,248
Wallis_Lake,1862,9,2234.42792616028,240
Wallis_Lake,1862,10,-3105.11796918482,248
Wallis_Lake,1862,11,-5111.44644626737,240
Wallis_Lake,1862,12,-5342.35161416836,248
Wallis_Lake,1863,1,-5036.15990104525,248
Wallis_Lake,1863,2,-4200.46474761114,224
Wallis_Lake,1863,3,-5175.3964466071,248
Wallis_Lake,1863,4,-991.397063359903,240
Wallis_Lake,1863,5,2840.11151853924,248
Wallis_Lake,1863,6,3261.45735134756,240
Wallis_Lake,1863,7,3300.12194975544,248
Wallis_Lake,1863,8,2434.51294138033,248
Wallis_Lake,1863,9,-1474.88635676095,240
Wallis_Lake,1863,10,-1222.76667591227,248
Wallis_Lake,1863,11,-7184.51324721753,240
Wallis_Lake,1863,12,-6098.37601368011,248
Wallis_Lake,1864,1,-9567.42386164141,248
Wallis_Lake,1864,2,-6400.39850377085,232
Wallis_Lake,1864,3,-6033.70214251342,248
Wallis_Lake,1864,4,-2024.48002025687,240
Wallis_Lake,1864,5,1695.15083711478,248
Wallis_Lake,1864,6,3762.22474958889,240
Wallis_Lake,1864,7,3815.58917326934,248
Wallis_Lake,1864,8,5042.92921586665,248
Wallis_Lake,1864,9,221.735181829105,240
Wallis_Lake,1864,10,-4952.60143013472,248
Wallis_Lake,1864,11,-6256.43958517906,240
Wallis_Lake,1864,12,-9430.78396277274,248
Wallis_Lake,1865,1,-7725.48935179517,248
Wallis_Lake,1865,2,-4323.42958636691,224
Wallis_Lake,1865,3,-5832.76821885717,248
Wallis_Lake,1865,4,-748.895631319429,240
Wallis_Lake,1865,5,4431.50273723072,248
Wallis_Lake,1865,6,2829.98363378159,240
Wallis_Lake,1865,7,3539.28148242576,248
Wallis_Lake,1865,8,2170.70259553266,248
Wallis_Lake,1865,9,1784.10492854559,240
Wallis_Lake,1865,10,-3220.86406965733,248
Wallis_Lake,1865,11,-7453.28841527591,240
Wallis_Lake,1865,12,-6384.42892050832,248
Wallis_Lake,1866,1,-8089.55868356506,248
Wallis_Lake,1866,2,-4778.07488026124,224
Wallis_Lake,1866,3,-4458.27077665536,248
Wallis_Lake,1866,4,-2027.53218973098,240
Wallis_Lake,1866,5,1307.15887494719,248
Wallis_Lake,1866,6,2503.11461351172,240
Wallis_Lake,1866,7,3008.89742195594,248
Wallis_Lake,1866,8,2422.54062861409,248
Wallis_Lake,1866,9,2207.34894675965,240
Wallis_Lake,1866,10,-939.436235338536,248
Wallis_Lake,1866,11,-5337.75205834749,240
Wallis_Lake,1866,12,-5963.53900126701,248
Wallis_Lake,1867,1,-4553.89908681411,248
Wallis_Lake,1867,2,-4675.68587413301,224
Wallis_Lake,1867,3,-2841.39832359367,248
Wallis_Lake,1867,4,346.270413617568,240
Wallis_Lake,1867,5,1275.1406380535,248
Wallis_Lake,1867,6,3370.01708385495,240
Wallis_Lake,1867,7,2832.32009079203,248
Wallis_Lake,1867,8,-148.723839402229,248
Wallis_Lake,1867,9,2659.26242208752,240
Wallis_Lake,1867,10,716.093236776872,248
Wallis_Lake,1867,11,-5625.6260276759,240
Wallis_Lake,1867,12,-7819.99629940283,248
Wallis_Lake,1868,1,-4865.50334383847,248
Wallis_Lake,1868,2,-3796.27790059546,232
Wallis_Lake,1868,3,-5237.06080321673,248
Wallis_Lake,1868,4,-1991.54798405029,240
Wallis_Lake,1868,5,1208.12965316914,248
Wallis_Lake,1868,6,2653.42969117066,240
Wallis_Lake,1868,7,2740.47165321091,248
Wallis_Lake,1868,8,2541.40809851195,248
Wallis_Lake,1868,9,275.095716454615,240
Wallis_Lake,1868,10,-2057.18421581549,248
Wallis_Lake,1868,11,-7186.01221077326,240
Wallis_Lake,1868,12,-6315.35661252782,248
Wallis_Lake,1869,1,-7969.43133199852,248
Wallis_Lake,1869,2,-5676.36532737249,224
Wallis_Lake,1869,3,-5256.31671585827,248
Wallis_Lake,1869,4,-3357.95996336903,240
Wallis_Lake,1869,5,2491.6870089007,248
Wallis_Lake,1869,6,3348.74071753157,240
Wallis_Lake,1869,7,2499.78849000882,248
Wallis_Lake,1869,8,813.784656248653,248
Wallis_Lake,1869,9,-1565.19357120782,240
Wallis_Lake,1869,10,963.767009835363,248
Wallis_Lake,1869,11,-7245.27108892762,240
Wallis_Lake,1869,12,-6946.24837212494,248
Wallis_Lake,1870,1,-4212.41425966396,248
Wallis_Lake,1870,2,-2425.28881032181,224
Wallis_Lake,1870,3,-2674.61340216097,248
Wallis_Lake,1870,4,-1901.64164175467,240
Wallis_Lake,1870,5,1726.01018835969,248
Wallis_Lake,1870,6,3435.88123653877,240
Wallis_Lake,1870,7,2555.10009788398,248
Wallis_Lake,1870,8,4790.30089595704,248
Wallis_Lake,1870,9,-1780.84810749591,240
Wallis_Lake,1870,10,-1943.67138771821,248
Wallis_Lake,1870,11,-2917.48386519533,240
Wallis_Lake,1870,12,-6591.95129327704,248
Wallis_Lake,1871,1,-7183.41986233954,248
Wallis_Lake,1871,2,-5312.67024708024,224
Wallis_Lake,1871,3,-4141.40301612696,248
Wallis_Lake,1871,4,-455.403921082283,240
Wallis_Lake,1871,5,3373.02989642939,248
Wallis_Lake,1871,6,3746.51465516484,240
Wallis_Lake,1871,7,3858.57800781425,248
Wallis_Lake,1871,8,2034.43580021507,248
Wallis_Lake,1871,9,387.621846483776,240
Wallis_Lake,1871,10,-1401.15401237919,248
Wallis_Lake,1871,11,-5086.71311574278,240
Wallis_Lake,1871,12,-7996.28416241222,248
Wallis_Lake,1872,1,-5949.34974758772,248
Wallis_Lake,1872,2,-4762.40421140611,232
Wallis_Lake,1872,3,-2938.42061109933,248
Wallis_Lake,1872,4,1530.34430451177,240
Wallis_Lake,1872,5,2187.86711255148,248
Wallis_Lake,1872,6,2753.07422889643,240
Wallis_Lake,1872,7,3205.5299381008,248
Wallis_Lake,1872,8,3006.45848672719,248
Wallis_Lake,1872,9,-1655.01006315617,240
Wallis_Lake,1872,10,-2201.74620276407,248
Wallis_Lake,1872,11,-5515.27335855438,240
Wallis_Lake,1872,12,-6945.55414161808,248
Wallis_Lake,1873,1,-5593.43599797243,248
Wallis_Lake,1873,2,-6770.8343472053,224
Wallis_Lake,1873,3,-2851.47123325262,248
Wallis_Lake,1873,4,-75.0928530909759,240
Wallis_Lake,1873,5,2738.31434231095,248
Wallis_Lake,1873,6,2782.84591735308,240
Wallis_Lake,1873,7,3744.13890076102,248
Wallis_Lake,1873,8,2343.77768020683,248
Wallis_Lake,1873,9,1148.82027273221,240
Wallis_Lake,1873,10,-3347.19538043858,248
Wallis_Lake,1873,11,-4491.46225247752,240
Wallis_Lake,1873,12,-7913.8722635097,248
Wallis_Lake,1874,1,-7819.50830113421,248
Wallis_Lake,1874,2,-6497.92058005117,224
Wallis_Lake,1874,3,-5101.25540885667,248
Wallis_Lake,1874,4,-2165.46424026213,240
Wallis_Lake,1874,5,4784.75735206069,248
Wallis_Lake,1874,6,2317.68587095299,240
Wallis_Lake,1874,7,3395.99225049215,248
Wallis_Lake,1874,8,2502.13845496383,248
Wallis_Lake,1874,9,2616.46125673972,240
Wallis_Lake,1874,10,-2132.62734188535,248
Wallis_Lake,1874,11,-4983.00590553298,240
Wallis_Lake,1874,12,-8125.33637586634,248
Wallis_Lake,1875,1,-7353.7393413995,248
Wallis_Lake,1875,2,-3869.85669335392,224
Wallis_Lake,1875,3,-3570.12646818859,248
Wallis_Lake,1875,4,142.851326757069,240
Wallis_Lake,1875,5,2764.10387558537,248
Wallis_Lake,1875,6,3877.43958144062,240
Wallis_Lake,1875,7,2374.88115477612,248
Wallis_Lake,1875,8,2528.18395890877,248
Wallis_Lake,1875,9,199.025804076919,240
Wallis_Lake,1875,10,-2245.4208541268,248
Wallis_Lake,1875,11,-4363.37652752671,240
Wallis_Lake,1875,12,-3103.50799403745,248
Wallis_Lake,1876,1,-5104.03543989135,248
Wallis_Lake,1876,2,-4917.53653070349,232
Wallis_Lake,1876,3,-6998.28354379701,248
Wallis_Lake,1876,4,-622.685208840849,240
Wallis_Lake,1876,5,1866.59693832619,248
Wallis_Lake,1876,6,2922.18594103903,240
