Estuary,Year,Month,Average_Wind_Speed,count
Camden_Haven_River,1851,1,6.91773491995673,248
Camden_Haven_River,1851,2,6.84528042250962,224
Camden_Haven_River,1851,3,4.51910532816082,248
Camden_Haven_River,1851,4,3.00802628206272,240
Camden_Haven_River,1851,5,3.79270894237181,248
Camden_Haven_River,1851,6,6.31106094610413,240
Camden_Haven_River,1851,7,8.31649897952188,248
Camden_Haven_River,1851,8,5.74536421361136,248
Camden_Haven_River,1851,9,3.27066428521233,240
Camden_Haven_River,1851,10,3.03489082515526,248
Camden_Haven_River,1851,11,5.48155204753615,240
Camden_Haven_River,1851,12,6.41079185239045,248
Camden_Haven_River,1852,1,6.4176785077065,248
Camden_Haven_River,1852,2,6.66984364889873,232
Camden_Haven_River,1852,3,4.85402703101878,248
Camden_Haven_River,1852,4,2.44484677518506,240
Camden_Haven_River,1852,5,3.7615868864398,248
Camden_Haven_River,1852,6,5.43727658045666,240
Camden_Haven_River,1852,7,7.7110005666056,248
Camden_Haven_River,1852,8,8.06170526598064,248
Camden_Haven_River,1852,9,2.88071732564929,240
Camden_Haven_River,1852,10,4.51879097231028,248
Camden_Haven_River,1852,11,6.02054855923279,240
Camden_Haven_River,1852,12,6.77670427633603,248
Camden_Haven_River,1853,1,7.47077105512589,248
Camden_Haven_River,1853,2,7.08040547776697,224
Camden_Haven_River,1853,3,4.59573523680893,248
Camden_Haven_River,1853,4,3.54765050894292,240
Camden_Haven_River,1853,5,5.02098606244734,248
Camden_Haven_River,1853,6,7.54937541458309,240
Camden_Haven_River,1853,7,8.26981543121804,248
Camden_Haven_River,1853,8,7.91170466029949,248
Camden_Haven_River,1853,9,5.99144003750374,240
Camden_Haven_River,1853,10,7.94748936000901,248
Camden_Haven_River,1853,11,5.52926370369333,240
Camden_Haven_River,1853,12,7.72978624549991,248
Camden_Haven_River,1854,1,8.28447950912162,248
Camden_Haven_River,1854,2,8.41370643559971,224
Camden_Haven_River,1854,3,6.03532606605516,248
Camden_Haven_River,1854,4,5.10274560349391,240
Camden_Haven_River,1854,5,5.67731801442623,248
Camden_Haven_River,1854,6,5.95036300531262,240
Camden_Haven_River,1854,7,8.15670355248197,248
Camden_Haven_River,1854,8,11.1921052627582,248
Camden_Haven_River,1854,9,4.51198950615034,240
Camden_Haven_River,1854,10,8.25384101544053,248
Camden_Haven_River,1854,11,7.31059641929366,240
Camden_Haven_River,1854,12,8.43442613480547,248
Camden_Haven_River,1855,1,8.08001352170116,248
Camden_Haven_River,1855,2,9.46999826987772,224
Camden_Haven_River,1855,3,6.59929360966065,248
Camden_Haven_River,1855,4,3.96293421726461,240
Camden_Haven_River,1855,5,4.0222720352033,248
Camden_Haven_River,1855,6,4.5786467725841,240
Camden_Haven_River,1855,7,6.92640135859926,248
Camden_Haven_River,1855,8,9.060430840336,248
Camden_Haven_River,1855,9,7.3878334349323,240
Camden_Haven_River,1855,10,6.60601319294506,248
Camden_Haven_River,1855,11,6.72568812656053,240
Camden_Haven_River,1855,12,8.53066028444094,248
Camden_Haven_River,1856,1,9.11968577897163,248
Camden_Haven_River,1856,2,8.5522247687057,232
Camden_Haven_River,1856,3,6.45242298861194,248
