Estuary,Year,Month,Average_Wind_Speed,count
Sydney,1851,1,6.47058809078099,248
Sydney,1851,2,6.72993968028645,224
Sydney,1851,3,5.00922009348556,248
Sydney,1851,4,4.06273883817277,240
Sydney,1851,5,3.91869260433049,248
Sydney,1851,6,6.53800727244782,240
Sydney,1851,7,7.0843852331934,248
Sydney,1851,8,4.44004664931301,248
Sydney,1851,9,3.51492959413617,240
Sydney,1851,10,4.39962742121089,248
Sydney,1851,11,5.95397813393053,240
Sydney,1851,12,6.11058209334122,248
Sydney,1852,1,6.13669017883202,248
Sydney,1852,2,6.59026852300678,232
Sydney,1852,3,5.11378006422252,248
Sydney,1852,4,2.88166088327873,240
Sydney,1852,5,3.42590789497013,248
Sydney,1852,6,5.10182716712227,240
Sydney,1852,7,6.49362201345751,248
Sydney,1852,8,6.94475967383373,248
Sydney,1852,9,2.76562277106591,240
Sydney,1852,10,5.53028331516321,248
Sydney,1852,11,6.30133483435791,240
Sydney,1852,12,6.51336094545762,248
Sydney,1853,1,6.982692496902,248
Sydney,1853,2,7.0378347912765,224
Sydney,1853,3,4.89301979934882,248
Sydney,1853,4,3.3903219034636,240
Sydney,1853,5,4.79217036751573,248
Sydney,1853,6,6.75910323903722,240
Sydney,1853,7,7.60250212867238,248
Sydney,1853,8,6.28539275532839,248
Sydney,1853,9,5.10971969237331,240
Sydney,1853,10,7.47135936353379,248
Sydney,1853,11,6.10344437329497,240
Sydney,1853,12,7.3578668633265,248
Sydney,1854,1,8.42680337495355,248
Sydney,1854,2,8.932349968082,224
Sydney,1854,3,6.04516251508383,248
Sydney,1854,4,5.70341734895622,240
Sydney,1854,5,5.8284466116196,248
Sydney,1854,6,6.46898238134541,240
Sydney,1854,7,8.70639730196142,248
Sydney,1854,8,10.2060194899286,248
Sydney,1854,9,3.98719946494196,240
Sydney,1854,10,7.8775308187144,248
Sydney,1854,11,7.52819096572403,240
Sydney,1854,12,7.68481190906944,248
Sydney,1855,1,7.9448405061077,248
Sydney,1855,2,9.44843984857025,224
Sydney,1855,3,6.86712009805668,248
Sydney,1855,4,4.41051693342833,240
Sydney,1855,5,3.62923341946813,248
Sydney,1855,6,4.56863700440351,240
Sydney,1855,7,7.09351359944807,248
Sydney,1855,8,8.82304799589631,248
Sydney,1855,9,6.85848054585198,240
Sydney,1855,10,6.89038601515175,248
Sydney,1855,11,6.775947190192,240
Sydney,1855,12,8.07454179949741,248
Sydney,1856,1,8.45141827296516,248
Sydney,1856,2,8.59052750132748,232
Sydney,1856,3,6.56112607488406,248
Sydney,1856,4,5.43567172076211,240
Sydney,1856,5,7.63497739930071,248
Sydney,1856,6,10.1649342732387,240
Sydney,1856,7,7.91215871507795,248
Sydney,1856,8,6.11238998644139,248
Sydney,1856,9,5.01108254375099,240
Sydney,1856,10,8.9996236358875,248
Sydney,1856,11,6.57870502689097,240
Sydney,1856,12,8.05863985847753,248
Sydney,1857,1,7.9642114835077,248
Sydney,1857,2,8.70917600747474,224
Sydney,1857,3,7.36163156376006,248
Sydney,1857,4,7.28286084801997,240
Sydney,1857,5,7.63737851402004,248
