Estuary,Year,Month,displacement,count
Clarence_River,1851,1,5874.2034163908,248
Clarence_River,1851,2,5093.70448456175,224
Clarence_River,1851,3,3105.20542717651,248
Clarence_River,1851,4,1479.75128695452,240
Clarence_River,1851,5,2192.09124887639,248
Clarence_River,1851,6,4517.70008677919,240
Clarence_River,1851,7,5509.88900379022,248
Clarence_River,1851,8,4109.35144520228,248
Clarence_River,1851,9,1789.11250845441,240
Clarence_River,1851,10,2663.5391086025,248
Clarence_River,1851,11,4618.83020511915,240
Clarence_River,1851,12,5695.26051800433,248
Clarence_River,1852,1,5362.28041681476,248
Clarence_River,1852,2,5055.33820274132,232
Clarence_River,1852,3,3832.97915792056,248
Clarence_River,1852,4,1272.64555369782,240
Clarence_River,1852,5,2160.83709783053,248
Clarence_River,1852,6,3789.25363017636,240
Clarence_River,1852,7,5692.61840356827,248
Clarence_River,1852,8,5257.03889193639,248
Clarence_River,1852,9,1282.13849551805,240
Clarence_River,1852,10,2468.6176416808,248
Clarence_River,1852,11,4442.30723957086,240
Clarence_River,1852,12,5861.90589558543,248
Clarence_River,1853,1,6143.98432884869,248
Clarence_River,1853,2,5164.1271549424,224
Clarence_River,1853,3,3695.30542947816,248
Clarence_River,1853,4,1778.9581137315,240
Clarence_River,1853,5,2802.25474941179,248
Clarence_River,1853,6,4752.8345174654,240
Clarence_River,1853,7,4810.29398927749,248
Clarence_River,1853,8,4118.74547345609,248
Clarence_River,1853,9,2641.57990407936,240
Clarence_River,1853,10,4348.97931876466,248
Clarence_River,1853,11,3514.41252915115,240
Clarence_River,1853,12,5659.74604304627,248
Clarence_River,1854,1,6223.14482049352,248
Clarence_River,1854,2,5310.56490899917,224
Clarence_River,1854,3,3522.72410636836,248
Clarence_River,1854,4,2262.72777173759,240
Clarence_River,1854,5,1978.66092279428,248
Clarence_River,1854,6,4079.67997938558,240
Clarence_River,1854,7,5030.37403659824,248
Clarence_River,1854,8,7100.93502619624,248
Clarence_River,1854,9,1931.88520183366,240
Clarence_River,1854,10,3953.38082161444,248
Clarence_River,1854,11,4900.5084352752,240
Clarence_River,1854,12,5353.79251511406,248
Clarence_River,1855,1,6579.65796992996,248
Clarence_River,1855,2,6732.5303817053,224
Clarence_River,1855,3,5127.2064455629,248
Clarence_River,1855,4,1886.05066691583,240
Clarence_River,1855,5,2275.16812496476,248
Clarence_River,1855,6,2722.09070766877,240
Clarence_River,1855,7,4855.38904590711,248
Clarence_River,1855,8,5545.97105560724,248
Clarence_River,1855,9,3481.70120359445,240
Clarence_River,1855,10,3427.82745126418,248
Clarence_River,1855,11,4165.41245009346,240
Clarence_River,1855,12,5756.21407167509,248
Clarence_River,1856,1,7155.93558983459,248
Clarence_River,1856,2,5363.41636814074,232
Clarence_River,1856,3,5314.22290018797,248
Clarence_River,1856,4,3094.01337534445,240
Clarence_River,1856,5,3866.77020456966,248
Clarence_River,1856,6,6898.67942219574,240
Clarence_River,1856,7,5898.88175975979,248
Clarence_River,1856,8,3640.21344700453,248
Clarence_River,1856,9,2538.49141780372,240
Clarence_River,1856,10,4235.77528957055,248
Clarence_River,1856,11,4005.07375957769,240
Clarence_River,1856,12,6090.42205188827,248
Clarence_River,1857,1,6978.84900800903,248
Clarence_River,1857,2,5155.43042611559,224
