Estuary,Year,Month,displacement,count
Sydney,1851,1,4377.64476287561,248
Sydney,1851,2,4235.15722602148,224
Sydney,1851,3,3470.16311107814,248
Sydney,1851,4,2117.87625972038,240
Sydney,1851,5,-585.568024003178,248
Sydney,1851,6,-2700.02094024921,240
Sydney,1851,7,-4143.79663520992,248
Sydney,1851,8,-2317.83004337093,248
Sydney,1851,9,74.0909498379719,240
Sydney,1851,10,1403.91092455051,248
Sydney,1851,11,2895.45867264878,240
Sydney,1851,12,3734.75606438913,248
Sydney,1852,1,3993.7759586439,248
Sydney,1852,2,4396.96850736605,232
Sydney,1852,3,3599.7105853946,248
Sydney,1852,4,1389.54727660553,240
Sydney,1852,5,-878.454338867441,248
Sydney,1852,6,-2422.47748505338,240
Sydney,1852,7,-3627.81039008082,248
Sydney,1852,8,-3641.16897375861,248
Sydney,1852,9,47.3917062601311,240
Sydney,1852,10,618.726217249006,248
Sydney,1852,11,2889.95125123763,240
Sydney,1852,12,3741.1659144046,248
Sydney,1853,1,4488.65815925087,248
Sydney,1853,2,4269.57105437053,224
Sydney,1853,3,3228.76696953668,248
Sydney,1853,4,81.5313733894133,240
Sydney,1853,5,-1547.60728793286,248
Sydney,1853,6,-3903.41162198174,240
Sydney,1853,7,-4404.82579334713,248
Sydney,1853,8,-3486.48925309933,248
Sydney,1853,9,-560.699869125156,240
Sydney,1853,10,-483.996381655509,248
Sydney,1853,11,2733.05308147318,240
Sydney,1853,12,3787.9972409748,248
Sydney,1854,1,3887.42669797225,248
Sydney,1854,2,4883.80892925767,224
Sydney,1854,3,3861.02667833473,248
Sydney,1854,4,2140.31531325843,240
Sydney,1854,5,-305.369536099339,248
Sydney,1854,6,-2358.88319993701,240
Sydney,1854,7,-3548.50764748226,248
Sydney,1854,8,-5592.17109201635,248
Sydney,1854,9,-876.265130499865,240
Sydney,1854,10,-59.7977330391971,248
Sydney,1854,11,2941.27914753871,240
Sydney,1854,12,3814.55033508896,248
Sydney,1855,1,4967.70899499994,248
Sydney,1855,2,5777.96020480998,224
Sydney,1855,3,4778.22400498636,248
Sydney,1855,4,1727.31024012692,240
Sydney,1855,5,-856.450432058863,248
Sydney,1855,6,-621.875528610823,240
Sydney,1855,7,-3776.52959319024,248
Sydney,1855,8,-4257.41645885339,248
Sydney,1855,9,-612.924119476308,240
Sydney,1855,10,1081.4057044253,248
Sydney,1855,11,2476.34389807184,240
Sydney,1855,12,3261.44639997152,248
Sydney,1856,1,5764.38884581929,248
