Estuary,Year,Month,displacement,count
Camden_Haven_River,1851,1,4268.10061206098,248
Camden_Haven_River,1851,2,3608.52721793325,224
Camden_Haven_River,1851,3,1991.61714777716,248
Camden_Haven_River,1851,4,771.204961554935,240
Camden_Haven_River,1851,5,2249.87680963289,248
Camden_Haven_River,1851,6,4297.16611048651,240
Camden_Haven_River,1851,7,4876.74703834746,248
Camden_Haven_River,1851,8,3916.87415468084,248
Camden_Haven_River,1851,9,1507.11936520802,240
Camden_Haven_River,1851,10,1446.78006516012,248
Camden_Haven_River,1851,11,2881.07851445346,240
Camden_Haven_River,1851,12,4116.32657885162,248
Camden_Haven_River,1852,1,3706.50333317682,248
Camden_Haven_River,1852,2,3580.25588414854,232
Camden_Haven_River,1852,3,2375.24269112213,248
Camden_Haven_River,1852,4,864.803611540569,240
Camden_Haven_River,1852,5,2277.15860554396,248
Camden_Haven_River,1852,6,3425.89340093279,240
Camden_Haven_River,1852,7,4956.08662640169,248
Camden_Haven_River,1852,8,4671.40691428782,248
Camden_Haven_River,1852,9,1143.55733733855,240
Camden_Haven_River,1852,10,1471.00018348625,248
Camden_Haven_River,1852,11,2771.42536766567,240
Camden_Haven_River,1852,12,4094.64102795572,248
Camden_Haven_River,1853,1,4481.08347923753,248
Camden_Haven_River,1853,2,3752.60653174573,224
Camden_Haven_River,1853,3,2357.23069075521,248
Camden_Haven_River,1853,4,1394.41685091519,240
Camden_Haven_River,1853,5,2707.86778328564,248
Camden_Haven_River,1853,6,4260.75390192841,240
Camden_Haven_River,1853,7,4082.0103349723,248
Camden_Haven_River,1853,8,3942.78563037142,248
Camden_Haven_River,1853,9,2131.31542574449,240
Camden_Haven_River,1853,10,3360.38143411233,248
Camden_Haven_River,1853,11,2248.19057358707,240
Camden_Haven_River,1853,12,3682.93035379491,248
Camden_Haven_River,1854,1,4160.57486469049,248
Camden_Haven_River,1854,2,3842.80719718384,224
Camden_Haven_River,1854,3,2090.27221554742,248
Camden_Haven_River,1854,4,984.273162452115,240
Camden_Haven_River,1854,5,1437.3149268247,248
Camden_Haven_River,1854,6,3983.46341107496,240
Camden_Haven_River,1854,7,4515.20917199208,248
Camden_Haven_River,1854,8,6196.03891705215,248
Camden_Haven_River,1854,9,1951.07136560842,240
Camden_Haven_River,1854,10,3106.0853891663,248
Camden_Haven_River,1854,11,2940.74832295381,240
Camden_Haven_River,1854,12,3508.16902032002,248
Camden_Haven_River,1855,1,4882.70001245282,248
Camden_Haven_River,1855,2,5123.07756156986,224
Camden_Haven_River,1855,3,3283.46570722546,248
Camden_Haven_River,1855,4,832.375238281709,240
Camden_Haven_River,1855,5,2217.11694173312,248
Camden_Haven_River,1855,6,2214.40529148425,240
Camden_Haven_River,1855,7,4343.55317643073,248
Camden_Haven_River,1855,8,5232.23250565706,248
Camden_Haven_River,1855,9,2857.5573005667,240
Camden_Haven_River,1855,10,1730.2299988445,248
Camden_Haven_River,1855,11,2708.81420397353,240
Camden_Haven_River,1855,12,4219.22148093923,248
Camden_Haven_River,1856,1,5450.37924760439,248
Camden_Haven_River,1856,2,4063.76381714044,232
Camden_Haven_River,1856,3,3527.64458407916,248
Camden_Haven_River,1856,4,2340.79338249026,240
Camden_Haven_River,1856,5,2456.9324961409,248
Camden_Haven_River,1856,6,5529.20372081157,240
Camden_Haven_River,1856,7,5144.12887720931,248
Camden_Haven_River,1856,8,3308.62320442587,248
Camden_Haven_River,1856,9,2103.8419440985,240
Camden_Haven_River,1856,10,3412.94742165997,248
Camden_Haven_River,1856,11,2474.06820560693,240
Camden_Haven_River,1856,12,4104.12771787712,248
Camden_Haven_River,1857,1,4852.63463405597,248
Camden_Haven_River,1857,2,3594.87055655561,224
Camden_Haven_River,1857,3,2407.65384650057,248
Camden_Haven_River,1857,4,1331.5350123719,240
Camden_Haven_River,1857,5,2959.68692880485,248
Camden_Haven_River,1857,6,4436.53358716596,240
Camden_Haven_River,1857,7,4393.13377527576,248
Camden_Haven_River,1857,8,3202.88515939953,248
Camden_Haven_River,1857,9,2359.22203124978,240
Camden_Haven_River,1857,10,1987.35469662111,248
Camden_Haven_River,1857,11,2558.77160895028,240
Camden_Haven_River,1857,12,3252.98388420865,248
Camden_Haven_River,1858,1,4952.33282216303,248
Camden_Haven_River,1858,2,4592.84747322662,224
Camden_Haven_River,1858,3,2814.60519090057,248
Camden_Haven_River,1858,4,869.1468100341,240
Camden_Haven_River,1858,5,2817.36247760871,248
Camden_Haven_River,1858,6,3105.03895769936,240
Camden_Haven_River,1858,7,5484.6288084928,248
Camden_Haven_River,1858,8,2488.06797715168,248
Camden_Haven_River,1858,9,3493.11173556963,240
Camden_Haven_River,1858,10,1670.28177167701,248
Camden_Haven_River,1858,11,2434.15044654868,240
Camden_Haven_River,1858,12,3451.66866400615,248
Camden_Haven_River,1859,1,4030.28399320581,248
Camden_Haven_River,1859,2,2695.25027764251,224
Camden_Haven_River,1859,3,2058.27217319265,248
Camden_Haven_River,1859,4,1478.31137488189,240
Camden_Haven_River,1859,5,3106.39869421259,248
Camden_Haven_River,1859,6,3465.28504948659,240
Camden_Haven_River,1859,7,4013.9206381551,248
Camden_Haven_River,1859,8,4463.25230437818,248
Camden_Haven_River,1859,9,2707.96767367256,240
Camden_Haven_River,1859,10,1889.7854911263,248
Camden_Haven_River,1859,11,3751.9166238509,240
Camden_Haven_River,1859,12,3509.30807868623,248
Camden_Haven_River,1860,1,3884.35887332189,248
Camden_Haven_River,1860,2,4023.31677529019,232
Camden_Haven_River,1860,3,3046.05550541991,248
Camden_Haven_River,1860,4,1304.31024478538,240
Camden_Haven_River,1860,5,2429.96625200941,248
Camden_Haven_River,1860,6,4476.36326087316,240
Camden_Haven_River,1860,7,2306.00066519046,248
Camden_Haven_River,1860,8,1324.09635834931,248
Camden_Haven_River,1860,9,993.375792085149,240
Camden_Haven_River,1860,10,1964.7817022253,248
Camden_Haven_River,1860,11,2191.68410853363,240
Camden_Haven_River,1860,12,3145.50637889176,248
Camden_Haven_River,1861,1,3175.84002446791,248
Camden_Haven_River,1861,2,2726.99300676487,224
Camden_Haven_River,1861,3,1774.59652933769,248
Camden_Haven_River,1861,4,1518.38258556437,240
Camden_Haven_River,1861,5,2749.82347329746,248
Camden_Haven_River,1861,6,4336.22950439789,240
Camden_Haven_River,1861,7,4904.9242885494,248
Camden_Haven_River,1861,8,1790.0045199969,248
Camden_Haven_River,1861,9,1416.34490359586,240
Camden_Haven_River,1861,10,2819.62409881709,248
Camden_Haven_River,1861,11,2982.6076456833,240
Camden_Haven_River,1861,12,3310.75534581566,248
Camden_Haven_River,1862,1,4067.55516184449,248
Camden_Haven_River,1862,2,2997.22897879183,224
Camden_Haven_River,1862,3,1934.9854584883,248
Camden_Haven_River,1862,4,1391.67609069007,240
Camden_Haven_River,1862,5,3569.78471914671,248
Camden_Haven_River,1862,6,2863.89349694888,240
Camden_Haven_River,1862,7,6816.26264558202,248
Camden_Haven_River,1862,8,3442.77880843965,248
Camden_Haven_River,1862,9,4169.04621865399,240
Camden_Haven_River,1862,10,2115.10772040107,248
Camden_Haven_River,1862,11,2635.72320231727,240
Camden_Haven_River,1862,12,2518.40992069339,248
Camden_Haven_River,1863,1,4183.40299694738,248
Camden_Haven_River,1863,2,3289.364476783,224
Camden_Haven_River,1863,3,2608.38622625375,248
Camden_Haven_River,1863,4,2065.17292880327,240
Camden_Haven_River,1863,5,2969.20963322367,248
Camden_Haven_River,1863,6,4047.34033667014,240
Camden_Haven_River,1863,7,4731.16001341435,248
Camden_Haven_River,1863,8,4485.11629512068,248
Camden_Haven_River,1863,9,2029.01168297491,240
Camden_Haven_River,1863,10,2519.75412368275,248
Camden_Haven_River,1863,11,2733.31910577852,240
Camden_Haven_River,1863,12,4637.02141788306,248
Camden_Haven_River,1864,1,4768.79747444849,248
Camden_Haven_River,1864,2,4149.89322701897,232
Camden_Haven_River,1864,3,2722.22303288339,248
